date,close,kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,deviationRate,deviationAtr,positionPct,historicalRateRankPct,historicalAtrRankPct,historicalPositionRankPct,similarOccurrences,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,avgAtrChangePct,medianDistanceChangeAtr
2026-05-31 00:00,0.21,中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,58.12,0.2567,0.1385,49.59,54.13,55.51,47.39,1256,20.94,79.06,36.07,47.37,38.22,61.78,-0.205,0.2173
2026-05-31 00:00,0.21,中值,middle,短期拉伸/回归,中值贴近中轴,3,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,69.24,0.2567,0.1385,49.59,54.13,55.51,47.39,1255,15.38,84.62,43.43,48.76,38.17,61.83,-0.348,0.4802
2026-05-31 00:00,0.21,中值,middle,短期拉伸/回归,中值贴近中轴,5,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,77.34,0.2567,0.1385,49.59,54.13,55.51,47.39,1253,11.33,88.67,42.7,46.93,39.51,60.49,-0.3307,0.6938
2026-05-31 00:00,0.21,中值,middle,短期拉伸/回归,中值贴近中轴,10,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,84.5,0.2567,0.1385,49.59,54.13,55.51,47.39,1251,7.75,92.25,45.08,46.36,42.21,57.79,1.0959,0.9028
2026-05-31 00:00,0.21,233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,13.2,-9.5257,-5.6931,45.1,36.58,23.64,24.56,3643,43.4,56.6,0.03,49.14,39.86,60.14,0.1614,0.0933
2026-05-31 00:00,0.21,233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,6.56,-9.5257,-5.6931,45.1,36.58,23.64,24.56,3641,46.72,53.28,0.22,49.55,39.11,60.89,0.2222,0.0787
2026-05-31 00:00,0.21,233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,2.18,-9.5257,-5.6931,45.1,36.58,23.64,24.56,3639,48.91,51.09,0.41,50.29,39.74,60.26,0.2892,0.0304
2026-05-31 00:00,0.21,233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,2.48,-9.5257,-5.6931,45.1,36.58,23.64,24.56,3634,51.24,48.76,1.71,51.32,41.63,58.37,0.9239,-0.0685
