bar,horizon,environment,environmentDirection,hitMeaning,symbolCount,observations,weightedObservations,weightedHitRatePct,weightedBaselineRatePct,weightedLiftPct,liftWilsonLow,lowSampleGroupsExcluded,mainHorizon,passCandidate
4H,1,RANGE,neutral,低波动维持,58,71293,49905.1,66.91,50.42,16.49,16.15,0,False,True
4H,1,TREND,down,方向命中,58,122812,85968.4,47.13,49.0,-1.87,-2.15,0,False,False
4H,1,TREND,up,方向命中,58,142840,99988.0,47.44,48.16,-0.72,-0.98,0,False,False
4H,3,CHAOS,neutral,高扰动命中,58,45563,31894.1,17.65,25.11,-7.46,-7.81,0,False,False
4H,3,RANGE,neutral,低波动维持,58,71281,49896.7,64.91,50.41,14.5,14.15,0,False,True
4H,3,TREND,down,方向命中,58,122760,85932.0,47.43,49.93,-2.51,-2.79,0,False,False
4H,3,TREND,up,方向命中,58,142788,99951.6,46.98,48.17,-1.19,-1.45,0,False,False
4H,5,CHAOS,neutral,高扰动命中,58,45523,31866.1,17.4,25.11,-7.72,-8.06,0,True,False
4H,5,RANGE,neutral,低波动维持,58,71270,49889.0,63.73,50.4,13.33,12.97,0,True,True
4H,5,TREND,down,方向命中,58,122724,85906.8,47.71,50.27,-2.56,-2.84,0,True,False
4H,5,TREND,up,方向命中,58,142725,99907.5,46.68,48.2,-1.52,-1.78,0,True,False
4H,10,CHAOS,neutral,高扰动命中,58,45443,31810.1,16.75,25.12,-8.37,-8.71,0,True,False
4H,10,RANGE,neutral,低波动维持,58,71225,49857.5,61.14,50.38,10.76,10.4,0,True,True
4H,10,TREND,down,方向命中,58,122629,85840.3,48.54,50.97,-2.44,-2.72,0,True,False
4H,10,TREND,up,方向命中,58,142592,99814.4,46.8,47.77,-0.98,-1.24,0,True,False
8H,1,CHAOS,neutral,高扰动命中,58,18945,13261.5,20.13,25.18,-5.05,-5.61,0,False,False
8H,1,RANGE,neutral,低波动维持,57,25079,17555.3,66.75,50.87,15.87,15.29,1,False,True
8H,1,TREND,down,方向命中,58,74104,51872.8,48.18,49.4,-1.23,-1.59,0,False,False
8H,1,TREND,up,方向命中,58,81972,57380.4,47.94,48.45,-0.51,-0.85,0,False,False
8H,3,CHAOS,neutral,高扰动命中,58,18922,13245.4,18.86,25.17,-6.31,-6.86,0,False,False
8H,3,RANGE,neutral,低波动维持,57,25071,17549.7,64.33,50.86,13.47,12.88,1,False,True
8H,3,TREND,down,方向命中,58,74018,51812.6,47.8,49.87,-2.07,-2.43,0,False,False
8H,3,TREND,up,方向命中,58,81916,57341.2,46.99,48.88,-1.89,-2.23,0,False,False
8H,5,CHAOS,neutral,高扰动命中,58,18905,13233.5,17.79,25.18,-7.39,-7.93,0,True,False
8H,5,RANGE,neutral,低波动维持,57,25061,17542.7,62.85,50.86,11.99,11.39,1,True,True
8H,5,TREND,down,方向命中,58,73941,51758.7,48.67,50.54,-1.87,-2.23,0,True,False
8H,5,TREND,up,方向命中,58,81876,57313.2,47.17,48.5,-1.33,-1.67,0,True,False
8H,10,CHAOS,neutral,高扰动命中,58,18875,13212.5,17.62,25.16,-7.55,-8.09,0,True,False
8H,10,RANGE,neutral,低波动维持,57,24993,17495.1,61.59,50.85,10.74,10.13,1,True,True
8H,10,TREND,down,方向命中,58,73768,51637.6,49.88,50.83,-0.95,-1.31,0,True,False
8H,10,TREND,up,方向命中,58,81790,57253.0,46.91,48.63,-1.72,-2.06,0,True,False
