kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,16.8,8089,-14.5433,-6.2375,24.99,41.6,58.4,0.09,46.31,33.04,66.96,0.1212,0.0102
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,9.94,2165,-3.9314,-1.4124,24.99,45.03,54.97,4.62,46.7,33.76,66.24,0.0615,-0.0886
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,62.84,845,-0.0,-0.0015,24.99,18.58,81.42,29.35,39.41,28.05,71.95,0.1293,0.1633
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,7.44,4678,20.089,4.6951,24.99,46.28,53.72,0.13,49.08,42.41,57.59,0.0525,0.0795
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,7.74,2376,4.6697,1.5098,24.99,46.13,53.87,5.13,48.15,34.64,65.36,0.0471,0.0771
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,10.54,8087,-14.5437,-6.2389,24.99,44.73,55.27,0.26,47.13,35.63,64.37,0.1412,-0.0064
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,12.8,2165,-3.9314,-1.4124,24.99,43.6,56.4,10.85,47.02,37.0,63.0,0.1319,-0.2145
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,76.34,845,-0.0,-0.0015,24.99,11.83,88.17,37.99,42.01,31.48,68.52,0.2989,0.3244
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,1.24,4678,20.089,4.6951,24.99,50.62,49.38,0.68,49.85,46.86,53.14,-0.0152,0.2988
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,13.56,2376,4.6697,1.5098,24.99,43.22,56.78,10.94,47.22,39.31,60.69,0.1414,0.1833
