date,stateId,stateName,confidence,distance,close,volatilityMultiple,volumeMultiple,trendScore,resonanceCount,middleDeviationRate,middleDeviationAtr,middlePositionPct,maDeviationRate,maDeviationAtr,maPositionPct,stretchHeat
2018-05-31,5,低波动压缩态,0.1484,3.8755,7445.4,0.5687,0.803,-9.1899,4,0.0786,0.0126,36.2086,-22.8851,-4.774,50,13.7914
2018-06-01,5,低波动压缩态,0.1123,4.4743,7623,0.6529,0.7505,-6.3069,3,2.4659,0.407,42.0118,-21.1379,-4.5326,100,57.9882
2018-06-02,5,低波动压缩态,0.3696,3.9103,7726.9,0.4192,0.7724,-5.9771,3,3.8625,0.6659,45.823,-20.1335,-4.5141,100,54.177
2018-06-03,3,中性震荡态,0.0303,5.3692,7492.3,0.7363,0.8168,-7.2599,3,0.709,0.1247,37.8582,-22.6147,-5.177,0,62.1418
2018-06-04,5,低波动压缩态,0.3457,4.297,7568.1,0.5127,0.8128,-3.5677,3,3.625,0.6495,45.5807,-21.8914,-5.2032,0,54.4193
2018-06-05,5,低波动压缩态,0.3777,4.6769,7651.1,0.3886,0.7894,-2.7275,2,4.7615,0.8932,49.1677,-21.0978,-5.2546,0,50.8323
2018-06-06,3,中性震荡态,0.0379,5.6015,7697.9,0.7259,0.9578,-1.7041,2,5.4023,1.0347,51.2512,-20.6888,-5.2663,0,51.2512
2018-06-07,5,低波动压缩态,0.2999,4.7109,7634.6,0.5356,0.9513,-3.5365,2,4.5356,0.8998,49.2647,-21.427,-5.6552,0,50.7353
2018-06-08,5,低波动压缩态,0.399,4.8612,7616.8,0.3547,0.7468,-2.4852,2,4.2919,0.8937,49.1751,-21.6789,-6.011,0,50.8249
2018-06-09,3,中性震荡态,0.1333,6.297,7223,1.311,0.9728,-7.9217,4,-1.1002,-0.2236,32.7317,-25.7716,-6.9789,0,67.2683
2018-06-10,1,放量波动扩张态,0.1152,7.1558,6689.6,1.6041,1.7911,-15.6945,4,-7.3392,-1.406,15.33,-31.2726,-8.0773,0,84.67
2018-06-11,5,低波动压缩态,0.0689,6.4873,6756.5,0.6439,0.9326,-13.301,4,-9.2307,-1.8732,8.4539,-30.6088,-8.1251,0,91.5461
2018-06-12,3,中性震荡态,0.0071,7.0562,6363.3,1.1296,1.2312,-18.2258,4,-9.83,-1.8724,8.4665,-34.6664,-9.1132,0,91.5335
2018-06-13,1,放量波动扩张态,0.1184,6.197,6345.2,1.1899,1.1405,-17.3169,4,-8.5185,-1.5715,12.8949,-34.8702,-9.0354,1.693,85.412
2018-06-14,3,中性震荡态,0.0435,5.7829,6537.1,0.9524,1.038,-15.1351,4,-5.7518,-1.065,20.3493,-32.9354,-8.5697,11.8177,67.8329
2018-06-15,7,下侧趋势共振态,0.0293,6.677,6364.4,0.7552,0.7191,-17.9275,4,-8.2417,-1.5547,13.1418,-34.7199,-9.2059,0,86.8582
2018-06-16,5,低波动压缩态,0.0269,5.9323,6517.2,0.7,0.5892,-14.7756,4,-6.0387,-1.1654,18.8709,-33.1738,-9.0017,4.3517,76.7774
2018-06-17,5,低波动压缩态,0.2106,5.8069,6462.3,0.4747,0.5974,-13.5566,4,-6.8303,-1.3714,15.839,-33.7641,-9.5361,0,84.161
2018-06-18,3,中性震荡态,0.2181,4.5516,6740,1.1041,0.9344,-7.7664,3,-2.8265,-0.563,27.737,-30.9433,-8.6726,17.194,55.069
2018-06-19,5,低波动压缩态,0.2547,4.3829,6755.1,0.6387,0.8283,-7.8559,4,-2.6088,-0.5341,28.1626,-30.8103,-8.8781,13.1018,58.7356
2018-06-20,5,低波动压缩态,0.3545,4.8443,6711.3,0.3933,0.6868,-6.4034,3,-3.2403,-0.6943,25.8044,-31.2703,-9.4328,2.0572,72.1384
2018-06-21,1,放量波动扩张态,0.0846,8.3644,6150.8,1.929,1.1262,-14.0477,4,-11.1567,-2.2156,3.4153,-36.9994,-10.3616,0,96.5847
2018-06-22,3,中性震荡态,0.0115,7.1404,6090.7,0.9009,1.0766,-15.079,4,-11.0847,-2.1946,3.724,-37.5901,-10.603,0,96.276
2018-06-23,1,放量波动扩张态,0.2058,6.7725,5776.1,1.4152,1.0488,-16.9456,4,-14.5263,-2.7466,0,-40.7735,-11.126,0,100
2018-06-24,1,放量波动扩张态,0.4447,4.0098,6292,1.5253,1.0977,-9.8564,4,-6.8252,-1.2375,21.2745,-35.455,-9.2797,27.9239,50.8016
2018-06-25,7,下侧趋势共振态,0.0076,5.3714,6188.7,0.5615,0.7561,-8.8496,4,-8.3549,-1.5659,16.6444,-36.4794,-9.8644,19.0814,64.2743
2018-06-26,7,下侧趋势共振态,0.0685,5.556,6109.8,0.7199,0.8351,-11.3125,4,-9.5233,-1.8234,13.0151,-37.2574,-10.2866,12.6951,74.2898
2018-06-27,5,低波动压缩态,0.1791,6.0397,6102.5,0.3553,0.7198,-12.3554,4,-9.5189,-1.9105,11.7866,-37.3062,-10.8064,4.8343,83.3791
2018-06-28,3,中性震荡态,0.1152,6.8991,5903,0.9489,0.8114,-14.204,4,-12.1551,-2.4403,4.3188,-39.3129,-11.4244,0,95.6812
2018-06-29,1,放量波动扩张态,0.2694,4.9377,6380.5,1.8144,1.0398,-4.5935,3,-4.6812,-0.8775,26.3489,-34.3818,-9.3623,29.8406,43.8105
2018-06-30,5,低波动压缩态,0.2634,3.8891,6313,0.5271,0.6653,-3.8459,3,-2.7333,-0.5149,31.4611,-35.0622,-9.8929,22.1633,46.3756
2018-07-01,3,中性震荡态,0.1696,4.1906,6624.8,1.1454,0.9376,3.0103,3,4.6605,0.8466,50.6538,-31.8662,-8.892,36.6462,14.0076
2018-07-02,5,低波动压缩态,0.4593,3.3044,6583.3,0.447,0.8911,-1.041,3,4.6156,0.869,50.9696,-32.3052,-9.3997,29.2998,21.6698
2018-07-03,3,中性震荡态,0.2903,4.0884,6679.1,1.1311,1.0333,2.2186,2,6.1379,1.144,54.8459,-31.3229,-9.0223,34.7606,20.0853
2018-07-04,5,低波动压缩态,0.4201,3.3767,6616.7,0.5671,1.0392,4.6706,3,5.1463,0.9911,52.6908,-31.9692,-9.5158,27.6194,25.0715
2018-07-05,5,低波动压缩态,0.3151,3.5656,6567,0.6298,0.9378,3.3099,3,4.3565,0.8629,50.8835,-32.4603,-9.9342,21.5651,29.3183
2018-07-06,5,低波动压缩态,0.4586,4.0302,6556.9,0.3632,0.7743,6.6294,3,4.196,0.8718,51.0092,-32.5367,-10.4411,14.2298,36.7794
2018-07-07,3,中性震荡态,0.3449,3.988,6738.9,1.049,0.8706,3.5379,3,7.0882,1.4672,59.4021,-30.6269,-9.786,23.71,35.6922
2018-07-08,5,低波动压缩态,0.4835,3.9193,6726.4,0.3576,0.7556,4.3517,3,6.8896,1.4965,59.8159,-30.726,-10.2983,16.2956,43.5203
2018-07-09,2,放量波动扩张态,0.0407,5.9818,6382.6,1.5621,1.1335,-3.262,3,1.4665,0.3047,43.014,-34.2271,-10.9692,6.5882,50.3978
2018-07-10,5,低波动压缩态,0.3972,4.157,6357,0.4878,1.0982,-3.513,3,1.0596,0.2288,41.9444,-34.4379,-11.4623,0,58.0556
2018-07-11,3,中性震荡态,0.1417,4.9495,6166.3,0.8258,0.9885,-5.6358,3,-1.9721,-0.4315,32.6359,-36.3426,-12.2463,0,67.3641
2018-07-12,5,低波动压缩态,0.054,4.8392,6261.2,0.7334,0.8661,-4.3602,3,-0.4634,-0.1035,37.2604,-35.3052,-12.1299,1.5058,61.2338
2018-07-13,3,中性震荡态,0.0497,4.9378,6246.6,0.775,0.7412,-3.2174,3,-0.6955,-0.158,36.4918,-35.3985,-12.3614,0,63.5082
2018-07-14,3,中性震荡态,0.0838,4.5416,6388,0.7846,0.6931,-0.2294,3,1.4266,0.3299,43.3693,-33.885,-12.0197,4.3547,52.276
2018-07-15,3,中性震荡态,0.24,4.4287,6633.2,1.2143,0.9698,0.6342,2,5.0871,1.1594,55.0635,-31.2878,-10.906,18.5467,36.5169
2018-07-16,5,低波动压缩态,0.2754,3.8726,6773.8,0.6482,0.9555,3.5906,4,7.3145,1.7122,62.8561,-29.76,-10.6433,21.8938,40.9624
2018-07-17,0,放量波动扩张态,0.2506,6.0892,7429.6,2.6309,1.7803,16.4011,4,11.3724,2.4605,73.4046,-22.8862,-7.1513,66.3933,39.7978
2018-07-18,4,上侧趋势共振态,0.0973,4.6623,7397.9,1.1086,1.3774,15.9086,4,10.5897,2.2783,70.8366,-23.1319,-7.1599,66.2833,37.1198
2018-07-19,4,上侧趋势共振态,0.2474,4.3654,7466,0.6946,1.2811,19.6119,4,10.9905,2.4336,73.025,-22.3084,-7.0567,67.5982,40.6233
2018-07-20,2,放量波动扩张态,0.4231,3.3994,7391,1.5149,1.3193,14.4458,4,7.3361,1.5969,61.2313,-23.029,-6.9907,68.4398,29.6711
2018-07-21,4,上侧趋势共振态,0.2502,3.9632,7522.4,0.7082,0.9444,17.0457,4,9.2443,2.0575,67.7239,-21.5568,-6.6818,72.3758,40.0998
2018-07-22,2,放量波动扩张态,0.3903,3.8451,7730,1.431,1.6305,19.2657,4,11.421,2.4762,73.6261,-19.2844,-5.7716,83.9749,57.6009
2018-07-23,2,放量波动扩张态,0.223,6.0209,8185.2,2.0183,2.1374,24.9222,4,13.3841,2.783,77.9509,-14.3954,-3.9646,100,77.9509
2018-07-24,4,上侧趋势共振态,0.0303,5.3059,8112,1.2131,1.3965,23.8135,4,11.3964,2.3512,71.8641,-15.0391,-4.0681,98.7669,70.631
2018-07-25,4,上侧趋势共振态,0.4576,4.0148,8204.5,0.7663,1.0873,22.5815,4,12.6667,2.6603,76.2207,-13.9321,-3.8303,100,76.2207
2018-07-26,2,放量波动扩张态,0.2633,4.4682,8149.3,1.3979,1.4756,22.3876,4,11.9087,2.4245,72.8973,-14.3443,-3.8155,100,72.8973
2018-07-27,2,放量波动扩张态,0.1872,5.6764,8111,2.0091,1.1195,21.5849,4,11.3827,2.1375,68.852,-14.4631,-3.5367,100,68.852
2018-07-28,4,上侧趋势共振态,0.2606,5.1677,8230.8,0.4847,0.9369,20.0786,4,13.0278,2.5422,74.5562,-12.9171,-3.2715,100,74.5562
2018-07-29,4,上侧趋势共振态,0.3128,4.0528,8114.3,0.5915,1.058,17.2751,4,11.428,2.3001,71.1433,-13.9031,-3.6215,96.1498,67.2931
2018-07-30,2,放量波动扩张态,0.4836,3.0299,7753.3,1.4997,1.8567,9.6341,4,6.4707,1.2523,56.3724,-17.4475,-4.3549,88.0813,44.4537
2018-07-31,4,上侧趋势共振态,0.0365,4.04,7602.1,0.9674,1.4571,5.8383,3,4.3943,0.8526,50.7378,-18.7331,-4.6689,84.6278,35.3656
2018-08-01,2,放量波动扩张态,0.1389,4.1804,7512.1,1.2783,0.9407,5.9421,3,3.1584,0.5997,47.1726,-19.3788,-4.7078,84.1993,37.0266
2018-08-02,4,上侧趋势共振态,0.0884,4.1055,7467.3,0.8294,1.2549,3.617,3,2.2029,0.4251,44.7124,-19.5464,-4.7921,83.2717,38.5593
2018-08-03,1,放量波动扩张态,0.1978,4.4494,6989.4,1.4509,1.0705,-3.0983,2,-4.7104,-0.881,26.3002,-24.3836,-5.7469,72.7679,46.4677
2018-08-04,5,低波动压缩态,0.0328,4.8706,7002,0.5478,0.8595,-4.7561,2,-5.5099,-1.0773,23.5323,-23.8777,-5.7952,72.2368,48.7045
2018-08-05,7,下侧趋势共振态,0.0277,5.0861,6972.9,0.7112,0.8433,-7.8963,2,-7.6804,-1.5646,16.6628,-23.7714,-5.8648,71.4706,54.8078
2018-08-06,3,中性震荡态,0.0951,4.717,7113.6,0.826,0.8084,-6.0594,2,-6.5549,-1.3639,19.4924,-21.7897,-5.417,76.3975,56.905
2018-08-07,1,放量波动扩张态,0.2184,6.2495,6472.3,1.8922,2.3026,-15.2349,4,-13.0202,-2.4664,3.9508,-28.4282,-6.5444,63.9947,60.0439
2018-08-08,1,放量波动扩张态,0.2219,4.9774,6444,1.0644,2.2276,-14.6898,4,-11.7792,-2.1794,7.9956,-28.3717,-6.4655,64.8625,56.8669
2018-08-09,7,下侧趋势共振态,0.1172,6.2165,6451.9,0.8265,3.3597,-14.2725,4,-11.671,-2.1882,7.8715,-27.9394,-6.4211,65.351,57.4795
2018-08-10,1,放量波动扩张态,0.2705,5.3769,6111.2,1.1889,2.5946,-19.1021,4,-15.5748,-2.8518,0,-31.4437,-7.0902,57.99,57.99
2018-08-11,1,放量波动扩张态,0.2022,4.7283,6319.6,1.0491,1.7413,-14.2933,4,-12.6958,-2.3159,7.4447,-28.8865,-6.469,64.8243,57.3796
2018-08-12,7,下侧趋势共振态,0.2959,4.7199,6287.4,0.7757,1.614,-13.5436,4,-13.1407,-2.4384,5.7431,-28.9777,-6.5762,63.6451,57.902
2018-08-13,1,放量波动扩张态,0.2314,5.9766,6029.9,1.1371,3.5338,-17.3995,4,-16.0695,-2.9283,0,-31.6698,-7.0887,58.006,58.006
2018-08-14,1,放量波动扩张态,0.4225,3.4965,6431.2,1.2299,1.0506,-11.6741,3,-9.4943,-1.681,17.145,-26.8703,-5.8878,71.2182,54.0731
