instrument,bar,dataStatus,historyQuality,periodWeight,requiredWarmupBars,source,firstDate,lastDate,cleanRows,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3Pct,atr8Pct,atr13Pct,atr21Pct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middlePositionPct,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maPositionPct,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationWeather,deviationRiskNote,score_wait,score_grid,score_meanReversion,score_breakout,score_trend
TRX-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0.35,绿,均值回归天气,84,常态波动 / 接近正常动能 / 短期过冷 / 大周期中轴附近,均值回归可观察，但要服从大周期过滤,常态波动,0.9748,48.48,0.8338,47.06,-0.1662,接近正常动能,61.2,38.8,37.43,0.7533,0.9341,0.9747,0.9491,0.7937,0.9841,中值下侧极端,-2.6807,-2.8092,23.38,88.78,233MA贴近中轴,-0.0087,-0.0088,38.64,89.83,弱趋势下行,-2.6151,down,3,缩量,0.3888,短期过冷 + 大周期中轴附近,如果大周期仍弱，只能当短线天气看；中轴附近容易出现反复,14.92,30,84,16,33.69
DOT-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,1.2,黄偏红,防守等待,95.49,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.0872,42.58,0.5637,16.06,-0.4363,余动能不足,53.38,46.62,34.53,1.3792,1.8548,2.0615,2.1985,0.6274,0.8437,中值下侧偏离,-2.4052,-1.1877,35.56,54.43,233MA下侧极端,-5.6447,-2.8831,51.67,50.15,弱趋势下行,-2.134,down,3,缩量,0.486,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,95.49,40,45.95,8,0
BCH-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,304.2,黄偏红,防守等待,82.55,高波动冷却 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,高波动冷却,2.1546,51.22,0.3971,3.96,-0.6029,余动能不足,71.4,28.6,33.79,1.2506,1.8895,2.1297,2.2473,0.5565,0.8408,中值下侧偏离,-4.9524,-2.4206,23.49,54.77,233MA下侧极端,-26.4112,-16.6738,0,47.71,强趋势下行,-3.9544,down,3,缩量,0.2829,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,82.55,40,47.17,0,53.73
LTC-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,52.65,黄偏红,防守等待,74.12,波动压缩 / 余动能不足 / 短期上侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,1.0454,2.06,0.6565,28.03,-0.3435,余动能不足,59.25,40.75,33.81,0.7162,0.9348,1.0322,1.1124,0.6439,0.8404,中值上侧偏离,2.1041,1.9785,71.48,55.27,233MA下侧极端,-4.8477,-4.8912,53.79,46.14,趋势不明,1.0446,mixed,2,缩量,0.4297,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,74.12,74,48.97,8,0
UNI-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,3.06,黄偏红,防守等待,76.28,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,1.9909,21.93,0.7396,37.1,-0.2604,余动能不足,56.61,43.39,35.5,1.394,1.776,1.9645,2.1292,0.6547,0.8341,中值下侧偏离,-1.9834,-1.0191,36.66,53.79,233MA下侧极端,-10.1507,-5.6895,44.39,48.83,弱趋势混合,-1.9272,mixed,2,缩量,0.3716,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,76.28,56,43.64,8,0
AAVE-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,83.55,黄偏红,防守等待,74.12,波动压缩 / 余动能不足 / 短期上侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,1.7508,11.24,0.669,27.82,-0.331,余动能不足,53.92,46.08,35.94,1.1778,1.5569,1.7303,1.84,0.6401,0.8461,中值上侧偏离,1.5435,0.876,47.28,53.38,233MA下侧极端,-8.9034,-5.6323,35.77,48.41,趋势不明,0.393,mixed,2,缩量,0.3956,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,74.12,74,42.17,8,0
NEAR-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,2.28,黄偏绿,趋势策略天气,70,高波动冷却 / 余动能不足 / 短期下侧偏离 / 大周期强势高位,趋势天气较友好，等方向和量能确认,高波动冷却,5.1303,93.47,0.4763,6.67,-0.5237,余动能不足,68.45,31.55,36.28,3.7396,4.7148,5.0912,5.2056,0.7184,0.9057,中值下侧偏离,-8.2007,-1.7622,29.25,53.29,233MA上侧极端,34.666,5.0779,81.87,42.86,强趋势下行,-8.8056,down,4,缩量,0.3983,短期下侧偏离 + 大周期强势高位,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,42.6,40,55.84,0,70
OP-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0.12,黄,防守等待,74.12,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期弱势深水区,等待更清楚的波动或位置共振,波动压缩,2.5564,28.23,0.5185,10.36,-0.4815,余动能不足,55.74,44.26,36.43,1.6713,2.306,2.533,2.64,0.6331,0.8735,中值贴近中轴,-0.5738,-0.2269,52.61,9.48,233MA下侧极端,-8.0887,-3.4597,60.66,48.73,趋势不明,-0.8672,mixed,2,缩量,0.2108,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,74.12,74,0,8,0
ARB-USDT,4H,ok,full_weight,1,233,OKX,2023-03-23 12:00,2026-05-31 00:00,6988,2026-05-31 00:00,0.1,黄,网格震荡天气,74,常态波动 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,震荡/网格天气较友好，仍需控制突破风险,常态波动,2.4612,36.22,0.6957,31.39,-0.3043,余动能不足,55.82,44.18,34.54,1.8258,2.2801,2.4428,2.5426,0.7181,0.8968,中值下侧偏离,-1.1949,-0.4972,39.59,54.67,233MA下侧极端,-14.1563,-6.7802,43.72,49.94,趋势不明,-1.0685,mixed,2,缩量,0.7172,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,62.12,74,46.81,0,4.41
SUI-USDT,4H,ok,full_weight,1,233,OKX,2023-05-03 16:00,2026-05-31 00:00,6740,2026-05-31 00:00,0.92,黄偏红,防守等待,75.32,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.3875,19.97,0.7653,38.17,-0.2347,余动能不足,56.57,43.43,36.6,1.7163,2.1166,2.3514,2.5917,0.6622,0.8167,中值下侧偏离,-3.7037,-1.6228,28.22,53.74,233MA下侧极端,-10.3377,-4.8647,48.39,49.11,强趋势下行,-3.6463,down,3,量能正常,0.8001,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,75.32,64,43.46,8,33.88
