instrument,bar,dataStatus,historyQuality,periodWeight,effectiveRows,sampleWeight,truncationFactor,aggregationFactor,aggregationDropRatio,truncated,truncationReason,requiredWarmupBars,source,firstDate,lastDate,cleanRows,atr3Pct,atr8Pct,atr13Pct,atr21Pct,middlePositionPct,maPositionPct,deviationWeather,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationRiskNote,score_meanReversion,score_trendFollowing,score_breakout,score_wait,score_grid
TRX-USDT,8H,ok,half_weight,0.7,8959.0,1.0,0.7,0.9999,0.0001,True,requested_start_not_reached,233,OKX,2018-01-11 08:00,2026-06-02 00:00,9192,1.2155,1.2817,1.2869,1.2321,11.3667,57.7883,短期过冷 + 大周期偏强,2026-06-02 00:00,0.34,黄偏绿,低吸均值回归,76.0,低波动启动 / 接近一倍ATR / 短期过冷 / 大周期偏强,均值回归可观察，但要服从大周期过滤,低波动启动,1.2818,15.39,0.9506,60.28,-0.0494,接近一倍ATR,51.62,48.38,36.76,0.9865,1.0403,中值下侧极端,-4.7339,-3.8768,89.73,233MA上侧偏离,2.7175,2.064,63.13,强趋势下行,-4.3592,down,4,缩量,0.549,如果大周期仍弱，只能当短线天气看；不是天然做空区域,76.0,83.8,33.0,28.27,26.0
DOT-USDT,8H,ok,half_weight,0.7,6097.0,1.0,0.7,0.9998,0.0002,True,requested_start_not_reached,233,OKX,2020-08-22 08:00,2026-06-02 00:00,6330,3.6228,3.4004,3.4354,3.484,21.1406,47.0577,短期下侧偏离 + 大周期弱势深水区,2026-06-02 00:00,1.13,黄偏红,低吸均值回归,57.81,低波动启动 / 接近一倍ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,低波动启动,3.4441,39.43,1.0278,65.1,0.0278,接近一倍ATR,47.76,52.24,36.56,1.0398,0.976,中值下侧偏离,-6.9959,-2.1841,52.81,233MA下侧极端,-12.4206,-4.1178,52.35,强趋势下行,-7.7145,down,4,量能正常,1.1882,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,57.81,100.0,49.0,33.44,12.0
BCH-USDT,8H,ok,half_weight,0.7,8024.0,1.0,0.7,0.9999,0.0001,True,requested_start_not_reached,233,OKX,2018-11-19 08:00,2026-06-02 08:00,8257,3.3583,3.4732,3.5271,3.5311,12.3133,19.9465,短期过冷 + 大周期弱势深水区,2026-06-02 08:00,281.6,黄偏绿,低吸均值回归,84.0,常态波动 / 接近一倍ATR / 短期过冷 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,常态波动,3.5324,50.78,0.8344,48.73,-0.1656,接近一倍ATR,63.9,36.1,35.87,0.9511,0.9836,中值下侧极端,-10.2613,-3.2371,93.68,233MA下侧极端,-34.1326,-14.67,48.95,强趋势下行,-12.5457,down,4,量能正常,0.8625,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,84.0,84.0,49.0,36.24,10.0
LTC-USDT,8H,ok,half_weight,0.7,8960.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2018-01-11 08:00,2026-06-02 08:00,9193,3.3022,2.4313,2.2294,2.1504,22.2783,37.4528,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,47.84,黄偏绿,向下突破,100.0,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,不把短期下偏当买点，等待更强共振,低波动启动,2.2108,11.49,2.1274,96.4,1.1274,振幅已超ATR,49.07,50.93,37.42,1.5356,1.1306,中值下侧偏离,-4.6347,-2.1983,54.48,233MA下侧极端,-12.8451,-6.6665,50.69,强趋势下行,-8.8109,down,4,放量,1.9372,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,58.07,100.0,100.0,33.44,4.0
UNI-USDT,8H,ok,half_weight,0.7,6021.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2020-09-17 00:00,2026-06-02 08:00,6254,3.9413,3.3192,3.3516,3.512,27.5987,39.3177,短期过冷 + 大周期弱势深水区,2026-06-02 08:00,2.8,黄偏绿,低吸均值回归,82.92,低波动启动 / 振幅已超ATR / 短期过冷 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,3.3712,22.12,1.6733,91.85,0.6733,振幅已超ATR,48.83,51.17,39.04,1.1223,0.9451,中值下侧极端,-7.998,-2.5787,90.71,233MA下侧极端,-16.9907,-6.0716,51.56,强趋势下行,-11.6256,down,4,量能正常,1.4252,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,82.92,92.0,79.0,35.12,4.0
AAVE-USDT,8H,ok,half_weight,0.7,5915.0,1.0,0.7,0.9998,0.0002,True,requested_start_not_reached,233,OKX,2020-10-22 08:00,2026-06-02 08:00,6148,3.9895,3.2832,3.1839,3.1885,36.8122,22.5247,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,75.31,黄偏绿,低吸均值回归,58.84,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,3.1786,18.48,1.6626,91.86,0.6626,振幅已超ATR,46.35,53.65,38.95,1.2512,1.0297,中值下侧偏离,-6.6501,-2.2412,52.54,233MA下侧极端,-21.3036,-8.5166,52.13,强趋势下行,-10.2731,down,4,放量,5.7244,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,58.84,100.0,100.0,33.44,4.0
NEAR-USDT,8H,ok,half_weight,0.7,5789.0,1.0,0.7,0.9998,0.0002,True,requested_start_not_reached,233,OKX,2020-12-03 08:00,2026-06-02 08:00,6022,9.1966,7.7733,7.3332,6.701,58.7852,85.6709,短期贴近中轴 + 大周期强势高位,2026-06-02 08:00,2.48,黄,向上突破,65.0,高波动扩张 / 振幅已超ATR / 短期贴近中轴 / 大周期强势高位,观察,高波动扩张,7.2539,84.28,1.52,89.02,0.52,振幅已超ATR,57.14,42.86,41.43,1.3724,1.16,中值贴近中轴,-0.1808,-0.025,8.69,233MA上侧极端,61.8236,5.2667,44.05,弱趋势混合,2.6706,mixed,2,量能正常,1.1593,贴近中轴时继续拉伸概率通常更高；强势区可以长期维持在 233MA 上方,0.0,53.35,65.0,38.9,8.0
OP-USDT,8H,ok,half_weight,0.7,4156.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2022-05-31 16:00,2026-06-02 08:00,4389,6.5438,4.971,4.6151,4.427,43.4605,68.6705,短期下侧偏离 + 大周期偏弱,2026-06-02 08:00,0.12,黄偏绿,向下突破,100.0,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期偏弱,不把短期下偏当买点，等待更强共振,低波动启动,4.5768,50.06,2.0934,96.65,1.0934,振幅已超ATR,43.52,56.48,37.96,1.4781,1.1229,中值下侧偏离,-4.6493,-1.0654,51.38,233MA下侧偏离,-5.6458,-1.3074,66.47,强趋势下行,-5.501,down,4,放量,2.215,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,29.68,100.0,100.0,18.67,14.0
ARB-USDT,8H,ok,half_weight,0.7,3268.0,1.0,0.7,0.9997,0.0003,True,requested_start_not_reached,233,OKX,2023-03-23 16:00,2026-06-02 08:00,3501,5.3758,4.4992,4.3476,4.3352,23.8896,54.5618,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,0.09,黄偏绿,低吸均值回归,44.14,高波动扩张 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,高波动扩张,4.3374,58.33,1.591,90.67,0.591,振幅已超ATR,58.16,41.84,42.69,1.24,1.0378,中值下侧偏离,-7.4982,-1.8688,52.98,233MA下侧极端,-16.5622,-4.5764,54.15,强趋势下行,-11.5607,down,4,放量,1.8035,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,44.14,100.0,100.0,33.44,0.0
SUI-USDT,8H,ok,half_weight,0.7,3145.0,1.0,0.7,0.9997,0.0003,True,requested_start_not_reached,233,OKX,2023-05-03 16:00,2026-06-02 08:00,3378,4.429,4.1903,4.2993,4.5119,10.7051,48.7924,短期过冷 + 大周期弱势深水区,2026-06-02 08:00,0.82,黄偏绿,低吸均值回归,84.0,低波动启动 / 振幅已超ATR / 短期过冷 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,4.3287,38.47,1.253,78.71,0.253,振幅已超ATR,46.82,53.18,39.76,0.9816,0.9287,中值下侧极端,-10.571,-2.7308,93.38,233MA下侧极端,-15.3639,-4.1937,55.69,强趋势下行,-14.2564,down,4,放量,1.5182,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,84.0,92.0,79.0,35.12,4.0
