instrument,bar,dataStatus,historyQuality,periodWeight,effectiveRows,sampleWeight,truncationFactor,aggregationFactor,aggregationDropRatio,truncated,truncationReason,requiredWarmupBars,source,firstDate,lastDate,cleanRows,atr3Pct,atr8Pct,atr13Pct,atr21Pct,middlePositionPct,maPositionPct,deviationWeather,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationRiskNote,score_meanReversion,score_trendFollowing,score_breakout,score_wait,score_grid
ICP-USDT,8H,ok,half_weight,0.7,5314.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-05-10 16:00,2026-06-02 08:00,5547,7.4222,5.9266,5.4997,5.1868,61.8563,74.199,短期上侧偏离 + 大周期偏强,2026-06-02 08:00,2.97,黄偏绿,向上突破,100.0,高波动扩张 / 振幅已超ATR / 短期上侧偏离 / 大周期偏强,观察,高波动扩张,5.4451,68.24,1.7352,93.67,0.7352,振幅已超ATR,59.36,40.64,40.96,1.431,1.1426,中值上侧偏离,3.2818,0.5836,55.8,233MA上侧偏离,15.7438,2.4981,51.79,强趋势上行,9.9315,up,4,放量,2.643,优势不够大，不能单独触发策略；不是天然做空区域,16.0,100.0,100.0,18.04,0.0
HBAR-USDT,8H,ok,half_weight,0.7,7118.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2019-09-17 08:00,2026-06-02 08:00,7351,3.6619,4.4866,4.3508,3.9375,66.8874,39.0807,短期下侧偏离 + 大周期偏弱,2026-06-02 08:00,0.09,黄偏绿,低吸均值回归,45.59,常态波动 / 接近一倍ATR / 短期下侧偏离 / 大周期偏弱,均值回归可观察，但要服从大周期过滤,常态波动,4.2988,55.21,0.8623,52.13,-0.1377,接近一倍ATR,64.12,35.88,38.61,0.93,1.1395,中值下侧偏离,-7.7324,-1.9495,57.52,233MA下侧偏离,-2.1006,-0.4991,66.17,强趋势下行,-3.5555,down,3,缩量,0.51,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,45.59,81.78,49.0,28.55,10.0
ALGO-USDT,8H,ok,half_weight,0.7,7383.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2019-06-21 00:00,2026-06-02 08:00,7616,5.4511,5.6422,5.3427,4.9037,46.3514,18.8785,短期下侧偏离 + 大周期偏强,2026-06-02 08:00,0.12,绿,低吸均值回归,30.18,高波动扩张 / 接近一倍ATR / 短期下侧偏离 / 大周期偏强,均值回归可观察，但要服从大周期过滤,高波动扩张,5.2786,66.26,1.1283,72.31,0.1283,接近一倍ATR,57.0,43.0,40.17,1.1116,1.1506,中值下侧偏离,-4.3962,-0.8711,54.23,233MA上侧偏离,6.5179,1.1592,63.82,弱趋势混合,-1.4497,mixed,2,缩量,0.5222,优势不够大，不能单独触发策略；不是天然做空区域,30.18,39.25,65.0,30.9,8.0
LDO-USDT,8H,ok,half_weight,0.7,3875.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2022-09-02 08:00,2026-06-02 08:00,4108,5.2998,4.0192,3.8161,3.8354,29.8857,56.9389,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,0.3,黄偏绿,低吸均值回归,49.27,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,3.8052,23.21,2.2447,97.4,1.2447,振幅已超ATR,45.03,54.97,41.09,1.3818,1.0479,中值下侧偏离,-6.1073,-1.7094,52.38,233MA下侧极端,-12.7327,-3.8343,50.9,强趋势下行,-8.6465,down,4,放量,2.6345,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,49.27,100.0,100.0,33.44,4.0
CRV-USDT,8H,ok,half_weight,0.7,6122.0,1.0,0.7,0.9998,0.0002,True,requested_start_not_reached,233,OKX,2020-08-14 08:00,2026-06-02 08:00,6355,4.2598,3.2756,3.2369,3.3921,34.2483,66.2377,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,0.2,黄偏绿,低吸均值回归,44.92,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,3.2512,12.18,2.0944,96.78,1.0944,振幅已超ATR,47.57,52.43,42.37,1.2558,0.9657,中值下侧偏离,-4.5541,-1.4676,55.44,233MA下侧极端,-12.358,-4.3371,50.29,强趋势下行,-7.7708,down,4,放量,2.1476,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,44.92,100.0,79.0,33.44,4.0
ENS-USDT,8H,ok,half_weight,0.7,4767.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-11-09 00:00,2026-06-02 08:00,5000,4.228,3.698,3.6474,3.6815,25.3183,52.1309,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,5.44,黄偏红,向下突破,93.0,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,低波动启动,3.6482,29.97,1.6716,91.97,0.6716,振幅已超ATR,46.94,53.06,40.53,1.1485,1.0045,中值下侧偏离,-6.7968,-1.9989,55.75,233MA下侧极端,-11.0179,-3.394,49.71,强趋势下行,-10.112,down,4,缩量,0.4775,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,54.48,96.0,93.0,40.56,4.0
PENDLE-USDT,8H,ok,half_weight,0.7,1607.0,1.0,0.7,0.9995,0.0005,True,requested_start_not_reached,233,OKX,2024-09-27 08:00,2026-06-02 08:00,1840,6.9855,6.0075,6.0705,6.3229,11.0844,57.5916,短期过冷 + 大周期偏弱,2026-06-02 08:00,1.33,黄偏绿,向下突破,79.0,高波动扩张 / 振幅已超ATR / 短期过冷 / 大周期偏弱,可观察短线回归，但仍受大周期弱势约束,高波动扩张,6.1014,81.53,1.5574,90.01,0.5574,振幅已超ATR,60.5,39.5,46.39,1.1048,0.9501,中值下侧极端,-17.4346,-3.4608,84.0,233MA下侧偏离,-8.2007,-1.4641,76.81,强趋势下行,-13.6796,down,4,放量,2.298,如果大周期仍弱，只能当短线天气看；未到极端，但大天气仍偏弱,68.0,100.0,79.0,19.72,0.0
JUP-USDT,8H,ok,half_weight,0.7,2326.0,1.0,0.7,0.9996,0.0004,True,requested_start_not_reached,233,OKX,2024-01-31 16:00,2026-06-02 08:00,2559,7.001,5.3243,4.9237,4.7571,61.6729,74.0633,短期上侧偏离 + 大周期偏强,2026-06-02 08:00,0.19,绿,高抛均值回归,36.0,低波动启动 / 振幅已超ATR / 短期上侧偏离 / 大周期偏强,均值回归可观察，但要服从大周期过滤,低波动启动,4.8858,51.24,1.8339,95.54,0.8339,振幅已超ATR,45.16,54.84,40.64,1.4717,1.1192,中值上侧偏离,2.5073,0.5006,51.59,233MA上侧偏离,6.9439,1.329,56.42,弱趋势混合,2.4082,mixed,2,放量,1.8341,优势不够大，不能单独触发策略；不是天然做空区域,36.0,52.04,85.0,22.1,38.0
PYTH-USDT,8H,ok,half_weight,0.7,2542.0,1.0,0.7,0.9996,0.0004,True,requested_start_not_reached,233,OKX,2023-11-20 16:00,2026-06-02 08:00,2775,6.2111,5.2416,5.0501,4.9933,42.1379,54.325,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,0.04,黄偏绿,低吸均值回归,32.0,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,5.0339,52.62,1.6884,93.94,0.6884,振幅已超ATR,45.82,54.18,36.84,1.2439,1.0497,中值下侧偏离,-3.5745,-0.7364,52.74,233MA下侧极端,-13.9058,-3.2086,52.68,强趋势下行,-7.2263,down,4,量能正常,1.2103,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,32.0,100.0,100.0,33.44,6.0
TIA-USDT,8H,ok,half_weight,0.7,2602.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-10-31 16:00,2026-06-02 08:00,2835,6.2177,5.425,5.5438,5.6741,19.5161,69.1492,短期下侧偏离 + 大周期偏强,2026-06-02 08:00,0.37,绿,低吸均值回归,46.37,高波动扩张 / 振幅已超ATR / 短期下侧偏离 / 大周期偏强,均值回归可观察，但要服从大周期过滤,高波动扩张,5.5679,57.53,1.721,93.85,0.721,振幅已超ATR,64.26,35.74,39.97,1.0958,0.9561,中值下侧偏离,-11.9491,-2.4373,51.05,233MA上侧偏离,2.3783,0.4172,53.49,强趋势下行,-12.9906,down,4,量能正常,1.311,优势不够大，不能单独触发策略；不是天然做空区域,46.37,100.0,63.0,18.04,0.0
ONDO-USDT,8H,ok,half_weight,0.7,1787.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-07-29 08:00,2026-06-02 08:00,2020,6.3913,5.8668,5.8644,5.947,35.0018,79.5813,短期下侧偏离 + 大周期强势高位,2026-06-02 08:00,0.36,黄,向下突破,63.0,高波动扩张 / 振幅已超ATR / 短期下侧偏离 / 大周期强势高位,观察,高波动扩张,5.8771,78.05,1.2711,80.24,0.2711,振幅已超ATR,57.68,42.32,40.37,1.0747,0.9865,中值下侧偏离,-5.5757,-1.0047,52.66,233MA上侧极端,18.4105,2.6455,36.84,强趋势下行,-5.7463,down,4,放量,2.0164,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,20.59,96.73,63.0,34.46,0.0
FET-USDT,8H,ok,half_weight,0.7,2531.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-11-24 08:00,2026-06-02 08:00,2764,9.0481,8.2053,7.4742,6.57,51.2167,75.9986,短期贴近中轴 + 大周期偏强,2026-06-02 08:00,0.26,黄偏绿,向上突破,93.0,高波动扩张 / 振幅已超ATR / 短期贴近中轴 / 大周期偏强,观察,高波动扩张,7.3436,88.39,1.3185,82.06,0.3185,振幅已超ATR,57.44,42.56,41.68,1.3772,1.2489,中值贴近中轴,2.0957,0.2795,9.43,233MA上侧偏离,15.1849,1.7952,59.82,弱趋势上行,2.0391,up,3,量能正常,1.183,贴近中轴时继续拉伸概率通常更高；不是天然做空区域,0.0,82.2,93.0,20.98,16.0
PEPE-USDT,8H,ok,half_weight,0.7,3152.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-05-01 08:00,2026-06-02 08:00,3385,4.3923,3.5042,3.3848,3.3846,25.4266,57.1676,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,0.0,黄偏绿,低吸均值回归,48.92,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,3.3784,6.63,1.9684,95.18,0.9684,振幅已超ATR,44.13,55.87,40.87,1.2977,1.0353,中值下侧偏离,-5.4006,-1.6898,56.14,233MA下侧极端,-13.532,-4.6324,55.67,强趋势下行,-8.5855,down,4,放量,3.3313,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,48.92,100.0,100.0,33.44,4.0
SHIB-USDT,8H,ok,half_weight,0.7,5321.0,1.0,0.7,0.9998,0.0002,True,requested_start_not_reached,233,OKX,2021-05-08 08:00,2026-06-02 08:00,5554,3.1945,2.5479,2.4271,2.3947,33.9822,49.7527,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,0.0,黄偏绿,低吸均值回归,36.06,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,2.4171,11.92,2.0141,94.81,1.0141,振幅已超ATR,47.0,53.0,40.0,1.334,1.064,中值下侧偏离,-2.3041,-0.9757,58.36,233MA下侧极端,-11.7265,-5.4959,53.16,强趋势下行,-4.4048,down,4,放量,1.7093,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,36.06,94.02,100.0,33.58,22.0
BONK-USDT,8H,ok,half_weight,0.7,2396.0,1.0,0.7,0.9996,0.0004,True,requested_start_not_reached,233,OKX,2024-01-08 08:00,2026-06-02 08:00,2629,5.3891,4.1578,3.9518,3.9081,27.2175,49.6132,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,0.0,黄偏绿,低吸均值回归,56.18,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,3.9358,14.01,2.3396,97.88,1.3396,振幅已超ATR,42.09,57.91,43.14,1.3789,1.0639,中值下侧偏离,-7.6115,-2.0932,51.24,233MA下侧极端,-16.6972,-5.0927,53.59,强趋势下行,-10.0141,down,4,放量,1.8257,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,56.18,100.0,100.0,33.44,4.0
FLOKI-USDT,8H,ok,half_weight,0.7,3560.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2022-12-16 08:00,2026-06-02 08:00,3793,4.7903,3.8927,3.6676,3.6013,34.8152,56.9949,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,0.0,黄偏绿,低吸均值回归,43.53,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,3.6475,18.45,1.97,94.91,0.97,振幅已超ATR,46.54,53.46,37.28,1.3302,1.0809,中值下侧偏离,-4.8264,-1.3903,53.88,233MA下侧极端,-12.4431,-3.8962,54.59,强趋势下行,-6.7226,down,4,放量,1.6314,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,43.53,100.0,100.0,33.44,4.0
WIF-USDT,8H,ok,half_weight,0.7,2102.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-04-15 08:00,2026-06-02 08:00,2335,5.6459,4.6283,4.4043,4.2971,40.7583,69.6387,短期下侧偏离 + 大周期偏弱,2026-06-02 08:00,0.18,黄偏绿,向下突破,100.0,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期偏弱,不把短期下偏当买点，等待更强共振,低波动启动,4.3806,17.64,1.8288,95.41,0.8288,振幅已超ATR,44.52,55.48,38.16,1.3139,1.0771,中值下侧偏离,-3.3044,-0.7801,51.24,233MA下侧偏离,-7.2957,-1.7965,68.81,强趋势下行,-6.7636,down,4,放量,1.6675,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,24.54,100.0,100.0,18.04,30.0
ORDI-USDT,8H,ok,half_weight,0.7,3094.0,1.0,0.7,0.9997,0.0003,True,requested_start_not_reached,233,OKX,2023-05-20 16:00,2026-06-02 08:00,3327,9.4861,7.3021,6.6228,6.299,41.3938,62.2543,短期贴近中轴 + 大周期偏弱,2026-06-02 08:00,3.64,黄偏红,向下突破,85.0,高波动扩张 / 振幅已超ATR / 短期贴近中轴 / 大周期偏弱,谨慎观察，不把单一短期偏离当入场理由,高波动扩张,6.5471,69.03,1.2637,80.28,0.2637,振幅已超ATR,58.97,41.03,39.05,1.506,1.1592,中值贴近中轴,-1.6358,-0.254,10.33,233MA下侧偏离,-2.6752,-0.4198,69.02,趋势不明,-0.8425,mixed,2,放量,1.7682,贴近中轴时继续拉伸概率通常更高；未到极端，但大天气仍偏弱,0.0,44.21,85.0,22.1,30.0
SATS-USDT,8H,ok,half_weight,0.7,2459.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-12-18 08:00,2026-06-02 08:00,2692,6.5648,5.1756,4.9227,4.8628,45.3151,65.2557,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,0.0,黄偏绿,低吸均值回归,55.06,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,4.9008,33.39,1.8689,94.57,0.8689,振幅已超ATR,47.46,52.54,38.02,1.35,1.0643,中值下侧偏离,-9.0523,-2.031,58.24,233MA下侧极端,-17.2525,-4.2543,52.57,强趋势下行,-9.6758,down,4,放量,2.0495,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,55.06,100.0,100.0,33.44,4.0
NOT-USDT,8H,ok,half_weight,0.7,2008.0,1.0,0.7,0.9996,0.0004,True,requested_start_not_reached,233,OKX,2024-05-16 16:00,2026-06-02 08:00,2241,7.5639,5.6336,5.2333,5.2579,50.9261,81.3776,短期下侧偏离 + 大周期偏强,2026-06-02 08:00,0.0,黄偏绿,向上突破,63.0,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期偏强,观察,低波动启动,5.2086,51.64,2.1754,97.11,1.1754,振幅已超ATR,47.37,52.63,37.92,1.4386,1.0715,中值下侧偏离,-4.8495,-0.9785,55.46,233MA上侧偏离,2.1212,0.3988,65.55,强趋势下行,-3.2234,down,4,放量,1.5764,优势不够大，不能单独触发策略；不是天然做空区域,28.11,98.12,87.0,20.26,14.0
ENA-USDT,8H,ok,half_weight,0.7,542.0,1.0,0.7,0.9987,0.0013,True,requested_start_not_reached,233,OKX,2025-09-17 08:00,2026-06-02 08:00,775,5.5087,4.8597,4.8219,4.93,27.3557,63.4599,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,0.08,黄偏绿,趋势做空,100.0,高波动扩张 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,趋势天气较友好，等方向和量能确认,高波动扩张,4.8297,60.83,1.5463,90.75,0.5463,振幅已超ATR,82.76,17.24,40.52,1.1174,0.9857,中值下侧偏离,-8.9942,-2.0463,46.89,233MA下侧极端,-18.7337,-4.773,52.49,强趋势下行,-10.4571,down,4,量能正常,1.1729,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,47.33,100.0,69.0,33.44,0.0
W-USDT,8H,ok,half_weight,0.7,2137.0,1.0,0.7,0.9996,0.0004,True,requested_start_not_reached,233,OKX,2024-04-03 16:00,2026-06-02 08:00,2370,8.7578,6.5354,5.7181,5.213,46.6195,71.6524,短期下侧偏离 + 大周期偏弱,2026-06-02 08:00,0.01,黄偏红,向下突破,85.0,高波动扩张 / 振幅已超ATR / 短期下侧偏离 / 大周期偏弱,谨慎观察，不把单一短期偏离当入场理由,高波动扩张,5.621,62.35,2.0159,96.97,1.0159,振幅已超ATR,63.08,36.92,40.29,1.68,1.2537,中值下侧偏离,-2.9305,-0.5371,55.83,233MA下侧偏离,-11.7607,-2.3711,62.56,趋势不明,0.5644,mixed,2,放量,2.5169,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,28.0,42.82,85.0,22.1,30.0
STRK-USDT,8H,ok,half_weight,0.7,2266.0,1.0,0.7,0.9996,0.0004,True,requested_start_not_reached,233,OKX,2024-02-20 16:00,2026-06-02 08:00,2499,6.6015,5.407,5.2965,5.3728,29.6687,66.833,短期下侧偏离 + 大周期偏弱,2026-06-02 08:00,0.04,黄偏绿,向下突破,100.0,高波动扩张 / 振幅已超ATR / 短期下侧偏离 / 大周期偏弱,不把短期下偏当买点，等待更强共振,高波动扩张,5.2979,61.93,1.8988,95.8,0.8988,振幅已超ATR,62.3,37.7,40.83,1.2287,1.0064,中值下侧偏离,-7.9123,-1.6218,51.46,233MA下侧偏离,-9.6281,-2.011,56.94,强趋势下行,-9.4331,down,4,放量,2.3893,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,31.69,100.0,100.0,18.04,0.0
ZK-USDT,8H,ok,half_weight,0.7,1910.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-06-18 08:00,2026-06-02 08:00,2143,5.8229,5.174,4.9953,4.8868,30.6811,47.3708,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,0.01,黄偏绿,低吸均值回归,44.61,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,4.9727,48.24,1.5279,90.45,0.5279,振幅已超ATR,44.32,55.68,42.11,1.1916,1.0588,中值下侧偏离,-6.7287,-1.4508,53.85,233MA下侧极端,-20.8827,-5.308,54.01,强趋势下行,-9.0811,down,4,放量,1.5153,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,44.61,100.0,100.0,33.44,0.0
ZRO-USDT,8H,ok,half_weight,0.7,1903.0,1.0,0.7,0.9995,0.0005,True,requested_start_not_reached,233,OKX,2024-06-20 16:00,2026-06-02 08:00,2136,5.1137,4.3875,4.2914,4.2828,21.9964,19.1508,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,1.1,黄偏绿,低吸均值回归,57.69,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,4.2838,26.4,1.763,94.32,0.763,振幅已超ATR,42.57,57.43,43.41,1.194,1.0244,中值下侧偏离,-8.531,-2.1772,53.07,233MA下侧极端,-33.3464,-11.6787,60.03,强趋势下行,-9.1216,down,4,放量,1.7141,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,57.69,100.0,100.0,33.44,4.0
GALA-USDT,8H,ok,half_weight,0.7,4910.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-09-22 08:00,2026-06-02 08:00,5143,5.1499,4.1447,4.0018,4.0174,23.6843,60.2304,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,0.0,黄偏绿,低吸均值回归,52.52,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,3.9946,30.4,2.0687,96.23,1.0687,振幅已超ATR,45.22,54.78,42.71,1.2819,1.0317,中值下侧偏离,-7.019,-1.8897,53.63,233MA下侧极端,-11.881,-3.3753,57.23,强趋势下行,-10.3096,down,4,放量,2.2053,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,52.52,100.0,100.0,33.44,4.0
SAND-USDT,8H,ok,half_weight,0.7,5474.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-03-18 08:00,2026-06-02 08:00,5707,5.3538,4.031,3.7197,3.5706,27.3817,47.8681,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,0.06,黄偏绿,低吸均值回归,54.08,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,3.6872,38.89,2.187,96.87,1.187,振幅已超ATR,46.79,53.21,39.94,1.4994,1.1289,中值下侧偏离,-6.7932,-1.9767,53.34,233MA下侧极端,-18.867,-6.3068,53.83,强趋势下行,-11.7071,down,4,放量,3.3414,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,54.08,100.0,100.0,33.44,4.0
MANA-USDT,8H,ok,half_weight,0.7,8960.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2018-01-11 08:00,2026-06-02 08:00,9193,3.8539,3.1266,2.9851,2.9546,28.1862,68.0095,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,0.08,黄偏绿,低吸均值回归,50.06,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,2.974,16.01,1.961,95.05,0.961,振幅已超ATR,46.84,53.16,41.0,1.3044,1.0582,中值下侧偏离,-4.9561,-1.7534,56.77,233MA下侧极端,-12.1307,-4.642,53.85,强趋势下行,-8.1801,down,4,放量,1.5879,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,50.06,100.0,100.0,33.44,4.0
