date,close,kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,deviationRate,deviationAtr,positionPct,historicalRateRankPct,historicalAtrRankPct,historicalPositionRankPct,similarOccurrences,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,avgAtrChangePct,medianDistanceChangeAtr
2026-06-01 16:00,0.33,中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,7.86,2.5395,1.14,58.13,70.53,77.58,69.8,2783,53.93,46.07,6.25,52.43,41.72,58.28,0.3464,-0.0503
2026-06-01 16:00,0.33,中值,middle,短期拉伸/回归,中值上侧偏离,3,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,中,11.68,2.5395,1.14,58.13,70.53,77.58,69.8,2783,55.84,44.16,17.46,53.18,46.57,53.43,1.0496,-0.1043
2026-06-01 16:00,0.33,中值,middle,短期拉伸/回归,中值上侧偏离,5,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,中,10.14,2.5395,1.14,58.13,70.53,77.58,69.8,2782,55.07,44.93,25.99,53.13,47.45,52.55,1.7433,-0.1085
2026-06-01 16:00,0.33,中值,middle,短期拉伸/回归,中值上侧偏离,10,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,9.68,2.5395,1.14,58.13,70.53,77.58,69.8,2781,54.84,45.16,40.78,53.29,50.95,49.05,3.4533,-0.1138
2026-06-01 16:00,0.33,233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,16.36,-9.9696,-5.0972,52.79,35.05,27.19,40.61,3474,41.82,58.18,0.09,48.7,34.43,65.57,-0.0845,0.1025
2026-06-01 16:00,0.33,233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,7.2,-9.9696,-5.0972,52.79,35.05,27.19,40.61,3472,46.4,53.6,0.58,49.31,37.85,62.15,-0.238,0.1032
2026-06-01 16:00,0.33,233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,3.68,-9.9696,-5.0972,52.79,35.05,27.19,40.61,3470,48.16,51.84,1.15,49.51,38.73,61.27,-0.2289,0.0565
2026-06-01 16:00,0.33,233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,0.54,-9.9696,-5.0972,52.79,35.05,27.19,40.61,3465,50.27,49.73,3.35,49.49,42.11,57.89,0.1489,-0.0135
