instrument,bar,horizon,environment,environmentDirection,hitMeaning,observations,weightedObservations,hitRatePct,baselineRatePct,liftPct,liftWilsonLow,avgFutureReturnPct,medianFutureReturnPct,avgAbsFutureReturnPct,avgFutureRangePct,periodWeightAvg,lowSample,eligibleForCross,mainHorizon,passCandidate,firstDate,lastDate
ALGO-USDT,1D,3,TREND,up,方向命中,740,518.0,48.92,52.03,-3.11,-6.7,1.547,-0.3539,8.4783,18.5479,0.7,False,True,False,False,2020-02-06,2026-05-29
ALGO-USDT,1D,5,CHAOS,neutral,高扰动命中,125,87.5,9.6,25.09,-15.49,-19.51,0.1726,-0.0703,8.0986,18.2222,0.7,False,True,True,False,2020-02-26,2026-05-19
ALGO-USDT,1D,5,RANGE,neutral,低波动维持,89,62.3,49.44,50.07,-0.63,-10.77,0.6041,0.6834,8.7928,17.4513,0.7,False,True,True,False,2020-03-02,2026-05-25
ALGO-USDT,1D,5,TREND,down,方向命中,696,487.2,50.29,48.69,1.6,-2.11,-0.2168,-0.0964,7.8759,18.8497,0.7,False,True,True,False,2020-03-07,2026-05-27
ALGO-USDT,1D,5,TREND,up,方向命中,737,515.9,47.63,52.54,-4.92,-8.5,2.3716,-0.5299,11.353,24.465,0.7,False,True,True,False,2020-02-08,2026-05-13
ALGO-USDT,1D,10,CHAOS,neutral,高扰动命中,125,87.5,12.0,25.12,-13.12,-17.71,0.9817,-0.5356,11.8389,26.1404,0.7,False,True,True,False,2020-02-26,2026-05-19
ALGO-USDT,1D,10,RANGE,neutral,低波动维持,87,60.9,50.57,50.08,0.49,-9.81,-1.1413,0.0335,12.9743,26.6197,0.7,False,True,True,False,2020-03-02,2025-12-27
ALGO-USDT,1D,10,TREND,down,方向命中,695,486.5,52.66,48.96,3.7,-0.02,-1.0083,-0.9014,10.5119,26.1855,0.7,False,True,True,False,2020-03-07,2026-05-18
ALGO-USDT,1D,10,TREND,up,方向命中,732,512.4,44.67,53.68,-9.01,-12.57,4.1095,-2.3847,16.9238,35.5829,0.7,False,True,True,False,2020-02-13,2026-05-13
ALGO-USDT,1W,1,CHAOS,neutral,高扰动命中,5,0.9,20.0,25.79,-5.79,-22.17,5.5604,2.9706,11.0234,25.65,0.18,True,False,False,False,2024-04-07,2026-05-10
ALGO-USDT,1W,1,RANGE,neutral,低波动维持,1,0.18,0.0,51.16,-51.16,-51.16,-9.7803,-9.7803,9.7803,18.0723,0.18,True,False,False,False,2024-09-22,2024-09-22
ALGO-USDT,1W,1,TREND,down,方向命中,49,8.82,61.22,52.36,8.87,-5.11,-0.5476,-3.3531,8.9011,17.759,0.18,False,True,False,True,2024-05-19,2026-04-12
ALGO-USDT,1W,1,TREND,up,方向命中,43,7.74,44.19,52.45,-8.27,-22.02,-1.0485,-1.9717,10.1894,25.5597,0.18,False,True,False,False,2023-12-03,2026-05-03
ALGO-USDT,1W,3,CHAOS,neutral,高扰动命中,4,0.72,50.0,26.49,23.51,-11.49,53.6665,1.2824,69.4745,94.2593,0.18,True,False,False,False,2024-04-07,2025-05-04
ALGO-USDT,1W,3,RANGE,neutral,低波动维持,1,0.18,100.0,51.22,48.78,-30.57,-8.5046,-8.5046,8.5046,19.915,0.18,True,False,False,True,2024-09-22,2024-09-22
ALGO-USDT,1W,3,TREND,down,方向命中,49,8.82,55.1,59.68,-4.58,-18.37,3.8312,-1.2302,19.0253,36.483,0.18,False,True,False,False,2024-05-19,2026-04-12
ALGO-USDT,1W,3,TREND,up,方向命中,41,7.38,29.27,50.93,-21.66,-33.32,-1.8075,-7.1374,19.6154,42.832,0.18,False,True,False,False,2023-12-17,2026-05-03
ALGO-USDT,1W,5,CHAOS,neutral,高扰动命中,4,0.72,25.0,26.12,-1.12,-21.56,40.0672,-4.4902,58.9865,114.7748,0.18,True,False,True,False,2024-04-07,2025-05-04
ALGO-USDT,1W,5,RANGE,neutral,低波动维持,1,0.18,0.0,51.28,-51.28,-51.28,-23.3877,-23.3877,23.3877,26.3643,0.18,True,False,True,False,2024-09-22,2024-09-22
ALGO-USDT,1W,5,TREND,down,方向命中,49,8.82,57.14,61.76,-4.61,-18.49,12.2771,-5.6762,31.8779,56.4306,0.18,False,True,True,False,2024-05-19,2026-04-12
ALGO-USDT,1W,5,TREND,up,方向命中,38,6.84,31.58,44.72,-13.14,-25.64,-4.7235,-11.6736,22.8319,53.2201,0.18,False,True,True,False,2023-12-31,2025-08-24
ALGO-USDT,1W,10,CHAOS,neutral,高扰动命中,4,0.72,25.0,26.77,-1.77,-22.21,52.636,18.2279,63.7731,134.2983,0.18,True,False,True,False,2024-04-07,2025-05-04
ALGO-USDT,1W,10,RANGE,neutral,低波动维持,1,0.18,0.0,50.0,-50.0,-50.0,250.1063,250.1063,250.1063,360.5245,0.18,True,False,True,False,2024-09-22,2024-09-22
ALGO-USDT,1W,10,TREND,down,方向命中,45,8.1,55.56,57.25,-1.7,-16.08,18.4448,-8.6801,46.089,85.3917,0.18,False,True,True,False,2024-05-19,2026-03-15
ALGO-USDT,1W,10,TREND,up,方向命中,33,5.94,9.09,58.49,-49.4,-55.35,-25.7251,-30.8781,32.9987,71.7033,0.18,False,True,True,False,2024-02-04,2025-08-24
ALGO-USDT,4H,1,CHAOS,neutral,高扰动命中,1103,772.1,22.12,25.01,-2.89,-5.24,0.073,0.0339,1.6662,3.4111,0.7,False,True,False,False,2019-08-05 12:00,2026-06-02 04:00
ALGO-USDT,4H,1,RANGE,neutral,低波动维持,1897,1327.9,72.64,50.74,21.9,19.85,-0.0272,0.0,0.8145,1.7024,0.7,False,True,False,True,2019-07-31 08:00,2026-05-26 04:00
ALGO-USDT,4H,1,TREND,down,方向命中,3346,2342.2,46.5,43.17,3.33,1.65,0.0574,0.0978,1.8805,3.9808,0.7,False,True,False,False,2019-07-30 12:00,2026-06-02 08:00
ALGO-USDT,4H,1,TREND,up,方向命中,3921,2744.7,47.51,42.76,4.76,3.2,0.0085,-0.068,1.8947,4.0431,0.7,False,True,False,False,2019-08-02 00:00,2026-06-01 00:00
ALGO-USDT,4H,3,CHAOS,neutral,高扰动命中,1102,771.4,20.15,25.01,-4.87,-7.13,0.2148,0.0,2.7037,5.8636,0.7,False,True,False,False,2019-08-05 12:00,2026-06-02 00:00
ALGO-USDT,4H,3,RANGE,neutral,低波动维持,1897,1327.9,70.16,50.59,19.57,17.47,-0.0591,0.0,1.5367,3.1812,0.7,False,True,False,True,2019-07-31 08:00,2026-05-26 04:00
