instrument,bar,horizon,environment,environmentDirection,hitMeaning,observations,weightedObservations,hitRatePct,baselineRatePct,liftPct,liftWilsonLow,avgFutureReturnPct,medianFutureReturnPct,avgAbsFutureReturnPct,avgFutureRangePct,periodWeightAvg,lowSample,eligibleForCross,mainHorizon,passCandidate,firstDate,lastDate
AAVE-USDT,8H,10,TREND,down,方向命中,1482,1037.4,48.25,49.31,-1.07,-3.6,0.7595,0.2802,7.7116,16.9199,0.7,False,True,True,False,2021-01-11 08:00,2026-05-29 00:00
AAVE-USDT,8H,10,TREND,up,方向命中,1906,1334.2,48.06,51.97,-3.91,-6.15,0.5538,-0.3619,7.5215,16.7469,0.7,False,True,True,False,2021-01-11 00:00,2026-05-12 00:00
ADA-USDT,1D,1,CHAOS,neutral,高扰动命中,148,103.6,27.03,25.06,1.97,-4.54,0.2858,0.351,3.5691,7.7943,0.7,False,True,False,False,2019-04-20,2026-05-15
ADA-USDT,1D,1,RANGE,neutral,低波动维持,89,62.3,55.06,50.04,5.02,-5.31,-0.6411,-0.4819,2.682,5.5831,0.7,False,True,False,True,2019-04-21,2026-05-16
ADA-USDT,1D,1,TREND,down,方向命中,869,608.3,50.29,49.53,0.76,-2.56,-0.055,-0.0163,3.3053,7.3293,0.7,False,True,False,False,2019-04-23,2026-05-28
ADA-USDT,1D,1,TREND,up,方向命中,910,637.0,50.0,50.96,-0.96,-4.2,0.6765,0.0019,4.1064,8.7796,0.7,False,True,False,False,2019-03-12,2026-05-13
ADA-USDT,1D,3,CHAOS,neutral,高扰动命中,148,103.6,23.65,25.07,-1.42,-7.55,0.6807,-0.4433,5.9181,13.3693,0.7,False,True,False,False,2019-04-20,2026-05-15
ADA-USDT,1D,3,RANGE,neutral,低波动维持,89,62.3,57.3,50.04,7.26,-3.11,-0.4014,-1.531,5.3979,11.0886,0.7,False,True,False,True,2019-04-21,2026-05-16
ADA-USDT,1D,3,TREND,down,方向命中,869,608.3,51.67,51.09,0.58,-2.74,-0.0117,-0.2673,5.5922,12.8447,0.7,False,True,False,False,2019-04-23,2026-05-28
ADA-USDT,1D,3,TREND,up,方向命中,908,635.6,50.44,50.19,0.25,-3.0,1.7195,0.1028,7.2221,15.6481,0.7,False,True,False,False,2019-03-14,2026-05-13
ADA-USDT,1D,5,CHAOS,neutral,高扰动命中,148,103.6,20.27,25.06,-4.79,-10.48,0.1676,-0.1689,7.2525,17.8336,0.7,False,True,True,False,2019-04-20,2026-05-15
ADA-USDT,1D,5,RANGE,neutral,低波动维持,89,62.3,53.93,50.04,3.89,-6.41,-0.3989,-2.4125,7.1473,14.3601,0.7,False,True,True,False,2019-04-21,2026-05-16
ADA-USDT,1D,5,TREND,down,方向命中,867,606.9,51.56,49.93,1.63,-1.7,-0.0332,-0.3968,7.2683,16.7572,0.7,False,True,True,False,2019-04-23,2026-05-23
