indicator,indicatorKey,bucket,bucketRange,horizon,occurrences,valueMin,valueMedian,valueMax,avgReturnPct,medianReturnPct,upRatePct,avgAbsReturnPct,avgMaxUpPct,avgMaxDownPct,avgExcursionPct,lastSeen
13/21日ATR比,atr13To21,极低,0-10%,1,292,0.7891,0.8779,0.905,0.1113,0.091,52.05,1.7778,1.7392,-1.688,3.4272,2018-10-01
13/21日ATR比,atr13To21,偏低,10-30%,1,584,0.905,0.9315,0.9503,0.0221,0.0402,50.68,1.9229,1.9675,-1.9733,3.9408,2026-04-24
13/21日ATR比,atr13To21,中性,30-70%,1,1167,0.9504,0.9883,1.0268,0.122,0.1203,52.36,1.9748,2.1377,-2.0946,4.2323,2026-02-16
13/21日ATR比,atr13To21,偏高,70-90%,1,584,1.0269,1.052,1.0997,0.1814,0.0714,51.54,2.3142,2.4994,-2.6062,5.1056,2020-10-29
13/21日ATR比,atr13To21,极高,90-100%,1,293,1.1001,1.1331,1.2518,0.2737,0.3443,56.66,2.9707,3.3703,-3.6835,7.0538,2021-01-11
13/21日ATR比,atr13To21,极低,0-10%,3,292,0.7891,0.8779,0.905,0.3949,0.2613,54.79,3.7927,3.7268,-3.2834,7.0102,2018-10-01
13/21日ATR比,atr13To21,偏低,10-30%,3,584,0.905,0.9315,0.9503,0.0519,-0.1137,48.8,3.5713,3.6427,-3.6171,7.2598,2026-04-24
13/21日ATR比,atr13To21,中性,30-70%,3,1165,0.9504,0.9883,1.0268,0.4054,0.1484,51.76,3.6273,3.9221,-3.708,7.6301,2026-02-16
13/21日ATR比,atr13To21,偏高,70-90%,3,584,1.0269,1.052,1.0997,0.418,0.2359,52.4,4.047,4.4164,-4.4695,8.8859,2020-10-29
13/21日ATR比,atr13To21,极高,90-100%,3,293,1.1001,1.1331,1.2518,0.9034,1.0543,56.66,5.186,6.0245,-5.7447,11.7693,2021-01-11
13/21日ATR比,atr13To21,极低,0-10%,5,292,0.7891,0.8779,0.905,0.8686,0.5585,53.77,5.3822,5.5689,-4.432,10.0008,2018-10-01
13/21日ATR比,atr13To21,偏低,10-30%,5,584,0.905,0.9315,0.9503,-0.1083,-0.3048,46.23,4.7621,4.6938,-4.836,9.5298,2026-04-24
13/21日ATR比,atr13To21,中性,30-70%,5,1163,0.9504,0.9883,1.0268,0.5973,0.3359,53.14,4.7006,5.1619,-4.8185,9.9804,2026-02-16
13/21日ATR比,atr13To21,偏高,70-90%,5,584,1.0269,1.052,1.0997,0.9395,0.2588,52.74,5.4251,5.9693,-5.619,11.5884,2020-10-29
13/21日ATR比,atr13To21,极高,90-100%,5,293,1.1001,1.1331,1.2518,1.5585,1.0678,58.7,6.3123,7.7737,-6.9742,14.7478,2021-01-11
13/21日ATR比,atr13To21,极低,0-10%,10,292,0.7891,0.8779,0.905,2.4779,1.1348,58.22,8.664,9.7825,-6.2726,16.0551,2018-10-01
13/21日ATR比,atr13To21,偏低,10-30%,10,582,0.905,0.9315,0.9503,-0.5119,-0.4451,48.28,7.166,6.6465,-7.4552,14.1017,2026-04-24
13/21日ATR比,atr13To21,中性,30-70%,10,1160,0.9504,0.9883,1.0268,0.9169,0.6249,53.1,6.7902,7.547,-6.9269,14.4739,2026-02-16
13/21日ATR比,atr13To21,偏高,70-90%,10,584,1.0269,1.052,1.0997,2.6527,1.2191,55.14,8.3442,9.3214,-7.2363,16.5577,2020-10-29
13/21日ATR比,atr13To21,极高,90-100%,10,293,1.1001,1.1331,1.2518,2.8559,1.4679,59.04,8.2502,10.8243,-8.4905,19.3148,2021-01-11
13日剩余动能ATR,remainingMomentumAtr13,极低,0-10%,1,292,-0.8507,-0.5861,-0.5222,-0.0994,-0.0168,48.97,1.7552,1.6242,-1.7977,3.4219,2024-05-17
13日剩余动能ATR,remainingMomentumAtr13,偏低,10-30%,1,583,-0.5221,-0.4066,-0.312,0.1742,0.0709,52.66,2.0221,2.1058,-2.0079,4.1137,2019-01-29
13日剩余动能ATR,remainingMomentumAtr13,中性,30-70%,1,1168,-0.3116,-0.126,0.1094,0.1097,0.1376,52.14,2.0977,2.2349,-2.2325,4.4674,2018-07-18
13日剩余动能ATR,remainingMomentumAtr13,偏高,70-90%,1,584,0.1102,0.2833,0.5958,0.2063,0.1382,52.57,2.1984,2.4031,-2.4082,4.8113,2021-08-05
13日剩余动能ATR,remainingMomentumAtr13,极高,90-100%,1,293,0.5979,0.9686,5.0127,0.1801,0.1632,54.61,2.5368,3.0135,-3.35,6.3635,2018-10-14
13日剩余动能ATR,remainingMomentumAtr13,极低,0-10%,3,292,-0.8507,-0.5861,-0.5222,0.1845,0.056,50.68,3.1459,3.4621,-3.302,6.7641,2024-05-17
13日剩余动能ATR,remainingMomentumAtr13,偏低,10-30%,3,583,-0.5221,-0.4066,-0.312,0.2088,-0.0564,49.06,3.753,3.9238,-3.8258,7.7496,2019-01-29
13日剩余动能ATR,remainingMomentumAtr13,中性,30-70%,3,1167,-0.3116,-0.1257,0.1094,0.5224,0.2941,53.21,3.9952,4.2623,-3.9756,8.2379,2018-07-18
