kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,20.02,2693,-22.3558,-6.6039,45.19,39.99,60.01,0.0,49.39,33.68,66.32,0.1334,0.0036
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,10.7,636,-5.608,-1.4642,63.46,44.65,55.35,5.66,46.86,40.88,59.12,0.0614,-0.1035
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,47.86,257,0.0234,0.0055,69.69,26.07,73.93,38.13,51.75,35.02,64.98,0.1755,0.0351
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,2.2,1315,31.367,4.3832,86.38,48.9,51.1,0.0,52.17,41.9,58.1,0.0179,0.1168
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,6.66,615,7.722,1.4912,73.73,46.67,53.33,4.23,48.94,39.67,60.33,0.042,0.102
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,12.44,2693,-22.3558,-6.6039,45.19,43.78,56.22,0.19,49.2,36.09,63.91,0.1544,0.0173
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,14.96,635,-5.6097,-1.4643,63.46,42.52,57.48,11.97,45.98,45.98,54.02,0.1732,-0.375
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,74.22,256,0.028,0.0055,69.72,12.89,87.11,41.41,49.22,38.28,61.72,0.4572,-0.0375
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,4.64,1315,31.367,4.3832,86.38,52.32,47.68,0.23,53.08,46.46,53.54,-0.0531,0.3064
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,9.6,615,7.722,1.4912,73.73,45.2,54.8,11.06,49.59,46.34,53.66,0.0771,0.515
