kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,17.34,1633,-25.0142,-6.5707,33.05,41.33,58.67,0.06,46.66,35.21,64.79,0.1239,-0.0395
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,6.78,354,-6.9861,-1.5716,54.29,46.61,53.39,5.65,47.46,38.7,61.3,0.0524,-0.1608
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,65.96,94,0.2078,0.0388,60.51,17.02,82.98,44.68,57.45,47.87,52.13,0.2785,-0.4025
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,3.14,254,34.1861,4.7129,77.46,51.57,48.43,0.0,52.36,47.64,52.36,-0.0229,-0.1685
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,7.86,267,7.1899,1.4288,67.25,53.93,46.07,4.12,56.93,40.45,59.55,-0.0625,-0.1474
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,13.28,1633,-25.0142,-6.5707,33.05,43.36,56.64,0.37,45.81,38.46,61.54,0.183,-0.0971
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,15.82,354,-6.9861,-1.5716,54.29,42.09,57.91,12.15,42.94,44.35,55.65,0.1814,-0.5701
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,80.86,94,0.2078,0.0388,60.51,9.57,90.43,59.57,62.77,55.32,44.68,0.5661,-0.9863
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,14.18,254,34.1861,4.7129,77.46,57.09,42.91,0.0,55.91,53.54,46.46,-0.2007,-0.3939
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,1.14,265,7.1899,1.4288,67.24,49.43,50.57,13.21,55.47,45.66,54.34,0.0064,-0.6043
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,10.6,1633,-25.0142,-6.5707,33.05,44.7,55.3,0.73,46.6,37.72,62.28,0.1899,-0.1766
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,21.46,354,-6.9861,-1.5716,54.29,39.27,60.73,17.51,42.94,47.46,52.54,0.296,-0.7604
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,85.1,94,0.2078,0.0388,60.51,7.45,92.55,64.89,69.15,55.32,44.68,0.6442,-1.5592
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中强,23.62,254,34.1861,4.7129,77.46,61.81,38.19,0.39,56.3,56.69,43.31,-0.3444,-0.6498
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,4.94,263,7.1951,1.4401,67.2,52.47,47.53,22.05,63.12,48.29,51.71,-0.0405,-1.2407
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,6.8,1633,-25.0142,-6.5707,33.05,46.6,53.4,1.78,44.09,38.33,61.67,0.1897,-0.3302
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,强,33.9,354,-6.9861,-1.5716,54.29,33.05,66.95,22.6,38.7,49.72,50.28,0.7377,-1.8697
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,85.1,94,0.2078,0.0388,60.51,7.45,92.55,56.38,60.64,50.0,50.0,0.8517,-1.3006
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,强,34.64,254,34.1861,4.7129,77.46,67.32,32.68,1.57,59.84,53.54,46.46,-0.5854,-1.3941
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,6.98,258,7.1711,1.419,66.88,46.51,53.49,34.88,64.73,56.98,43.02,0.0695,-2.8784
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,中,17.2,186,-12.0001,-2.5894,11.76,58.6,41.4,0.0,50.0,29.03,70.97,-0.1133,0.141
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,0.7,1156,-6.2282,-1.2866,31.63,50.35,49.65,6.06,47.49,32.87,67.13,-0.0039,-0.1156
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,57.98,414,0.0985,0.0185,50.12,21.01,78.99,34.54,47.83,36.47,63.53,0.2403,-0.1283
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,46.94,49,14.6613,2.5851,87.85,73.47,26.53,2.04,65.31,83.67,16.33,-0.4691,-1.0759
中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,中,12.42,797,5.8505,1.1521,66.82,56.21,43.79,7.03,54.45,45.17,54.83,-0.0822,-0.0354
中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,49.46,186,-12.0001,-2.5894,11.76,74.73,25.27,2.69,51.08,31.18,68.82,-0.4956,0.2231
