kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,17.54,2486,-17.1968,-6.1576,33.8,41.23,58.77,0,46.9,41.67,58.33,0.1222,-0.0412
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,11.74,707,-4.1337,-1.295,52.59,44.13,55.87,4.67,47.67,40.03,59.97,0.058,0.0842
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,49.8,255,-0.0623,-0.0202,58.19,25.1,74.9,34.51,48.63,40.78,59.22,0.1861,0.0725
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,0.42,1193,27.0809,5.2758,83.32,49.79,50.21,0,53.31,46.44,53.56,0.0035,0.1238
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,0.16,639,4.7539,1.2685,63.54,50.08,49.92,6.1,53.05,43.51,56.49,-0.0025,-0.0673
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,10.54,2486,-17.1968,-6.1576,33.8,44.73,55.27,0.56,47.22,41.35,58.65,0.1329,-0.043
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,12.88,707,-4.1337,-1.295,52.59,43.56,56.44,10.75,47.52,38.47,61.53,0.1523,-0.1471
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,67.84,255,-0.0623,-0.0202,58.19,16.08,83.92,44.31,49.41,42.75,57.25,0.5261,0.2354
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,5.62,1191,27.0809,5.2813,83.32,52.81,47.19,0.08,52.9,48.03,51.97,-0.061,0.4072
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,6.1,639,4.7539,1.2685,63.54,53.05,46.95,15.34,56.49,47.26,52.74,-0.0424,-0.195
