kind,kindKey,metric,metricKey,unit,bucket,bucketRange,horizon,valueMin,valueMedian,valueMax,occurrences,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,continuationDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,avgAtrChangePct,medianAtrChangePct,avgDistanceChangeAtr,medianDistanceChangeAtr,avgReturnPct,medianReturnPct,upRatePct,avgMaxUpPct,avgMaxDownPct,lastSeen
中值,middle,中值位置百分位,middlePositionPct,percentile,极高,90-100%,3,79.3116,84.4416,100,293,65.53,34.47,1.37,43.69,56.31,56.66,43.34,21.16,5.46,3.7369,1.8601,-0.5655,-0.4237,1.1287,0.6149,56.31,5.0261,-4.0383,2021-10-19
中值,middle,中值位置百分位,middlePositionPct,percentile,极低,0-10%,5,0,28.3984,34.7046,291,66.67,33.33,16.15,55.33,44.67,38.49,61.51,22.68,30.58,3.3956,-5.16,-0.5205,-0.5649,0.0836,0.8195,55.33,6.0027,-6.7594,2019-07-29
中值,middle,中值位置百分位,middlePositionPct,percentile,偏低,10-30%,5,34.7368,41.202,46.7338,580,54.83,45.17,22.07,50,50,35,65,15.52,24.48,0.1793,-3.835,-0.0805,-0.1234,0.1604,0.1085,51.21,5.0837,-5.3808,2024-04-01
中值,middle,中值位置百分位,middlePositionPct,percentile,中性,30-70%,5,46.7429,55.4964,65.5719,1168,29.45,70.55,36.47,50.68,49.32,32.53,67.47,12.24,24.4,-1.6565,-4.3726,0.4756,0.409,0.312,-0.0376,49.74,5.0048,-4.9584,2020-05-15
中值,middle,中值位置百分位,middlePositionPct,percentile,偏高,70-90%,5,65.5735,71.1071,79.2794,584,57.53,42.47,18.49,46.06,53.94,45.55,54.45,19.18,11.47,2.8173,-0.8654,-0.1701,-0.2751,1.509,0.5814,53.94,6.2555,-4.6144,2020-10-18
中值,middle,中值位置百分位,middlePositionPct,percentile,极高,90-100%,5,79.3116,84.4416,100,293,76.11,23.89,4.78,41.64,58.36,62.46,37.54,32.76,7.51,6.7828,3.5463,-0.8577,-0.7477,1.8,0.8762,58.36,6.6214,-5.0279,2021-10-19
中值,middle,中值位置百分位,middlePositionPct,percentile,极低,0-10%,10,0,28.3984,34.7046,291,76.63,23.37,30.58,56.01,43.99,33.68,66.32,22.34,50.52,0.0084,-10.2824,-0.8115,-0.8115,0.5254,0.8346,56.01,8.1574,-8.5064,2019-07-29
中值,middle,中值位置百分位,middlePositionPct,percentile,偏低,10-30%,10,34.7368,41.202,46.7338,576,55.73,44.27,37.33,51.39,48.61,35.76,64.24,19.44,44.27,0.2442,-6.9727,-0.0571,-0.1239,0.4695,0.1053,50.52,7.498,-7.6832,2024-04-01
中值,middle,中值位置百分位,middlePositionPct,percentile,中性,30-70%,10,46.7429,55.5088,65.5719,1167,23.99,76.01,46.27,51.33,48.67,36.08,63.92,20.39,42.25,-0.581,-7.1256,0.6635,0.524,0.8153,0.1056,50.9,7.8489,-7.1493,2020-05-15
中值,middle,中值位置百分位,middlePositionPct,percentile,偏高,70-90%,10,65.5735,71.1071,79.2794,584,61.64,38.36,32.02,44.01,55.99,51.88,48.12,28.94,21.4,6.8867,1.0552,-0.2057,-0.2335,2.5224,1.3508,55.99,9.2376,-6.594,2020-10-18
中值,middle,中值位置百分位,middlePositionPct,percentile,极高,90-100%,10,79.3116,84.4416,100,293,84.64,15.36,15.02,36.18,63.82,62.8,37.2,45.39,12.29,11.2319,6.9632,-1.2857,-1.3876,3.5061,2.0775,63.82,9.7181,-6.2266,2021-10-19
