instrument,bar,dataStatus,historyQuality,periodWeight,effectiveRows,sampleWeight,truncationFactor,aggregationFactor,aggregationDropRatio,truncated,truncationReason,requiredWarmupBars,source,firstDate,lastDate,cleanRows,atr3Pct,atr8Pct,atr13Pct,atr21Pct,middlePositionPct,maPositionPct,deviationWeather,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationRiskNote,score_trendFollowing,score_meanReversion,score_breakout,score_wait,score_grid
SATS-USDT,1D,ok,half_weight,0.7,665.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-12-17,2026-06-01,898,9.578,8.8884,9.2434,9.9098,50.1961,77.6379,短期下侧偏离 + 大周期弱势深水区,2026-06-01,0.0,黄偏绿,低吸均值回归,60.11,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,9.3384,30.34,1.5312,89.77,0.5312,振幅已超ATR,42.03,57.97,31.9,0.9665,0.8969,中值下侧偏离,-17.7556,-2.3118,54.71,233MA下侧极端,-30.7297,-4.7505,57.28,强趋势下行,-21.5177,down,4,放量,1.7888,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,100.0,60.11,79.0,33.44,4.0
NOT-USDT,1D,ok,half_weight,0.7,515.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-05-15,2026-06-01,748,10.4052,9.7128,10.3554,10.6692,32.8338,90.2637,短期下侧偏离 + 大周期偏弱,2026-06-01,0.0,黄偏绿,趋势做空,100.0,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期偏弱,趋势天气较友好，等方向和量能确认,低波动启动,10.4427,53.95,1.5557,91.22,0.5557,振幅已超ATR,42.94,57.06,30.3,0.9753,0.9104,中值下侧偏离,-11.7115,-1.2703,56.72,233MA下侧偏离,-15.7244,-1.7867,66.67,强趋势下行,-9.7803,down,3,放量,1.5132,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,100.0,33.36,79.0,19.44,14.0
ENA-USDT,1D,ok,weak_display_only,0.04,26.0,0.052,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2025-09-16,2026-06-01,259,8.1197,8.726,9.1657,9.4653,18.1446,31.6836,短期过冷 + 大周期弱势深水区,2026-06-01,0.08,黄偏红,震荡网格,0.0,高波动扩张 / 接近一倍ATR / 短期过冷 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,高波动扩张,9.2213,55.08,1.0659,74.19,0.0659,接近一倍ATR,100.0,0.0,20.0,0.8578,0.9219,中值下侧极端,-19.8997,-2.6941,,233MA下侧极端,-56.0332,-13.8207,82.35,强趋势下行,-22.1366,down,4,量能正常,1.2656,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,78.0,92.0,67.0,45.12,0.0
W-USDT,1D,ok,half_weight,0.7,558.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-04-02,2026-06-01,791,11.2443,9.0314,8.613,8.4431,36.6947,50.6492,短期下侧偏离 + 大周期弱势深水区,2026-06-01,0.01,黄偏绿,趋势做空,100.0,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,趋势天气较友好，等方向和量能确认,低波动启动,8.5702,24.87,1.4959,91.32,0.4959,振幅已超ATR,38.38,61.62,40.37,1.3318,1.0697,中值下侧偏离,-12.0407,-1.5973,49.05,233MA下侧极端,-60.7102,-18.0298,59.16,强趋势下行,-6.208,down,4,放量,2.7168,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,100.0,47.25,100.0,33.57,4.0
STRK-USDT,1D,ok,half_weight,0.7,601.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-02-19,2026-06-01,834,9.144,9.5298,9.8516,9.8094,30.23,57.9132,短期下侧偏离 + 大周期弱势深水区,2026-06-01,0.04,黄偏红,趋势做空,100.0,高波动扩张 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,高波动扩张,9.8707,58.89,1.2039,80.69,0.2039,振幅已超ATR,65.57,34.43,46.88,0.9322,0.9715,中值下侧偏离,-18.2813,-2.2664,56.23,233MA下侧极端,-53.2316,-11.5311,61.15,强趋势下行,-18.694,down,4,量能正常,1.3843,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,100.0,51.3,79.0,33.44,0.0
ZK-USDT,1D,ok,half_weight,0.67,482.0,0.964,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-06-17,2026-06-01,715,9.7614,8.9841,8.8758,8.8932,8.3944,34.2166,短期过冷 + 大周期弱势深水区,2026-06-01,0.01,黄偏绿,低吸均值回归,84.0,低波动启动 / 振幅已超ATR / 短期过冷 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,8.8684,40.81,1.4538,90.24,0.4538,振幅已超ATR,35.38,64.62,38.82,1.0976,1.0102,中值下侧极端,-19.7413,-2.7736,97.44,233MA下侧极端,-51.7015,-12.0705,61.48,强趋势下行,-17.1673,down,4,量能正常,0.9011,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,84.0,84.0,93.0,34.98,0.0
ZRO-USDT,1D,ok,half_weight,0.67,480.0,0.96,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-06-19,2026-06-01,713,6.7621,7.2321,7.638,8.4608,10.4949,33.8495,短期过冷 + 大周期弱势深水区,2026-06-01,1.1,黄偏绿,低吸均值回归,85.7,低波动启动 / 接近一倍ATR / 短期过冷 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,7.7323,17.64,1.0591,70.5,0.0591,接近一倍ATR,40.85,59.15,35.53,0.7992,0.8548,中值下侧极端,-15.0367,-2.2888,93.85,233MA下侧极端,-32.2554,-6.1577,54.46,强趋势下行,-20.6984,down,4,量能正常,1.1665,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,78.0,85.7,57.0,46.0,12.0
GALA-USDT,1D,ok,half_weight,0.7,1482.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-09-21,2026-06-01,1715,7.5683,7.3166,7.5502,7.7122,19.6777,54.5464,短期下侧偏离 + 大周期弱势深水区,2026-06-01,0.0,黄偏绿,低吸均值回归,60.85,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,7.5808,29.41,1.4672,88.69,0.4672,振幅已超ATR,43.79,56.21,44.05,0.9813,0.9487,中值下侧偏离,-15.1354,-2.3526,54.99,233MA下侧极端,-49.0848,-12.7169,62.64,强趋势下行,-16.0649,down,4,量能正常,1.4088,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,100.0,60.85,79.0,33.44,4.0
SAND-USDT,1D,ok,half_weight,0.7,1670.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-03-17,2026-06-01,1903,8.48,6.8183,6.5571,6.5685,20.2752,29.4206,短期下侧偏离 + 大周期弱势深水区,2026-06-01,0.06,黄偏绿,低吸均值回归,62.22,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,6.54,32.04,2.1695,96.32,1.1695,振幅已超ATR,44.23,55.77,40.63,1.291,1.038,中值下侧偏离,-13.708,-2.429,55.04,233MA下侧极端,-46.6023,-13.3446,57.9,强趋势下行,-16.1448,down,4,量能正常,1.3549,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,100.0,62.22,100.0,33.44,4.0
MANA-USDT,1D,ok,half_weight,0.7,2832.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2018-01-10,2026-06-01,3065,6.3722,5.4342,5.3343,5.407,20.6592,38.1473,短期过冷 + 大周期弱势深水区,2026-06-01,0.08,绿,低吸均值回归,83.27,低波动启动 / 振幅已超ATR / 短期过冷 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,5.3326,8.47,1.834,93.82,0.834,振幅已超ATR,47.55,52.45,39.18,1.1785,1.005,中值下侧极端,-12.1687,-2.5981,90.68,233MA下侧极端,-40.0827,-12.5449,55.52,强趋势下行,-12.9903,down,4,量能正常,0.854,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,84.0,83.27,93.0,34.98,12.0
