instrument,bar,dataStatus,historyQuality,periodWeight,effectiveRows,sampleWeight,truncationFactor,aggregationFactor,aggregationDropRatio,truncated,truncationReason,requiredWarmupBars,source,firstDate,lastDate,cleanRows,atr3Pct,atr8Pct,atr13Pct,atr21Pct,middlePositionPct,maPositionPct,deviationWeather,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationRiskNote,score_trendFollowing,score_meanReversion,score_breakout,score_wait,score_grid
AR-USDT,1D,ok,half_weight,0.7,1389.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-12-23,2026-06-01,1622,10.0638,9.8622,9.337,8.7196,50.4565,61.0702,短期贴近中轴 + 大周期弱势深水区,2026-06-01,2.21,黄偏红,向上突破,39.0,常态波动 / 接近一倍ATR / 短期贴近中轴 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,常态波动,9.2461,53.98,1.0037,65.6,0.0037,接近一倍ATR,57.65,42.35,34.4,1.1542,1.131,中值贴近中轴,-1.0083,-0.1102,7.29,233MA下侧极端,-24.3035,-3.4724,59.16,弱趋势混合,2.4984,mixed,2,放量,1.7955,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,42.49,2.0,65.0,38.9,30.0
XLM-USDT,1D,ok,half_weight,0.7,2832.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2018-01-10,2026-06-01,3065,19.4762,13.5015,10.3397,7.9617,44.386,71.1422,短期贴近中轴 + 大周期偏强,2026-06-01,0.22,黄偏绿,向上突破,93.0,高波动扩张 / 振幅已超ATR / 短期贴近中轴 / 大周期偏强,观察,高波动扩张,9.9183,82.65,2.0799,95.63,1.0799,振幅已超ATR,62.46,37.54,36.22,2.4462,1.6958,中值贴近中轴,-0.1736,-0.0175,7.79,233MA上侧偏离,5.9844,0.5693,53.87,强趋势上行,43.4868,up,4,量能正常,1.3975,贴近中轴时继续拉伸概率通常更高；不是天然做空区域,100.0,0.0,93.0,18.04,0.0
ICP-USDT,1D,ok,half_weight,0.7,1616.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-05-10,2026-06-01,1849,9.3311,8.6724,8.3335,7.7619,58.4014,70.9862,短期上侧偏离 + 大周期偏弱,2026-06-01,2.97,黄偏绿,向上突破,87.0,低波动启动 / 振幅已超ATR / 短期上侧偏离 / 大周期偏弱,不把短期下偏当买点，等待更强共振,低波动启动,8.2594,51.39,1.5267,89.84,0.5267,振幅已超ATR,43.1,56.9,44.74,1.2022,1.1173,中值上侧偏离,3.8589,0.4499,44.42,233MA下侧偏离,-4.9741,-0.6338,74.64,强趋势上行,10.4579,up,3,放量,2.6137,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,100.0,24.0,87.0,19.44,14.0
HBAR-USDT,1D,ok,half_weight,0.7,2218.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2019-09-16,2026-06-01,2451,8.247,6.8761,5.9664,5.3216,39.0467,62.6947,短期下侧偏离 + 大周期弱势深水区,2026-06-01,0.09,黄偏绿,低吸均值回归,44.31,低波动启动 / 接近一倍ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,5.8453,21.47,1.1756,75.7,0.1756,接近一倍ATR,42.08,57.92,37.21,1.5497,1.2921,中值下侧偏离,-7.7324,-1.4337,54.44,233MA下侧极端,-23.0121,-5.1136,58.43,弱趋势下行,-1.623,down,4,放量,1.5002,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,80.12,44.31,100.0,33.58,28.0
ALGO-USDT,1D,ok,half_weight,0.7,2310.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2019-06-16,2026-06-01,2543,10.0382,8.6268,7.8571,7.2732,53.7573,74.1263,短期下侧偏离 + 大周期偏弱,2026-06-01,0.12,黄偏绿,低吸均值回归,36.0,常态波动 / 接近一倍ATR / 短期下侧偏离 / 大周期偏弱,均值回归可观察，但要服从大周期过滤,常态波动,7.7563,47.17,1.0235,65.91,0.0235,接近一倍ATR,63.4,36.6,37.62,1.3802,1.1861,中值下侧偏离,-4.3962,-0.5929,55.51,233MA下侧偏离,-5.2943,-0.7207,56.29,趋势不明,0.0872,mixed,2,量能正常,1.3084,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,40.44,36.0,65.0,24.9,60.0
LDO-USDT,1D,ok,half_weight,0.7,1137.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2022-09-01,2026-06-01,1370,6.8328,6.5525,7.0342,7.5856,13.2798,53.7144,短期过冷 + 大周期弱势深水区,2026-06-01,0.3,黄偏绿,低吸均值回归,82.99,低波动启动 / 振幅已超ATR / 短期过冷 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,7.1232,21.04,1.5865,90.46,0.5865,振幅已超ATR,41.45,58.55,44.53,0.9008,0.8638,中值下侧极端,-15.5383,-2.5827,87.18,233MA下侧极端,-39.2585,-9.0735,58.5,强趋势下行,-16.4016,down,4,量能正常,1.1341,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,84.0,82.99,69.0,36.24,12.0
CRV-USDT,1D,ok,half_weight,0.7,1886.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2020-08-13,2026-06-01,2119,5.7659,5.9533,6.3014,6.5579,37.9148,35.9328,短期过冷 + 大周期弱势深水区,2026-06-01,0.2,绿,低吸均值回归,92.0,低波动启动 / 振幅已超ATR / 短期过冷 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,6.3451,15.03,1.4335,86.97,0.4335,振幅已超ATR,45.44,54.56,45.67,0.8792,0.9078,中值下侧极端,-17.4225,-3.3252,100.0,233MA下侧极端,-38.4013,-9.8251,55.5,强趋势下行,-16.0884,down,4,量能正常,1.2165,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,78.0,92.0,67.0,45.12,4.0
ENS-USDT,1D,ok,half_weight,0.7,1434.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-11-08,2026-06-01,1667,7.0812,6.9202,6.9219,6.829,18.4317,49.1076,短期下侧偏离 + 大周期弱势深水区,2026-06-01,5.44,黄偏绿,低吸均值回归,61.79,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,6.9116,31.41,1.273,81.29,0.273,振幅已超ATR,40.66,59.34,45.62,1.0369,1.0134,中值下侧偏离,-14.2542,-2.4052,56.48,233MA下侧极端,-38.206,-8.9456,55.3,强趋势下行,-15.0327,down,4,缩量,0.5578,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,96.0,61.79,69.0,40.56,4.0
PENDLE-USDT,1D,ok,half_weight,0.53,381.0,0.762,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-09-26,2026-06-01,614,10.2904,11.6886,11.7784,11.27,11.0552,68.4832,短期过冷 + 大周期弱势深水区,2026-06-01,1.33,黄偏绿,低吸均值回归,75.98,高波动扩张 / 接近一倍ATR / 短期过冷 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,高波动扩张,11.7365,86.11,0.9896,58.82,-0.0104,接近一倍ATR,62.5,37.5,31.01,0.9131,1.0371,中值下侧极端,-23.6395,-2.6377,89.47,233MA下侧极端,-29.2147,-3.5166,59.09,强趋势下行,-27.2401,down,3,量能正常,1.4792,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,82.0,75.98,59.0,36.52,0.0
JUP-USDT,1D,ok,half_weight,0.7,621.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-01-30,2026-06-01,854,8.4667,8.198,8.1647,7.8751,32.8644,77.0562,短期下侧偏离 + 大周期偏弱,2026-06-01,0.19,黄偏绿,趋势做空,100.0,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期偏弱,趋势天气较友好，等方向和量能确认,低波动启动,8.1369,33.47,1.4429,86.5,0.4429,振幅已超ATR,40.29,59.71,41.84,1.0751,1.041,中值下侧偏离,-5.9792,-0.7816,42.44,233MA下侧偏离,-10.4343,-1.4317,62.5,强趋势下行,-6.8589,down,3,放量,2.0766,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,100.0,24.57,79.0,19.44,30.0
