indicator,indicatorKey,horizon,lowOccurrences,highOccurrences,lowValueMedian,highValueMedian,lowAvgReturnPct,highAvgReturnPct,highMinusLowReturnPct,lowAvgAbsReturnPct,highAvgAbsReturnPct,highMinusLowAbsReturnPct,lowAvgExcursionPct,highAvgExcursionPct,highMinusLowExcursionPct
21日涨跌,d21,10,292,293,-21.7777,31.8043,1.9154,3.0089,1.0935,7.5501,7.1156,-0.4345,18.4644,18.2428,-0.2216
21日ATR百分位,atr21Percentile,1,292,293,1.3683,82.3269,0.1855,0.3054,0.1199,1.4867,3.5777,2.091,3.0903,7.7854,4.6951
21日ATR百分位,atr21Percentile,3,292,293,1.3683,82.3269,0.6538,0.8829,0.2291,3.2183,5.6355,2.4172,6.1186,12.8954,6.7768
21日ATR百分位,atr21Percentile,5,292,293,1.3683,82.3269,1.2488,1.5965,0.3477,4.6284,6.7354,2.107,8.5008,16.1695,7.6687
21日ATR百分位,atr21Percentile,10,292,293,1.3683,82.3269,2.6376,3.7671,1.1295,7.9069,9.3519,1.445,13.8105,22.0209,8.2104
21日ATR率,atr21Pct,1,291,293,2.4852,8.1627,0.219,0.3524,0.1334,1.4132,3.6457,2.2325,2.8155,7.7802,4.9647
21日ATR率,atr21Pct,3,290,293,2.4849,8.1627,0.7665,0.8876,0.1211,2.9151,5.7512,2.8361,5.5105,13.0404,7.5299
21日ATR率,atr21Pct,5,288,293,2.4839,8.1627,1.2888,1.6269,0.3381,4.2079,7.0541,2.8462,7.5969,16.4168,8.8199
21日ATR率,atr21Pct,10,283,293,2.4808,8.1627,2.5113,3.4406,0.9293,7.5897,9.7063,2.1166,12.4161,22.2391,9.823
233MA乖离率,maDeviationRate,1,292,293,-37.5768,89.964,0.1208,0.4874,0.3666,2.4352,3.321,0.8858,5.4195,7.1441,1.7246
233MA乖离率,maDeviationRate,3,292,293,-37.5768,89.964,0.3955,1.3091,0.9136,4.0926,6.0821,1.9895,9.2094,12.6709,3.4615
233MA乖离率,maDeviationRate,5,292,293,-37.5768,89.964,0.6326,2.0569,1.4243,5.155,7.7191,2.5641,11.6352,16.3673,4.7321
233MA乖离率,maDeviationRate,10,292,293,-37.5768,89.964,0.8254,3.7834,2.958,6.4606,11.1286,4.668,15.7856,23.8068,8.0212
233MA乖离ATR,maDeviationAtr,1,292,293,-12.1053,8.9621,0.3189,0.232,-0.0869,1.8864,2.5118,0.6254,4.0347,5.6091,1.5744
233MA乖离ATR,maDeviationAtr,3,292,293,-12.1053,8.9621,0.9581,1.1187,0.1606,3.4831,4.9255,1.4424,7.3076,10.2426,2.935
233MA乖离ATR,maDeviationAtr,5,292,293,-12.1053,8.9621,1.6297,1.8288,0.1991,4.6072,6.4794,1.8722,9.6593,13.367,3.7077
