kind,label,horizon,occurrences,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,avgDistanceChangeAtr,medianDistanceChangeAtr,avgReturnPct,medianReturnPct,upRatePct,avgMaxUpPct,avgMaxDownPct,lastSeen
233MA,MA下侧极端,1,148,-7.4919,42.09,42.57,57.43,0,-0.0107,0.1393,-0.1018,-0.073,47.97,1.6612,-1.8841,2026-05-28
233MA,MA下侧极端,3,146,-7.5397,41.95,45.21,54.79,0,-0.0247,0.1048,-0.3476,-0.4248,45.89,2.9194,-3.4545,2026-05-26
233MA,MA下侧极端,5,144,-7.5733,41.86,43.75,56.25,0,-0.0345,0.1331,-0.6123,-0.2918,45.83,3.7046,-4.5244,2026-05-24
233MA,MA下侧极端,10,139,-7.6522,41.63,46.76,53.24,0,-0.1046,0.2262,-1.0877,-0.6553,46.76,5.0889,-6.5147,2026-05-19
中值,中值上侧极端,1,1,2.566,79.77,100,0,0,-0.4451,-0.4451,-1.127,-1.127,0,0.242,-2.6372,2026-04-21
中值,中值上侧极端,3,1,2.566,79.77,100,0,0,-0.7769,-0.7769,-2.4454,-2.4454,0,0.242,-2.9225,2026-04-21
中值,中值上侧极端,5,1,2.566,79.77,100,0,0,-1.2134,-1.2134,-3.1289,-3.1289,0,0.2744,-3.4164,2026-04-21
中值,中值上侧极端,10,1,2.566,79.77,100,0,0,-0.9827,-0.9827,-0.9838,-0.9838,0,0.2744,-5.4583,2026-04-21
中值,中值上侧偏离,1,62,1.2866,66.87,51.61,48.39,4.84,-0.0794,-0.0907,-0.0073,0.0938,53.23,1.5338,-1.4765,2026-05-13
中值,中值上侧偏离,3,62,1.2866,66.87,59.68,40.32,12.9,-0.1653,-0.2545,0.1892,-0.0917,48.39,2.9638,-2.4889,2026-05-13
中值,中值上侧偏离,5,62,1.2866,66.87,56.45,43.55,19.35,-0.2174,-0.0824,0.1659,0.5274,56.45,3.6812,-3.172,2026-05-13
中值,中值上侧偏离,10,62,1.2866,66.87,59.68,40.32,37.1,-0.1161,-0.075,0.1479,0.2918,53.23,5.0044,-4.2161,2026-05-13
中值,中值贴近,1,21,0.0267,54.17,19.05,80.95,47.62,0.3108,0.2169,0.5139,-0.0346,47.62,2.0909,-1.549,2026-05-15
中值,中值贴近,3,21,0.0267,54.17,4.76,95.24,47.62,0.7138,0.7408,0.3833,0.3756,52.38,3.6515,-3.1595,2026-05-15
中值,中值贴近,5,21,0.0267,54.17,9.52,90.48,42.86,0.7704,0.7621,0.7805,1.3753,57.14,4.7664,-3.6231,2026-05-15
中值,中值贴近,10,21,0.0267,54.17,4.76,95.24,61.9,0.9023,0.9118,-0.0378,-0.6553,47.62,6.0729,-4.8168,2026-05-15
中值,中值下侧极端,1,5,-2.9163,24.5,40,60,0,-0.1579,0.1262,-3.0666,-4.5523,40,1.2072,-7.7137,2026-02-04
中值,中值下侧极端,3,5,-2.9163,24.5,80,20,0,-0.7224,-0.2699,-4.3516,-4.4597,20,1.9644,-13.5266,2026-02-04
中值,中值下侧极端,5,5,-2.9163,24.5,80,20,0,-0.861,-0.8956,-8.19,-8.8983,20,2.1251,-18.8021,2026-02-04
中值,中值下侧极端,10,5,-2.9163,24.5,100,0,0,-1.344,-1.1811,-8.9194,-12.0691,20,2.1251,-20.4504,2026-02-04
中值,中值下侧偏离,1,59,-1.396,39.83,47.46,52.54,3.39,0.0127,0.065,-0.1517,-0.2521,44.07,1.7045,-1.9248,2026-05-28
中值,中值下侧偏离,3,57,-1.3653,40.14,45.61,54.39,12.28,0.0474,0.1735,-0.8128,-0.7479,43.86,2.7321,-3.7393,2026-05-26
中值,中值下侧偏离,5,55,-1.3653,40.14,45.45,54.55,14.55,0.0898,0.0227,-1.2866,-1.2533,32.73,3.5316,-5.1153,2026-05-24
中值,中值下侧偏离,10,50,-1.3901,39.89,52,48,36,0.0433,-0.0103,-2.2796,-2.1866,42,5.1731,-8.7055,2026-05-19
