kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,25.24,428,-50.6187,-9.9255,43.66,37.38,62.62,0,46.5,45.33,54.67,0.1904,-0.1154
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,0,40,-6.9935,-0.7681,87.39,50,50,10,52.5,60,40,-0.0134,-0.149
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,62.96,27,-0.9587,-0.0943,89.4,18.52,81.48,44.44,40.74,37.04,62.96,0.2115,-1.194
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,7.7,39,13.1484,1.554,93.3,53.85,46.15,12.82,58.97,51.28,48.72,-0.0643,-1.9755
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,33.34,9,18.6915,1.1404,17.59,33.33,66.67,0,44.44,55.56,44.44,0.0563,0.0296
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,22.54,426,-50.7189,-9.9371,43.48,38.73,61.27,0,42.02,41.31,58.69,0.3536,-0.2925
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,5,40,-6.9935,-0.7681,87.39,52.5,47.5,27.5,60,37.5,62.5,-0.0177,-1.2331
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,62.96,27,-0.9587,-0.0943,89.4,18.52,81.48,40.74,48.15,33.33,66.67,0.285,-2.3643
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,23.08,39,13.1484,1.554,93.3,61.54,38.46,28.21,71.79,61.54,38.46,-0.1251,-5.0344
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,33.34,9,18.6915,1.1404,17.59,66.67,33.33,22.22,77.78,44.44,55.56,-0.2861,-7.3831
