date,close,kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,deviationRate,deviationAtr,positionPct,historicalRateRankPct,historicalAtrRankPct,historicalPositionRankPct,similarOccurrences,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,avgAtrChangePct,medianDistanceChangeAtr
2026-06-02 12:00,0.01,中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,1.3,-6.7287,-1.9379,21.39,10.77,11.29,12.17,1775,50.65,49.35,6.2,48.06,32.51,67.49,-0.2304,-0.0096
2026-06-02 12:00,0.01,中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,2.42,-6.7287,-1.9379,21.39,10.77,11.29,12.17,1773,51.21,48.79,14.66,47.21,34.52,65.48,-0.3167,-0.0264
2026-06-02 12:00,0.01,中值,middle,短期拉伸/回归,中值下侧偏离,5,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,3.16,-6.7287,-1.9379,21.39,10.77,11.29,12.17,1772,51.58,48.42,21.73,45.6,34.99,65.01,-0.1314,-0.0361
2026-06-02 12:00,0.01,中值,middle,短期拉伸/回归,中值下侧偏离,10,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,3.5,-6.7287,-1.9379,21.39,10.77,11.29,12.17,1772,51.75,48.25,32.39,45.37,37.36,62.64,0.6012,-0.0362
2026-06-02 12:00,0.01,233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,17.52,-19.0077,-6.3041,42.23,25.52,28.65,35.88,2141,41.24,58.76,0.05,46.8,34.0,66.0,-0.1354,0.1163
2026-06-02 12:00,0.01,233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,9.12,-19.0077,-6.3041,42.23,25.52,28.65,35.88,2139,45.44,54.56,0.28,48.25,36.14,63.86,-0.198,0.1203
2026-06-02 12:00,0.01,233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,7.44,-19.0077,-6.3041,42.23,25.52,28.65,35.88,2137,46.28,53.72,0.8,47.54,37.01,62.99,-0.0694,0.1202
2026-06-02 12:00,0.01,233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,1.68,-19.0077,-6.3041,42.23,25.52,28.65,35.88,2132,49.16,50.84,2.58,46.58,40.57,59.43,0.8587,0.0412
