date,close,kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,deviationRate,deviationAtr,positionPct,historicalRateRankPct,historicalAtrRankPct,historicalPositionRankPct,similarOccurrences,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,avgAtrChangePct,medianDistanceChangeAtr
2026-06-01,281.6,中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,18.58,-22.0592,-4.4529,1.28,2.0,0.06,0.18,113,59.29,40.71,0.0,55.75,33.63,66.37,0.9115,-0.0897
2026-06-01,281.6,中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,24.32,-22.0592,-4.4529,1.28,2.0,0.06,0.18,111,62.16,37.84,1.8,52.25,35.14,64.86,2.5553,-0.3145
2026-06-01,281.6,中值,middle,短期拉伸/回归,中值下侧极端,5,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,48.62,-22.0592,-4.4529,1.28,2.0,0.06,0.18,109,74.31,25.69,8.26,52.29,36.7,63.3,0.4849,-0.5835
2026-06-01,281.6,中值,middle,短期拉伸/回归,中值下侧极端,10,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,63.46,-22.0592,-4.4529,1.28,2.0,0.06,0.18,104,81.73,18.27,15.38,49.04,25.96,74.04,-3.3402,-1.0897
2026-06-01,281.6,233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,19.4,-43.9743,-12.3488,37.74,5.97,4.15,17.27,799,40.3,59.7,0.13,49.69,33.54,66.46,-0.1885,0.1318
2026-06-01,281.6,233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,13.92,-43.9743,-12.3488,37.74,5.97,4.15,17.27,797,43.04,56.96,0.5,49.69,34.63,65.37,-0.4834,0.1409
2026-06-01,281.6,233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,10.94,-43.9743,-12.3488,37.74,5.97,4.15,17.27,795,44.53,55.47,1.51,48.93,35.6,64.4,-0.5981,0.2361
2026-06-01,281.6,233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,9.12,-43.9743,-12.3488,37.74,5.97,4.15,17.27,790,45.44,54.56,4.94,50.76,38.23,61.77,0.1088,0.1908
