kind,label,horizon,occurrences,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,avgDistanceChangeAtr,medianDistanceChangeAtr,avgReturnPct,medianReturnPct,upRatePct,avgMaxUpPct,avgMaxDownPct,lastSeen
233MA,MA上侧极端,1,1351,6.1265,82.37,41.3,58.7,0.07,-0.0193,0.1198,0.2277,0.1632,53.66,2.2309,-2.2443,2025-10-12
233MA,MA上侧极端,3,1351,6.1265,82.37,45.97,54.03,0.3,-0.0631,0.1135,0.6519,0.2832,53.37,4.1679,-3.8395,2025-10-12
233MA,MA上侧极端,5,1351,6.1265,82.37,49.15,50.85,0.59,-0.1048,0.0317,1.0825,0.3651,52.48,5.622,-4.9326,2025-10-12
233MA,MA上侧极端,10,1351,6.1265,82.37,50.26,49.74,1.41,-0.2036,-0.0076,2.2038,0.8103,54.77,8.6012,-6.7183,2025-10-12
233MA,MA上侧偏离,1,281,1.2719,67.75,48.75,51.25,5.34,0.0186,0.0077,-0.0925,-0.0477,48.4,2.1524,-2.3666,2025-11-01
233MA,MA上侧偏离,3,281,1.2719,67.75,48.4,51.6,12.46,0.125,0.0667,-0.0262,-0.0647,49.11,3.785,-4.254,2025-11-01
233MA,MA上侧偏离,5,281,1.2719,67.75,43.42,56.58,18.51,0.2885,0.1273,0.1948,0.1083,51.25,5.0481,-5.4285,2025-11-01
233MA,MA上侧偏离,10,281,1.2719,67.75,43.06,56.94,26.33,0.4748,0.1845,0.41,-0.7043,48.04,7.3413,-7.5279,2025-11-01
233MA,MA贴近,1,118,0.0952,64.22,25.42,74.58,32.2,0.2871,0.1758,0.3654,0.3868,56.78,2.7591,-2.3666,2025-11-02
233MA,MA贴近,3,118,0.0952,64.22,15.25,84.75,35.59,0.6819,0.4711,0.5607,0.4759,54.24,4.6107,-4.2005,2025-11-02
233MA,MA贴近,5,118,0.0952,64.22,15.25,84.75,44.92,0.7779,0.4813,0.9767,0.6653,57.63,6.0954,-5.2507,2025-11-02
233MA,MA贴近,10,118,0.0952,64.22,9.32,90.68,60.17,1.3092,0.9752,1.953,2.3285,60.17,9.2854,-7.9085,2025-11-02
