kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,13.34,3743,-11.5346,-6.0229,35.24,43.33,56.67,0.08,49.88,38.5,61.5,0.0861,-0.004
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,4.04,1165,-2.6798,-1.4186,53.02,47.98,52.02,3.69,50.99,39.31,60.69,0.0242,-0.0628
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,51.98,304,-0.0278,-0.0161,58.24,24.01,75.99,37.5,50.66,39.47,60.53,0.2438,-0.0678
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,6.34,1623,14.0422,4.6846,78.93,46.83,53.17,0,50.34,43.81,56.19,0.0485,0.0209
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,4.84,931,3.1203,1.4348,64.57,47.58,52.42,4.4,49.3,41.68,58.32,0.0361,0.0155
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,4.2,3743,-11.5346,-6.0229,35.24,47.9,52.1,0.29,50.57,37.88,62.12,0.059,-0.011
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,10.56,1165,-2.6798,-1.4186,53.02,44.72,55.28,9.53,46.35,39.23,60.77,0.107,-0.174
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,73.68,304,-0.0278,-0.0161,58.24,13.16,86.84,42.11,47.7,43.75,56.25,0.5385,-0.3552
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,5.6,1623,14.0422,4.6846,78.93,52.8,47.2,0.18,50.89,49.04,50.96,-0.0912,0.0416
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,10.66,929,3.1206,1.4349,64.58,44.67,55.33,11.19,48.87,42.73,57.27,0.1159,0.1029
