treeType,horizon,routeKey,routeLabel,ruleId,predictionKey,prediction,samples,purityPct,conditions,distribution,topClass,topSharePct,secondClass,secondSharePct,edgePct,baselinePct,liftPct,fitProbabilityPct,notFitProbabilityPct,quality,auditReason
策略适配树,5,meanReversionShort,高抛均值回归,1,notFit,不适合,1570,98.54,中值乖离率 <= 1.4399,不适合:98.5% | 适合:1.5%,不适合,98.54,适合,1.46,97.08,80.97,17.57,1.46,98.54,强参考,样本、纯度、优势差距都达标
策略适配树,5,meanReversionShort,高抛均值回归,2,notFit,不适合,650,54.46,中值乖离率 > 1.4399 AND 中值乖离率 > 4.1205 AND 233MA乖离ATR > -7.6179 AND 10年美债收益率 > 1.32,不适合:54.5% | 适合:45.5%,不适合,54.46,适合,45.54,8.92,80.97,-26.51,45.54,54.46,弱参考,第一名领先不足10%；相对基准提升不足5%
策略适配树,5,meanReversionShort,高抛均值回归,3,notFit,不适合,211,71.09,中值乖离率 > 1.4399 AND 中值乖离率 > 4.1205 AND 233MA乖离ATR > -7.6179 AND 10年美债收益率 <= 1.32,不适合:71.1% | 适合:28.9%,不适合,71.09,适合,28.91,42.18,80.97,-9.88,28.91,71.09,弱参考,相对基准提升不足5%
策略适配树,5,meanReversionShort,高抛均值回归,4,notFit,不适合,191,57.07,中值乖离率 > 1.4399 AND 中值乖离率 <= 4.1205 AND 美元指数21日变化率 > -0.7187 AND 美元指数代理 > 116.2837,不适合:57.1% | 适合:42.9%,不适合,57.07,适合,42.93,14.14,80.97,-23.9,42.93,57.07,弱参考,样本少于200；相对基准提升不足5%
策略适配树,5,meanReversionShort,高抛均值回归,5,notFit,不适合,98,77.55,中值乖离率 > 1.4399 AND 中值乖离率 <= 4.1205 AND 美元指数21日变化率 > -0.7187 AND 美元指数代理 <= 116.2837,不适合:77.5% | 适合:22.4%,不适合,77.55,适合,22.45,55.1,80.97,-3.42,22.45,77.55,弱参考,样本少于200；相对基准提升不足5%
策略适配树,5,meanReversionShort,高抛均值回归,6,fit,适合,71,69.01,中值乖离率 > 1.4399 AND 中值乖离率 > 4.1205 AND 233MA乖离ATR <= -7.6179,适合:69% | 不适合:31%,适合,69.01,不适合,30.99,38.02,19.03,49.98,69.01,30.99,弱参考,样本少于200
策略适配树,5,meanReversionShort,高抛均值回归,7,notFit,不适合,68,92.65,中值乖离率 > 1.4399 AND 中值乖离率 <= 4.1205 AND 美元指数21日变化率 <= -0.7187 AND 3/21日ATR比 > 0.8077,不适合:92.7% | 适合:7.3%,不适合,92.65,适合,7.35,85.3,80.97,11.68,7.35,92.65,弱参考,样本少于200
策略适配树,5,meanReversionShort,高抛均值回归,8,notFit,不适合,57,70.18,中值乖离率 > 1.4399 AND 中值乖离率 <= 4.1205 AND 美元指数21日变化率 <= -0.7187 AND 3/21日ATR比 <= 0.8077,不适合:70.2% | 适合:29.8%,不适合,70.18,适合,29.82,40.36,80.97,-10.79,29.82,70.18,弱参考,样本少于200；相对基准提升不足5%
策略适配树,5,gridNeutral,震荡网格,1,fit,适合,2691,84.47,233MA乖离ATR <= 8.3332,适合:84.5% | 不适合:15.5%,适合,84.47,不适合,15.53,68.94,82.41,2.06,84.47,15.53,弱参考,相对基准提升不足5%
策略适配树,5,gridNeutral,震荡网格,2,fit,适合,94,62.77,233MA乖离ATR > 8.3332 AND 8日涨跌 <= 17.6636 AND 美元指数代理 > 113.5855 AND 8日ATR百分位 <= 40.6605,适合:62.8% | 不适合:37.2%,适合,62.77,不适合,37.23,25.54,82.41,-19.64,62.77,37.23,弱参考,样本少于200；相对基准提升不足5%
