treeType,horizon,routeKey,routeLabel,ruleId,predictionKey,prediction,samples,purityPct,conditions,distribution,topClass,topSharePct,secondClass,secondSharePct,edgePct,baselinePct,liftPct,fitProbabilityPct,notFitProbabilityPct,quality,auditReason
策略适配树,10,breakoutDown,向下突破,14,fit,适合,55,85.45,13日ATR百分位 > 54.2398 AND 中值乖离率 > 0.8232 AND 233MA乖离率 > 67.7736 AND 8日涨跌 <= 9.823,适合:85.5% | 不适合:14.6%,适合,85.45,不适合,14.55,70.9,57.23,28.22,85.45,14.55,弱参考,样本少于200
策略适配树,10,breakoutDown,向下突破,15,fit,适合,43,74.42,13日ATR百分位 <= 54.2398 AND 13日ATR率 <= 3.6479 AND M2货币供应 <= 20769.3 AND 联邦基金利率63日变化bp > 26.5,适合:74.4% | 不适合:25.6%,适合,74.42,不适合,25.58,48.84,57.23,17.19,74.42,25.58,弱参考,样本少于200
策略适配树,10,breakoutDown,向下突破,16,notFit,不适合,40,82.5,13日ATR百分位 <= 54.2398 AND 13日ATR率 > 3.6479 AND 10年美债21日变化bp <= -3.5 AND M2 63日变化率 <= -0.5813,不适合:82.5% | 适合:17.5%,不适合,82.5,适合,17.5,65,42.77,39.73,17.5,82.5,弱参考,样本少于200
策略适配树,10,meanReversionLong,低吸均值回归,1,notFit,不适合,2016,97.57,中值乖离率 > -2.7889,不适合:97.6% | 适合:2.4%,不适合,97.57,适合,2.43,95.14,85.95,11.62,2.43,97.57,强参考,样本、纯度、优势差距都达标
策略适配树,10,meanReversionLong,低吸均值回归,2,notFit,不适合,217,67.28,中值乖离率 <= -2.7889 AND 中值位置百分位 <= 40.9805 AND ATR百分位 <= 39.8909 AND M2 63日变化率 > -0.0831,不适合:67.3% | 适合:32.7%,不适合,67.28,适合,32.72,34.56,85.95,-18.67,32.72,67.28,弱参考,相对基准提升不足5%
策略适配树,10,meanReversionLong,低吸均值回归,3,notFit,不适合,199,76.38,中值乖离率 <= -2.7889 AND 中值位置百分位 > 40.9805 AND 8日涨跌 <= 1.0926 AND 振幅率 <= 5.8555,不适合:76.4% | 适合:23.6%,不适合,76.38,适合,23.62,52.76,85.95,-9.57,23.62,76.38,弱参考,样本少于200；相对基准提升不足5%
策略适配树,10,meanReversionLong,低吸均值回归,4,fit,适合,157,69.43,中值乖离率 <= -2.7889 AND 中值位置百分位 <= 40.9805 AND ATR百分位 > 39.8909 AND 13/21日ATR比 <= 1.0412,适合:69.4% | 不适合:30.6%,适合,69.43,不适合,30.57,38.86,14.05,55.38,69.43,30.57,弱参考,样本少于200
策略适配树,10,meanReversionLong,低吸均值回归,5,notFit,不适合,99,59.6,中值乖离率 <= -2.7889 AND 中值位置百分位 <= 40.9805 AND ATR百分位 > 39.8909 AND 13/21日ATR比 > 1.0412,不适合:59.6% | 适合:40.4%,不适合,59.6,适合,40.4,19.2,85.95,-26.35,40.4,59.6,弱参考,样本少于200；相对基准提升不足5%
策略适配树,10,meanReversionLong,低吸均值回归,6,notFit,不适合,89,57.3,中值乖离率 <= -2.7889 AND 中值位置百分位 > 40.9805 AND 8日涨跌 <= 1.0926 AND 振幅率 > 5.8555,不适合:57.3% | 适合:42.7%,不适合,57.3,适合,42.7,14.6,85.95,-28.65,42.7,57.3,弱参考,样本少于200；相对基准提升不足5%
策略适配树,10,meanReversionLong,低吸均值回归,7,fit,适合,81,62.96,中值乖离率 <= -2.7889 AND 中值位置百分位 <= 40.9805 AND ATR百分位 <= 39.8909 AND M2 63日变化率 <= -0.0831,适合:63% | 不适合:37%,适合,62.96,不适合,37.04,25.92,14.05,48.91,62.96,37.04,弱参考,样本少于200
策略适配树,10,meanReversionLong,低吸均值回归,8,notFit,不适合,53,92.45,中值乖离率 <= -2.7889 AND 中值位置百分位 > 40.9805 AND 8日涨跌 > 1.0926,不适合:92.5% | 适合:7.5%,不适合,92.45,适合,7.55,84.9,85.95,6.5,7.55,92.45,弱参考,样本少于200
策略适配树,10,meanReversionShort,高抛均值回归,1,notFit,不适合,1791,97.43,中值乖离率 <= 2.8799,不适合:97.4% | 适合:2.6%,不适合,97.43,适合,2.57,94.86,84.58,12.85,2.57,97.43,强参考,样本、纯度、优势差距都达标
策略适配树,10,meanReversionShort,高抛均值回归,2,notFit,不适合,377,58.36,中值乖离率 > 2.8799 AND 美元指数21日变化率 > -1.3097 AND M2 63日变化率 > 0.6089 AND ATR率 > 4.1174,不适合:58.4% | 适合:41.6%,不适合,58.36,适合,41.64,16.72,84.58,-26.22,41.64,58.36,弱参考,相对基准提升不足5%
策略适配树,10,meanReversionShort,高抛均值回归,3,notFit,不适合,322,72.36,中值乖离率 > 2.8799 AND 美元指数21日变化率 > -1.3097 AND M2 63日变化率 > 0.6089 AND ATR率 <= 4.1174,不适合:72.4% | 适合:27.6%,不适合,72.36,适合,27.64,44.72,84.58,-12.22,27.64,72.36,弱参考,相对基准提升不足5%
策略适配树,10,meanReversionShort,高抛均值回归,4,fit,适合,169,58.58,中值乖离率 > 2.8799 AND 美元指数21日变化率 > -1.3097 AND M2 63日变化率 <= 0.6089 AND 中值位置百分位 > 65.9795,适合:58.6% | 不适合:41.4%,适合,58.58,不适合,41.42,17.16,15.42,43.16,58.58,41.42,弱参考,样本少于200
策略适配树,10,meanReversionShort,高抛均值回归,5,notFit,不适合,76,75,中值乖离率 > 2.8799 AND 美元指数21日变化率 <= -1.3097 AND 宏观流动性评分 > 0.9464 AND 8日ATR百分位 > 22.0702,不适合:75% | 适合:25%,不适合,75,适合,25,50,84.58,-9.58,25,75,弱参考,样本少于200；相对基准提升不足5%
策略适配树,10,meanReversionShort,高抛均值回归,6,notFit,不适合,75,70.67,中值乖离率 > 2.8799 AND 美元指数21日变化率 > -1.3097 AND M2 63日变化率 <= 0.6089 AND 中值位置百分位 <= 65.9795,不适合:70.7% | 适合:29.3%,不适合,70.67,适合,29.33,41.34,84.58,-13.91,29.33,70.67,弱参考,样本少于200；相对基准提升不足5%
策略适配树,10,meanReversionShort,高抛均值回归,7,notFit,不适合,64,96.88,中值乖离率 > 2.8799 AND 美元指数21日变化率 <= -1.3097 AND 宏观流动性评分 > 0.9464 AND 8日ATR百分位 <= 22.0702,不适合:96.9% | 适合:3.1%,不适合,96.88,适合,3.13,93.75,84.58,12.3,3.13,96.88,弱参考,样本少于200
策略适配树,10,meanReversionShort,高抛均值回归,8,notFit,不适合,37,59.46,中值乖离率 > 2.8799 AND 美元指数21日变化率 <= -1.3097 AND 宏观流动性评分 <= 0.9464,不适合:59.5% | 适合:40.5%,不适合,59.46,适合,40.54,18.92,84.58,-25.12,40.54,59.46,弱参考,样本少于200；相对基准提升不足5%
策略适配树,10,gridNeutral,震荡网格,1,fit,适合,1107,82.38,21日ATR百分位 > 2.6639 AND MA位置百分位 <= 89.8215 AND 21日ATR百分位 <= 36.0587 AND 联邦基金利率63日变化bp > -23.5,适合:82.4% | 不适合:17.6%,适合,82.38,不适合,17.62,64.76,80.76,1.62,82.38,17.62,弱参考,相对基准提升不足5%
策略适配树,10,gridNeutral,震荡网格,2,fit,适合,607,98.68,21日ATR百分位 > 2.6639 AND MA位置百分位 <= 89.8215 AND 21日ATR百分位 > 36.0587 AND 联邦基金利率 > 1.095,适合:98.7% | 不适合:1.3%,适合,98.68,不适合,1.32,97.36,80.76,17.92,98.68,1.32,强参考,样本、纯度、优势差距都达标
策略适配树,10,gridNeutral,震荡网格,3,fit,适合,525,83.05,21日ATR百分位 > 2.6639 AND MA位置百分位 <= 89.8215 AND 21日ATR百分位 > 36.0587 AND 联邦基金利率 <= 1.095,适合:83% | 不适合:16.9%,适合,83.05,不适合,16.95,66.1,80.76,2.29,83.05,16.95,弱参考,相对基准提升不足5%
策略适配树,10,gridNeutral,震荡网格,4,fit,适合,213,65.26,21日ATR百分位 > 2.6639 AND MA位置百分位 <= 89.8215 AND 21日ATR百分位 <= 36.0587 AND 联邦基金利率63日变化bp <= -23.5,适合:65.3% | 不适合:34.7%,适合,65.26,不适合,34.74,30.52,80.76,-15.5,65.26,34.74,弱参考,相对基准提升不足5%
策略适配树,10,gridNeutral,震荡网格,5,fit,适合,96,77.08,21日ATR百分位 > 2.6639 AND MA位置百分位 > 89.8215 AND 21日ATR率 <= 4.9894 AND M2 63日变化率 <= 0.9385,适合:77.1% | 不适合:22.9%,适合,77.08,不适合,22.92,54.16,80.76,-3.68,77.08,22.92,弱参考,样本少于200；相对基准提升不足5%
策略适配树,10,gridNeutral,震荡网格,6,notFit,不适合,85,71.76,21日ATR百分位 <= 2.6639 AND ATR率 <= 2.243,不适合:71.8% | 适合:28.2%,不适合,71.76,适合,28.24,43.52,19.24,52.52,28.24,71.76,弱参考,样本少于200
策略适配树,10,gridNeutral,震荡网格,7,notFit,不适合,85,64.71,21日ATR百分位 > 2.6639 AND MA位置百分位 > 89.8215 AND 21日ATR率 <= 4.9894 AND M2 63日变化率 > 0.9385,不适合:64.7% | 适合:35.3%,不适合,64.71,适合,35.29,29.42,19.24,45.47,35.29,64.71,弱参考,样本少于200
策略适配树,10,gridNeutral,震荡网格,8,fit,适合,84,55.95,21日ATR百分位 <= 2.6639 AND ATR率 > 2.243 AND MA位置百分位 <= 78.2696,适合:56% | 不适合:44%,适合,55.95,不适合,44.05,11.9,80.76,-24.81,55.95,44.05,弱参考,样本少于200；相对基准提升不足5%
策略适配树,10,gridNeutral,震荡网格,9,fit,适合,55,87.27,21日ATR百分位 > 2.6639 AND MA位置百分位 > 89.8215 AND 21日ATR率 > 4.9894,适合:87.3% | 不适合:12.7%,适合,87.27,不适合,12.73,74.54,80.76,6.51,87.27,12.73,弱参考,样本少于200
策略适配树,10,gridNeutral,震荡网格,10,fit,适合,54,77.78,21日ATR百分位 <= 2.6639 AND ATR率 > 2.243 AND MA位置百分位 > 78.2696,适合:77.8% | 不适合:22.2%,适合,77.78,不适合,22.22,55.56,80.76,-2.98,77.78,22.22,弱参考,样本少于200；相对基准提升不足5%
策略适配树,10,waitDefense,防守等待,1,fit,适合,2911,62.66,ALL,适合:62.7% | 不适合:37.3%,适合,62.66,不适合,37.34,25.32,62.66,0,62.66,37.34,弱参考,相对基准提升不足5%
