date,close,kind,kindKey,state,side,extremity,deviationRate,deviationAtr,positionPct,historicalRateRankPct,historicalAtrRankPct,historicalPositionRankPct,horizon,similarOccurrences,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,avgAtrChangePct,medianDistanceChangeAtr
2026-05-29,73929.4,中值,middle,中值下侧偏离,-1,deviation,-4.5959,-1.8411,35.34,20.97,9.26,10.73,1,1000,53.7,46.3,6,52.6,43.7,56.3,0.566,-0.0382
2026-05-29,73929.4,中值,middle,中值下侧偏离,-1,deviation,-4.5959,-1.8411,35.34,20.97,9.26,10.73,3,998,52.81,47.19,16.83,52,34.07,65.93,0.0609,-0.0435
2026-05-29,73929.4,中值,middle,中值下侧偏离,-1,deviation,-4.5959,-1.8411,35.34,20.97,9.26,10.73,5,996,52.11,47.89,24.2,52.31,33.53,66.47,-0.0168,-0.046
2026-05-29,73929.4,中值,middle,中值下侧偏离,-1,deviation,-4.5959,-1.8411,35.34,20.97,9.26,10.73,10,991,53.68,46.32,38.85,52.98,33,67,-0.3484,-0.0815
2026-05-29,73929.4,233MA,ma233,233MA下侧极端,-1,extreme,-11.901,-5.1629,48.71,30.28,22.82,19.7,1,945,40.11,59.89,0.11,50.05,39.79,60.21,0.1048,0.1228
2026-05-29,73929.4,233MA,ma233,233MA下侧极端,-1,extreme,-11.901,-5.1629,48.71,30.28,22.82,19.7,3,943,42.74,57.26,0.53,49.95,34.78,65.22,0.2032,0.1991
2026-05-29,73929.4,233MA,ma233,233MA下侧极端,-1,extreme,-11.901,-5.1629,48.71,30.28,22.82,19.7,5,941,43.89,56.11,0.96,51.01,33.58,66.42,0.2727,0.1937
2026-05-29,73929.4,233MA,ma233,233MA下侧极端,-1,extreme,-11.901,-5.1629,48.71,30.28,22.82,19.7,10,936,46.47,53.53,2.46,52.99,31.94,68.06,0.4701,0.1394
