date,close,kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,deviationRate,deviationAtr,positionPct,historicalRateRankPct,historicalAtrRankPct,historicalPositionRankPct,similarOccurrences,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,avgAtrChangePct,medianDistanceChangeAtr
2026-06-02 08:00,0.01,中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,2.04,-6.7287,-1.4508,30.68,24.05,20.75,29.96,886,48.98,51.02,5.08,47.52,29.8,70.2,-0.2643,0.011
2026-06-02 08:00,0.01,中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,3.06,-6.7287,-1.4508,30.68,24.05,20.75,29.96,885,51.53,48.47,14.58,45.88,30.73,69.27,-0.5531,-0.0286
2026-06-02 08:00,0.01,中值,middle,短期拉伸/回归,中值下侧偏离,5,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,4.08,-6.7287,-1.4508,30.68,24.05,20.75,29.96,884,52.04,47.96,21.61,46.27,31.45,68.55,-0.7641,-0.0485
2026-06-02 08:00,0.01,中值,middle,短期拉伸/回归,中值下侧偏离,10,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,7.7,-6.7287,-1.4508,30.68,24.05,20.75,29.96,884,53.85,46.15,30.09,43.67,36.54,63.46,0.0905,-0.0927
2026-06-02 08:00,0.01,233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,21.3,-20.8827,-5.308,47.37,37.49,37.65,37.76,1070,39.35,60.65,0.28,46.17,31.68,68.32,-0.2986,0.1376
2026-06-02 08:00,0.01,233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,13.3,-20.8827,-5.308,47.37,37.49,37.65,37.76,1068,43.35,56.65,0.75,46.25,34.93,65.07,-0.5324,0.2139
2026-06-02 08:00,0.01,233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,13.5,-20.8827,-5.308,47.37,37.49,37.65,37.76,1066,43.25,56.75,1.41,46.44,36.4,63.6,-0.5159,0.1881
2026-06-02 08:00,0.01,233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,8.02,-20.8827,-5.308,47.37,37.49,37.65,37.76,1061,45.99,54.01,2.36,44.77,39.02,60.98,0.2514,0.2006
