label,horizon,occurrences,avgReturnPct,medianReturnPct,winRateUpPct,directionalWinRatePct,avgMaxUpPct,avgMaxDownPct,lastSeen
背离,1,167,0.2702,0.3689,59.88,,2.0129,-1.7976,2026-05-28
背离,3,166,0.4627,0.2336,51.81,,3.5686,-3.058,2026-05-24
背离,5,166,0.7193,0.503,58.43,,4.527,-4.1325,2026-05-24
背离,10,164,1.4676,1.9607,56.71,,6.9927,-5.5459,2026-05-14
波动爆发,1,250,0.3407,0.3179,58,,2.323,-2.2082,2026-05-27
波动爆发,3,249,0.4579,0.5314,55.82,,3.6817,-3.4472,2026-05-22
波动爆发,5,249,0.6725,0.4743,57.03,,4.6974,-4.4725,2026-05-22
波动爆发,10,248,1.0364,0.9866,55.65,,6.7267,-6.2098,2026-05-14
放量,1,122,0.2792,0.2957,56.56,,2.4301,-2.5022,2026-05-14
放量,3,122,0.0349,0.2756,52.46,,3.6467,-4.0853,2026-05-14
放量,5,122,0.4193,0.4147,56.56,,4.6925,-5.1489,2026-05-14
放量,10,122,1.0348,0.9789,53.28,,6.6279,-6.6062,2026-05-14
过冷,1,220,0.2491,0.2767,55.45,55.45,2.1063,-1.9795,2026-04-06
过冷,3,220,0.4117,0.3907,55.91,55.91,3.686,-3.5275,2026-04-06
过冷,5,220,0.6143,0.4615,57.27,57.27,4.826,-4.4623,2026-04-06
过冷,10,220,1.0095,1.4819,56.82,56.82,6.6111,-6.2434,2026-04-06
过热,1,92,0.7415,0.5249,59.78,40.22,2.4616,-1.5854,2025-07-12
过热,3,92,2.293,1.0001,65.22,34.78,5.0831,-2.6166,2025-07-12
过热,5,92,3.8724,2.2031,70.65,29.35,7.1692,-3.1614,2025-07-12
过热,10,92,7.411,5.5159,79.35,20.65,11.4534,-3.6302,2025-07-12
强趋势↑,1,408,0.1975,0.1114,53.19,53.19,1.9025,-1.7468,2026-05-13
强趋势↑,3,408,0.6274,0.3145,53.68,53.68,3.545,-3.045,2026-05-13
强趋势↑,5,408,1.0491,0.63,56.37,56.37,4.796,-3.9343,2026-05-13
强趋势↑,10,408,2.0308,1.3516,56.62,56.62,7.1888,-5.3349,2026-05-13
强趋势↓,1,243,0.0646,0.2629,55.97,44.03,2.117,-2.1744,2026-05-28
强趋势↓,3,241,0.1428,0.367,52.7,47.3,3.5882,-3.9549,2026-05-26
强趋势↓,5,240,0.2412,0.219,53.75,46.25,4.6617,-5.1241,2026-05-23
强趋势↓,10,237,0.3539,0.5306,52.32,47.68,6.2728,-6.9043,2026-05-17
弱趋势,1,193,0.119,0.1311,51.3,,1.7136,-1.5464,2026-05-25
弱趋势,3,193,0.3275,0.1077,51.3,,3.0668,-2.8032,2026-05-25
弱趋势,5,192,0.6617,0.5841,55.73,,4.0568,-3.5874,2026-05-24
弱趋势,10,190,1.2315,0.9338,54.21,,6.4698,-5.3695,2026-05-19
震荡,1,50,0.0234,0.1857,52,,1.4786,-1.6435,2026-05-16
震荡,3,50,-0.1653,-0.4499,48,,2.7653,-3.0543,2026-05-16
震荡,5,50,-0.0392,-0.2896,46,,3.4817,-3.9532,2026-05-16
震荡,10,50,0.4809,0.7151,58,,5.4483,-6.0055,2026-05-16
