kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,14.34,1429,-18.7226,-6.3077,33.59,42.83,57.17,0.14,48.92,43.39,56.61,0.1135,-0.0065
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,10.64,432,-4.2624,-1.4978,56.53,44.68,55.32,6.71,46.99,40.97,59.03,0.0967,-0.0719
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,51.14,176,0.0414,0.0156,64.37,24.43,75.57,32.39,44.89,38.64,61.36,0.1845,0.1017
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,0.54,921,17.5504,4.2066,86.07,49.73,50.27,0,53.85,45.28,54.72,0.0021,-0.0868
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,7.36,475,4.4411,1.4172,69.5,46.32,53.68,5.47,48,43.16,56.84,0.0471,0.1862
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,4,1427,-18.7028,-6.3008,33.59,48,52,0.42,49.96,41.35,58.65,0.0542,-0.0027
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,13.88,432,-4.2624,-1.4978,56.53,43.06,56.94,12.96,47.92,46.76,53.24,0.1794,-0.1889
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,67.04,176,0.0414,0.0156,64.37,16.48,83.52,38.07,48.86,36.36,63.64,0.4933,0.0869
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,6.18,921,17.5504,4.2066,86.07,53.09,46.91,0.54,54.07,47.67,52.33,-0.1126,-0.1939
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,8.64,475,4.4411,1.4172,69.5,45.68,54.32,12.21,49.68,40.63,59.37,0.0962,0.4158
