kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,16.34,3366,-16.2251,-6.473,34.39,41.83,58.17,0.12,49.76,38.71,61.29,0.1188,0.0152
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,12.14,865,-3.9679,-1.3479,56,43.93,56.07,4.62,46.47,41.39,58.61,0.0868,-0.0564
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,50.14,357,0.0227,0.008,61.76,24.93,75.07,38.38,54.06,39.5,60.5,0.2132,0.1587
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,5.3,1924,25.9977,4.7867,79.41,47.35,52.65,0,51.51,43.5,56.5,0.0373,0.2335
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,2.06,825,4.7118,1.3859,67.06,51.03,48.97,6.06,54.3,42.3,57.7,-0.0122,-0.1259
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,10.88,3364,-16.229,-6.4722,34.39,44.56,55.44,0.54,50.12,37.81,62.19,0.1394,0.056
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,15.6,865,-3.9679,-1.3479,56,42.2,57.8,12.14,45.55,38.84,61.16,0.2,-0.0871
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,63.02,357,0.0227,0.008,61.76,18.49,81.51,48.46,58.54,37.54,62.46,0.402,0.0242
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,5.72,1924,25.9977,4.7867,79.41,52.86,47.14,0.05,54.16,46.36,53.64,-0.0571,0.7111
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,2.78,825,4.7118,1.3859,67.06,51.39,48.61,14.79,57.58,44.24,55.76,-0.0284,-0.3988
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,6.3,3362,-16.2391,-6.4707,34.38,46.85,53.15,1.19,50.57,38.37,61.63,0.0965,0.0698
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,24.16,865,-3.9679,-1.3479,56,37.92,62.08,17.69,44.86,38.96,61.04,0.315,-0.0801
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,74.22,357,0.0227,0.008,61.76,12.89,87.11,52.1,59.38,37.82,62.18,0.6109,0.0774
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,8.52,1924,25.9977,4.7867,79.41,54.26,45.74,0.16,52.96,48.39,51.61,-0.1125,1.2743
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,1.58,825,4.7118,1.3859,67.06,50.79,49.21,22.42,59.76,46.67,53.33,-0.0277,-0.7526
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,3.3,3357,-16.2843,-6.4672,34.36,48.35,51.65,2.89,49.75,39.53,60.47,0.0936,0.1306
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,28.32,865,-3.9679,-1.3479,56,35.84,64.16,25.32,46.36,42.77,57.23,0.6,-0.2335
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,81.52,357,0.0227,0.008,61.76,9.24,90.76,50.7,55.46,34.73,65.27,1.0468,-0.2964
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,11.44,1924,25.9977,4.7867,79.41,55.72,44.28,1.61,51.82,51.51,48.49,-0.2172,2.6638
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,9.1,825,4.7118,1.3859,67.06,45.45,54.55,33.45,62.91,45.7,54.3,0.122,-1.1506
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,中强,26.18,298,-9.9549,-2.8472,14.88,63.09,36.91,0,52.35,59.73,40.27,-0.1525,-0.0948
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,3.5,3204,-3.8184,-1.1762,35.66,51.75,48.25,5.93,50.22,39.89,60.11,-0.017,0.0104
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,50.48,1333,0.0014,0.0007,50.17,24.76,75.24,36.76,51.39,35.56,64.44,0.2139,0.0904
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,44.18,172,12.2415,2.8077,85.27,72.09,27.91,0.58,56.98,47.67,52.33,-0.3801,0.3036
