instrument,bar,dataStatus,historyQuality,periodWeight,effectiveRows,sampleWeight,truncationFactor,aggregationFactor,aggregationDropRatio,truncated,truncationReason,requiredWarmupBars,source,firstDate,lastDate,cleanRows,atr3Pct,atr8Pct,atr13Pct,atr21Pct,middlePositionPct,maPositionPct,deviationWeather,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationRiskNote,score_wait,score_trendFollowing,score_meanReversion,score_grid,score_breakout
APT-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2022-10-16,2026-05-24,189,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIL-USDT,1W,ok,weak_display_only,0.0,54.0,0.108,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2020-11-29,2026-05-24,287,19.9289,21.4151,26.5179,35.3407,47.1271,81.7627,短期下侧偏离 + 大周期弱势深水区,2026-05-24,0.94,黄偏红,趋势追多,30.0,常态波动 / 振幅未满ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,常态波动,27.6189,37.77,0.6719,57.85,-0.3281,振幅未满ATR,57.89,42.11,6.82,0.5639,0.606,中值下侧偏离,-23.9217,-1.1385,39.29,233MA下侧极端,-84.1164,-19.1746,60.0,强趋势下行,-12.6452,down,3,量能正常,1.1926,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,52.8,80.0,46.99,44.0,37.0
ETC-USDT,1W,ok,weak_display_only,0.3,215.0,0.43,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2017-10-29,2026-05-24,448,13.036,14.538,17.9288,23.0682,31.3564,0.0,短期下侧偏离 + 大周期弱势深水区,2026-05-24,8.11,黄偏绿,低吸均值回归,53.18,常态波动 / 振幅未满ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,常态波动,18.6214,26.78,0.7393,53.22,-0.2607,振幅未满ATR,47.27,52.73,22.76,0.5651,0.6302,中值下侧偏离,-21.6336,-1.4825,64.49,233MA下侧极端,-62.0687,-8.7875,63.38,强趋势下行,-19.3813,down,4,缩量,0.5669,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,58.52,82.0,53.18,18.0,37.0
ATOM-USDT,1W,ok,weak_display_only,0.19,138.0,0.276,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2019-04-21,2026-05-24,371,14.0229,14.0846,16.6582,21.6542,46.4404,0.2265,短期下侧偏离 + 大周期弱势深水区,2026-05-24,1.95,黄偏绿,低吸均值回归,52.0,低波动启动 / 接近一倍ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,17.2534,17.46,1.0538,72.77,0.0538,接近一倍ATR,35.48,64.52,24.24,0.6476,0.6504,中值下侧偏离,-9.526,-0.6103,58.11,233MA下侧极端,-78.8671,-21.6303,84.16,弱趋势混合,-3.0251,mixed,2,缩量,0.645,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,56.72,33.13,52.0,22.0,39.0
INJ-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-11-26,2026-05-24,131,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX-USDT,1W,ok,weak_display_only,0.0,41.0,0.082,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-02-28,2026-05-24,274,16.9401,18.2024,22.7827,34.1698,38.3796,2.3037,短期下侧偏离 + 大周期弱势深水区,2026-05-24,0.23,黄偏红,高抛均值回归,11.82,波动压缩 / 振幅未满ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,23.9887,18.97,0.5646,40.04,-0.4354,振幅未满ATR,20.0,80.0,8.82,0.4958,0.5327,中值下侧偏离,-23.7083,-1.2954,48.39,233MA下侧极端,-75.9207,-13.1434,100.0,强趋势下行,-13.2508,down,3,缩量,0.5569,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,72.58,48.0,49.82,36.0,53.0
IMX-USDT,1W,ok,weak_display_only,0.0,6.0,0.012,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-10-31,2026-05-24,239,16.1566,21.4778,30.6869,48.113,35.579,0.0,短期下侧偏离 + 大周期弱势深水区,2026-05-24,0.16,黄偏红,防守等待,59.92,常态波动 / 振幅未满ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,常态波动,32.7602,47.12,0.3784,28.1,-0.6216,振幅未满ATR,100.0,0.0,0.0,0.3358,0.4464,中值下侧偏离,-27.8412,-1.1777,,233MA下侧极端,-85.9711,-18.706,,强趋势下行,-13.9849,down,3,缩量,0.4544,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,59.92,72.0,47.7,20.0,37.0
WLD-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-07-23,2026-05-24,149,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-12-19,2026-05-24,232,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLM-USDT,1W,ok,weak_display_only,0.29,207.0,0.414,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2017-12-24,2026-05-24,440,25.4558,15.6644,15.3133,16.7715,66.6841,70.5987,短期上侧偏离 + 大周期偏强,2026-05-24,0.25,黄偏绿,趋势做空,44.0,低波动启动 / 振幅已超ATR / 短期上侧偏离 / 大周期偏强,趋势天气较友好，等方向和量能确认,低波动启动,15.4565,19.32,4.0496,98.71,3.0496,振幅已超ATR,40.79,59.21,34.29,1.5178,0.934,中值上侧偏离,12.7715,0.7327,47.83,233MA上侧偏离,35.5937,1.6983,42.5,强趋势上行,31.5036,up,3,放量,10.4129,优势不够大，不能单独触发策略；不是天然做空区域,19.44,100.0,24.0,30.0,79.0
