rank,feature,featureKey,importance
1,振幅/21日ATR百分位,volatilityMultiple21Percentile,429.3991
2,趋势动能,trendScore,326.1258
3,8日ATR百分位,atr8Percentile,202.7612
4,振幅/21日ATR,volatilityMultiple21,201.3919
5,3日ATR百分位,atr3Percentile,195.7192
6,3日ATR率,atr3Pct,45.8273
7,剩余动能率,remainingMomentumPct,35.7949
8,34日涨跌,d34,5.54
