label,horizon,occurrences,avgReturnPct,medianReturnPct,winRateUpPct,directionalWinRatePct,avgMaxUpPct,avgMaxDownPct,lastSeen
背离,1,540,0.1324,0.1823,53.89,,2.4736,-2.4842,2026-05-28
背离,3,539,0.4427,0.0752,50.46,,4.3853,-4.1512,2026-05-24
背离,5,539,0.9113,0.5426,54.92,,5.8142,-5.3312,2026-05-24
背离,10,537,1.5213,1.3461,54.38,,8.6932,-7.4544,2026-05-14
波动爆发,1,718,0.2103,0.1517,53.62,,2.6812,-2.8036,2026-05-27
波动爆发,3,717,0.4201,0.4262,54.25,,4.4676,-4.4453,2026-05-22
波动爆发,5,717,0.5763,0.2135,52.3,,5.8589,-5.7728,2026-05-22
波动爆发,10,716,1.273,0.7191,54.05,,8.5061,-7.7369,2026-05-14
放量,1,419,0.1701,0.1101,53.22,,2.8266,-2.9312,2026-05-18
放量,3,419,0.2475,0.2941,52.74,,4.7079,-4.8698,2026-05-18
放量,5,419,0.3133,0.03,50.36,,5.8261,-6.1551,2026-05-18
放量,10,419,1.0186,0.6201,53.94,,7.9642,-7.7314,2026-05-18
过冷,1,105,0.2844,-0.0506,49.52,49.52,2.2011,-1.9307,2026-02-04
过冷,3,105,1.0743,0.4446,57.14,57.14,4.1698,-3.3161,2026-02-04
过冷,5,105,1.5852,0.8362,56.19,56.19,5.69,-4.2281,2026-02-04
过冷,10,105,1.9597,0.2671,51.43,51.43,8.3129,-5.6351,2026-02-04
过热,1,513,0.3377,0.196,54.58,45.42,2.6747,-2.6172,2025-10-05
过热,3,513,1.0042,0.4674,54.39,45.61,5.0717,-4.475,2025-10-05
过热,5,513,1.6195,0.6666,55.56,44.44,6.8364,-5.6294,2025-10-05
过热,10,513,3.6968,1.8406,58.28,41.72,10.8386,-7.394,2025-10-05
强趋势↑,1,1174,0.3087,0.1558,53.66,53.66,2.4296,-2.2452,2026-05-13
强趋势↑,3,1174,0.8746,0.4566,54.94,54.94,4.5998,-3.822,2026-05-13
强趋势↑,5,1174,1.3984,0.5531,54.6,54.6,6.1809,-4.8481,2026-05-13
强趋势↑,10,1174,2.6134,1.3992,57.41,57.41,9.297,-6.5652,2026-05-13
强趋势↓,1,871,0.0058,0.1726,53.27,46.73,2.5106,-2.8161,2026-05-28
强趋势↓,3,869,-0.0217,0.1484,51.78,48.22,4.4114,-4.9477,2026-05-26
强趋势↓,5,868,0.1436,0.2441,53,47,5.7901,-6.3574,2026-05-23
强趋势↓,10,865,0.4668,0.5712,52.6,47.4,8.271,-8.6684,2026-05-17
弱趋势,1,535,0.0805,-0.0009,49.91,,1.9728,-1.8707,2026-05-25
弱趋势,3,535,0.1383,-0.0564,48.6,,3.4582,-3.4255,2026-05-25
弱趋势,5,534,0.231,0.1931,51.5,,4.6207,-4.4612,2026-05-24
弱趋势,10,532,0.8743,0.3945,52.63,,7.2285,-6.3903,2026-05-19
震荡,1,166,-0.0989,-0.0372,48.8,,1.4978,-1.6982,2026-05-16
震荡,3,166,0.1572,0.0223,50,,3.1547,-3.0472,2026-05-16
震荡,5,166,0.2957,-0.1462,48.19,,4.1395,-4.0537,2026-05-16
震荡,10,166,0.572,0.2314,51.81,,7.1386,-6.2758,2026-05-16
