kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,17.84,3296,-18.2862,-6.7062,46.72,41.08,58.92,0.03,49.88,34.1,65.9,0.1207,-0.0043
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,8.6,803,-3.9951,-1.4337,60.7,45.7,54.3,4.98,49.81,35.37,64.63,0.0434,0.0111
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,49.54,329,-0.0067,-0.0066,64.49,25.23,74.77,37.39,55.02,33.74,66.26,0.1892,0.0759
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,15.58,3468,22.0404,5.7778,81.73,42.21,57.79,0.03,47.43,38.44,61.56,0.1104,0.0941
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,7.72,1062,4.3865,1.4722,68.96,46.14,53.86,4.43,48.96,33.62,66.38,0.0571,0.0684
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,12.76,3294,-18.2876,-6.7092,46.73,43.62,56.38,0.55,51.24,35.25,64.75,0.1654,0.0353
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,11.58,803,-3.9951,-1.4337,60.7,44.21,55.79,11.58,50.19,37.48,62.52,0.1292,0.062
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,68.38,329,-0.0067,-0.0066,64.49,15.81,84.19,38.91,49.54,37.08,62.92,0.4422,-0.0473
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,6.92,3468,22.0404,5.7778,81.73,46.54,53.46,0.17,47.61,44.2,55.8,0.0963,0.2973
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,12.62,1062,4.3865,1.4722,68.96,43.69,56.31,11.39,48.87,36.44,63.56,0.1156,0.109
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,8.8,3292,-18.2901,-6.7131,46.72,45.6,54.4,0.88,51.0,36.12,63.88,0.146,0.0405
