kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,24.36,357,-38.3266,-8.7215,11.85,37.82,62.18,0.56,47.34,42.86,57.14,0.1788,0.0846
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,6.46,62,-13.8426,-1.6515,49.89,46.77,53.23,3.23,46.77,41.94,58.06,0.1155,-0.0397
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,50,44,-0.5726,-0.0743,56.25,25,75,34.09,50,45.45,54.55,0.2117,0.8275
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,1.5,268,96.9928,5.0222,81.57,49.25,50.75,0,52.99,48.88,51.12,0.0265,0.3386
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,2.54,158,12.4462,1.4827,63.66,51.27,48.73,6.33,51.27,51.27,48.73,-0.0152,0.0169
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,18.88,355,-38.5739,-8.7516,11.68,40.56,59.44,2.54,47.89,40,60,0.2409,0.5993
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,25.8,62,-13.8426,-1.6515,49.89,37.1,62.9,8.06,45.16,40.32,59.68,0.3018,-0.7672
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,59.1,44,-0.5726,-0.0743,56.25,20.45,79.55,43.18,56.82,29.55,70.45,0.4031,1.3192
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,13.44,268,96.9928,5.0222,81.57,56.72,43.28,0,51.87,51.87,48.13,-0.1685,0.9348
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,5.06,158,12.4462,1.4827,63.66,47.47,52.53,11.39,52.53,51.9,48.1,0.0454,0.0654
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,16.72,353,-38.7187,-8.7768,11.63,41.64,58.36,2.83,45.33,39.94,60.06,0.3981,0.9362
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,54.84,62,-13.8426,-1.6515,49.89,22.58,77.42,12.9,45.16,46.77,53.23,0.4874,0.1424
