indicator,indicatorKey,horizon,lowOccurrences,highOccurrences,lowValueMedian,highValueMedian,lowAvgReturnPct,highAvgReturnPct,highMinusLowReturnPct,lowAvgAbsReturnPct,highAvgAbsReturnPct,highMinusLowAbsReturnPct,lowAvgExcursionPct,highAvgExcursionPct,highMinusLowExcursionPct
13/21日ATR比,atr13To21,1,15,15,0.9004,1.0784,0.3035,-0.872,-1.1755,1.3062,2.449,1.1428,2.6273,5.8064,3.1791
13/21日ATR比,atr13To21,3,15,15,0.9004,1.0784,0.7248,-2.7294,-3.4542,2.7547,4.7101,1.9554,5.0252,10.374,5.3488
13/21日ATR比,atr13To21,5,15,15,0.9004,1.0784,0.685,-3.4856,-4.1706,3.2187,4.1353,0.9166,6.2509,12.9851,6.7342
13/21日ATR比,atr13To21,10,15,15,0.9004,1.0784,0.2878,-4.7969,-5.0847,3.4143,5.6431,2.2288,9.0097,13.9507,4.941
13日剩余动能ATR,remainingMomentumAtr13,1,15,15,-0.5744,0.6602,-0.332,-1.3149,-0.9829,1.4132,2.0124,0.5992,2.8706,4.9326,2.062
13日剩余动能ATR,remainingMomentumAtr13,3,15,15,-0.5744,0.6602,0.8157,-2.371,-3.1867,2.9467,4.0111,1.0644,6.1383,8.3174,2.1791
13日剩余动能ATR,remainingMomentumAtr13,5,15,15,-0.5744,0.6602,0.5215,-3.8033,-4.3248,3.1666,4.6129,1.4463,7.692,10.6708,2.9788
13日剩余动能ATR,remainingMomentumAtr13,10,15,15,-0.5744,0.6602,2.4337,-4.6877,-7.1214,5.6053,6.3965,0.7912,10.7321,14.3319,3.5998
13日涨跌,d13,1,15,15,-18.775,9.8974,-1.0417,-0.4905,0.5512,2.6187,1.3989,-1.2198,6.2386,3.0852,-3.1534
13日涨跌,d13,3,15,15,-18.775,9.8974,-2.1026,0.0695,2.1721,4.0833,2.7785,-1.3048,10.3435,5.8145,-4.529
13日涨跌,d13,5,15,15,-18.775,9.8974,-3.9281,0.4876,4.4157,4.7916,2.4515,-2.3401,12.9791,7.0248,-5.9543
13日涨跌,d13,10,15,15,-18.775,9.8974,-5.1609,1.1317,6.2926,6.007,3.3013,-2.7057,15.3311,8.9755,-6.3556
13日ATR百分位,atr13Percentile,1,15,15,10.0772,98.0037,-0.256,-0.2479,0.0081,1.667,1.6755,0.0085,2.8148,4.9929,2.1781
13日ATR百分位,atr13Percentile,3,15,15,10.0772,98.0037,-0.8318,-0.714,0.1178,2.7344,2.9134,0.179,5.4011,7.464,2.0629
13日ATR百分位,atr13Percentile,5,14,15,9.8463,98.0037,-1.9477,-1.3644,0.5833,3.5274,2.2892,-1.2382,6.5079,8.7123,2.2044
13日ATR百分位,atr13Percentile,10,12,15,10.0812,98.0037,-5.1788,-2.3366,2.8422,5.1788,3.1828,-1.996,9.5721,10.8532,1.2811
13日ATR率,atr13Pct,1,15,15,2.4907,5.7328,-0.256,-0.2479,0.0081,1.667,1.6755,0.0085,2.8148,4.9929,2.1781
13日ATR率,atr13Pct,3,15,15,2.4907,5.7328,-0.8318,-0.714,0.1178,2.7344,2.9134,0.179,5.4011,7.464,2.0629
13日ATR率,atr13Pct,5,14,15,2.4887,5.7328,-1.9477,-1.3644,0.5833,3.5274,2.2892,-1.2382,6.5079,8.7123,2.2044
13日ATR率,atr13Pct,10,12,15,2.4975,5.7328,-5.1788,-2.3366,2.8422,5.1788,3.1828,-1.996,9.5721,10.8532,1.2811
21日剩余动能ATR,remainingMomentumAtr21,1,15,15,-0.5901,0.6642,-0.4965,-1.2037,-0.7072,1.2486,1.9012,0.6526,2.7493,4.866,2.1167
21日剩余动能ATR,remainingMomentumAtr21,3,15,15,-0.5901,0.6642,0.6061,-3.0398,-3.6459,3.1564,4.6799,1.5235,5.9588,8.9396,2.9808
21日剩余动能ATR,remainingMomentumAtr21,5,15,15,-0.5901,0.6642,0.4868,-4.3515,-4.8383,3.2013,5.1611,1.9598,7.3351,11.8647,4.5296
