kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,21.2,1274,-37.3935,-7.8934,44.9,39.4,60.6,0,48.35,42.94,57.06,0.1537,-0.0112
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,2.92,412,-10.0668,-1.3779,70.09,48.54,51.46,3.64,50.24,46.36,53.64,0.0266,0.4639
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,48.76,121,-0.2947,-0.027,74.02,25.62,74.38,35.54,49.59,36.36,63.64,0.1187,-0.3929
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,1,604,62.8444,3.9423,85.21,50.5,49.5,0.99,54.3,47.68,52.32,-0.0063,0.4107
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,11.48,418,16.2172,1.647,77.02,44.26,55.74,2.39,47.13,43.78,56.22,0.0446,0.3095
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,16.04,1272,-37.3935,-7.8794,45.02,41.98,58.02,0.08,46.86,38.84,61.16,0.2532,-0.0882
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,11.16,412,-10.0668,-1.3779,70.09,44.42,55.58,9.95,50.49,39.56,60.44,0.1357,1.8948
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,71.9,121,-0.2947,-0.027,74.02,14.05,85.95,46.28,52.89,37.19,62.81,0.4497,-0.9313
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,12.58,604,62.8444,3.9423,85.21,56.29,43.71,2.32,54.64,50.66,49.34,-0.1292,1.1345
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,12.44,418,16.2172,1.647,77.02,43.78,56.22,6.22,47.13,37.56,62.44,0.1037,1.0591
