stateId,stateName,routeLabel,routeKey,light,signalType,horizon,occurrences,avgScore,successRatePct,directionalWinRatePct,avgRouteReturnPct,avgFutureReturnPct,rankScore
3,中性震荡态,趋势做空,trendShort,黄灯,方向信号,3,472,37.79,51.69,51.69,0.0903,-0.0903,46.18
3,中性震荡态,趋势做空,trendShort,黄灯,方向信号,10,465,37.41,51.61,51.61,-0.3273,0.3273,45.19
3,中性震荡态,趋势做空,trendShort,黄灯,方向信号,5,470,37.62,50.21,50.21,0.0149,-0.0149,44.51
3,中性震荡态,防守等待,waitDefense,观察,风险过滤信号,5,470,44.31,55.96,,2.2227,-0.0149,37.6
3,中性震荡态,防守等待,waitDefense,观察,风险过滤信号,3,472,44.28,52.75,,1.7204,-0.0903,35.15
3,中性震荡态,向下突破,breakoutDown,红灯,波动方向信号,5,470,28.44,44.47,50.21,4.2519,-0.0149,33.75
3,中性震荡态,向上突破,breakoutUp,红灯,波动方向信号,5,470,24.1,42.55,49.79,4.2145,-0.0149,31.8
3,中性震荡态,防守等待,waitDefense,观察,风险过滤信号,1,474,44.27,46.84,,0.8336,-0.0293,30.71
3,中性震荡态,趋势追多,trendLong,红灯,方向信号,5,470,44.73,49.79,49.79,-0.0149,-0.0149,30.31
3,中性震荡态,趋势追多,trendLong,红灯,方向信号,10,465,45.13,48.39,48.39,0.3273,0.3273,29.66
3,中性震荡态,趋势追多,trendLong,红灯,方向信号,3,472,44.6,48.31,48.31,-0.0903,-0.0903,28.65
3,中性震荡态,向下突破,breakoutDown,红灯,波动方向信号,3,472,28.53,32.2,51.69,3.2079,-0.0903,26.97
3,中性震荡态,趋势做空,trendShort,红灯,方向信号,1,474,37.99,46.84,46.84,0.0293,-0.0293,26.23
3,中性震荡态,向上突破,breakoutUp,红灯,波动方向信号,3,472,24,30.3,48.31,3.098,-0.0903,23.22
3,中性震荡态,低吸均值回归,meanReversionLong,红灯,位置回归信号,1,474,23.74,26.37,53.16,-0.0293,-0.0293,17.82
3,中性震荡态,向上突破,breakoutUp,红灯,波动方向信号,1,474,23.95,12.24,53.16,1.6417,-0.0293,14.84
3,中性震荡态,低吸均值回归,meanReversionLong,红灯,位置回归信号,5,470,23.51,23.19,49.79,-0.0149,-0.0149,14.52
3,中性震荡态,低吸均值回归,meanReversionLong,红灯,位置回归信号,3,472,23.58,23.73,48.31,-0.0903,-0.0903,13.81
3,中性震荡态,低吸均值回归,meanReversionLong,红灯,位置回归信号,10,465,23.3,21.51,48.39,0.3273,0.3273,13.64
3,中性震荡态,高抛均值回归,meanReversionShort,红灯,位置回归信号,3,472,19.49,17.8,51.69,0.0903,-0.0903,12.63
3,中性震荡态,向下突破,breakoutDown,红灯,波动方向信号,1,474,28.69,12.03,46.84,1.6908,-0.0293,12.22
3,中性震荡态,高抛均值回归,meanReversionShort,红灯,位置回归信号,10,465,19.69,15.7,51.61,-0.3273,0.3273,10.84
3,中性震荡态,高抛均值回归,meanReversionShort,红灯,位置回归信号,5,470,19.55,14.47,50.21,0.0149,-0.0149,10.18
3,中性震荡态,高抛均值回归,meanReversionShort,红灯,位置回归信号,1,474,19.5,16.46,46.84,0.0293,-0.0293,9.23
7,下侧趋势共振态,趋势追多,trendLong,绿灯,方向信号,10,456,42.73,56.58,56.58,2.2803,2.2803,71.33
7,下侧趋势共振态,震荡网格,gridNeutral,绿灯,震荡状态信号,1,456,29.04,90.57,,-2.4507,0.1252,71.08
7,下侧趋势共振态,趋势追多,trendLong,绿灯,方向信号,5,456,42.73,55.04,55.04,1.2351,1.2351,67.7
7,下侧趋势共振态,震荡网格,gridNeutral,绿灯,震荡状态信号,3,456,29.04,91.67,,-4.4261,0.6381,67.62
7,下侧趋势共振态,向上突破,breakoutUp,黄灯,波动方向信号,10,456,12.35,58.77,56.58,9.4079,2.2803,62.29
7,下侧趋势共振态,趋势追多,trendLong,黄灯,方向信号,3,456,42.73,54.39,54.39,0.6381,0.6381,50.85
7,下侧趋势共振态,震荡网格,gridNeutral,黄灯,震荡状态信号,5,456,29.04,90.57,,-5.5975,1.2351,49.79
7,下侧趋势共振态,趋势追多,trendLong,黄灯,方向信号,1,456,42.73,50.66,50.66,0.1252,0.1252,46.1
7,下侧趋势共振态,震荡网格,gridNeutral,黄灯,震荡状态信号,10,456,29.04,88.6,,-7.8488,2.2803,45.09
7,下侧趋势共振态,防守等待,waitDefense,观察,风险过滤信号,10,456,45.99,58.99,,2.7843,2.2803,40.39
7,下侧趋势共振态,向下突破,breakoutDown,红灯,波动方向信号,10,456,26.1,50.66,43.42,7.5288,2.2803,38.88
7,下侧趋势共振态,向上突破,breakoutUp,红灯,波动方向信号,5,456,12.35,41.01,55.04,6.3129,1.2351,36.08
7,下侧趋势共振态,防守等待,waitDefense,观察,风险过滤信号,5,456,45.99,51.97,,2.1812,1.2351,36.03
7,下侧趋势共振态,防守等待,waitDefense,观察,风险过滤信号,3,456,45.99,48.9,,1.894,0.6381,34.07
7,下侧趋势共振态,防守等待,waitDefense,观察,风险过滤信号,1,456,45.99,49.56,,1.1627,0.1252,32.91
7,下侧趋势共振态,趋势做空,trendShort,红灯,方向信号,1,456,58.33,49.34,49.34,-0.1252,0.1252,32.09
7,下侧趋势共振态,向下突破,breakoutDown,红灯,波动方向信号,5,456,26.1,36.62,44.96,5.5107,1.2351,29.42
7,下侧趋势共振态,低吸均值回归,meanReversionLong,红灯,位置回归信号,10,456,26.8,34.21,56.58,2.2803,2.2803,28.4
7,下侧趋势共振态,趋势做空,trendShort,红灯,方向信号,3,456,58.33,45.61,45.61,-0.6381,0.6381,27.34
7,下侧趋势共振态,向上突破,breakoutUp,红灯,波动方向信号,3,456,12.35,29.17,54.39,4.7113,0.6381,27.18
7,下侧趋势共振态,趋势做空,trendShort,红灯,方向信号,5,456,58.33,44.96,44.96,-1.2351,1.2351,25.49
7,下侧趋势共振态,低吸均值回归,meanReversionLong,红灯,位置回归信号,5,456,26.8,33.55,55.04,1.2351,1.2351,25.17
