date,close,kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,deviationRate,deviationAtr,positionPct,historicalRateRankPct,historicalAtrRankPct,historicalPositionRankPct,similarOccurrences,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,avgAtrChangePct,medianDistanceChangeAtr
2026-06-02 08:00,8.68,中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,2.22,-2.119,-1.1022,38.4,33.39,25.48,29.77,4876,51.11,48.89,5.43,49.98,33.02,66.98,-0.1612,-0.0149
2026-06-02 08:00,8.68,中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,5.14,-2.119,-1.1022,38.4,33.39,25.48,29.77,4875,52.57,47.43,15.08,49.81,36.14,63.86,-0.1962,-0.0471
2026-06-02 08:00,8.68,中值,middle,短期拉伸/回归,中值下侧偏离,5,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,5.4,-2.119,-1.1022,38.4,33.39,25.48,29.77,4875,52.7,47.3,22.69,49.39,36.74,63.26,-0.1887,-0.0613
2026-06-02 08:00,8.68,中值,middle,短期拉伸/回归,中值下侧偏离,10,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,6.14,-2.119,-1.1022,38.4,33.39,25.48,29.77,4873,53.07,46.93,36.01,47.59,37.02,62.98,0.0523,-0.0861
2026-06-02 08:00,8.68,233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,14.86,-7.1139,-3.8991,49.84,39.35,33.96,38.07,5093,42.57,57.43,0.04,49.36,34.58,65.42,-0.059,0.1061
2026-06-02 08:00,8.68,233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,7.88,-7.1139,-3.8991,49.84,39.35,33.96,38.07,5091,46.06,53.94,0.47,49.95,37.38,62.62,-0.0147,0.1017
2026-06-02 08:00,8.68,233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,4.12,-7.1139,-3.8991,49.84,39.35,33.96,38.07,5090,47.94,52.06,1.12,49.51,38.62,61.38,0.0763,0.0823
2026-06-02 08:00,8.68,233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,1.34,-7.1139,-3.8991,49.84,39.35,33.96,38.07,5086,50.67,49.33,2.62,47.82,41.07,58.93,0.6314,-0.0306
