date,close,kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,deviationRate,deviationAtr,positionPct,historicalRateRankPct,historicalAtrRankPct,historicalPositionRankPct,similarOccurrences,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,avgAtrChangePct,medianDistanceChangeAtr
2026-06-01,0.89,中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,1.04,-10.9794,-1.4177,35.5,22.72,24.52,52.28,873,50.52,49.48,5.27,50.86,30.7,69.3,-0.6385,-0.0054
2026-06-01,0.89,中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,1.96,-10.9794,-1.4177,35.5,22.72,24.52,52.28,871,49.02,50.98,13.09,46.84,26.98,73.02,-1.0899,0.01
2026-06-01,0.89,中值,middle,短期拉伸/回归,中值下侧偏离,5,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,4.02,-10.9794,-1.4177,35.5,22.72,24.52,52.28,869,52.01,47.99,17.95,46.95,28.42,71.58,-1.5567,-0.0499
2026-06-01,0.89,中值,middle,短期拉伸/回归,中值下侧偏离,10,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,9.96,-10.9794,-1.4177,35.5,22.72,24.52,52.28,864,54.98,45.02,28.01,46.41,30.56,69.44,-2.4045,-0.101
2026-06-01,0.89,233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,22.26,-28.3937,-4.5578,75.48,52.28,56.28,58.98,1217,38.87,61.13,0.08,48.97,35.74,64.26,-0.1335,0.1597
2026-06-01,0.89,233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,18.36,-28.3937,-4.5578,75.48,52.28,56.28,58.98,1215,40.82,59.18,0.33,46.58,35.88,64.12,0.2098,0.2445
2026-06-01,0.89,233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,14.42,-28.3937,-4.5578,75.48,52.28,56.28,58.98,1213,42.79,57.21,0.41,46.08,38.58,61.42,0.4532,0.2796
2026-06-01,0.89,233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,17.88,-28.3937,-4.5578,75.48,52.28,56.28,58.98,1208,41.06,58.94,1.32,45.2,40.48,59.52,1.3243,0.4338
