scope,regimeKey,regimeLabel,treeType,horizon,routeKey,routeLabel,technicalQuality,macroQuality,technicalSamples,macroSamples,technicalAccuracyPct,macroAccuracyPct,deltaAccuracyPct,technicalAccuracyLiftPct,macroAccuracyLiftPct,deltaAccuracyLiftPct,technicalFitPrecisionPct,macroFitPrecisionPct,deltaFitPrecisionPct,technicalFitLiftPct,macroFitLiftPct,deltaFitLiftPct,technicalNotFitPrecisionPct,macroNotFitPrecisionPct,deltaNotFitPrecisionPct,technicalNotFitLiftPct,macroNotFitLiftPct,deltaNotFitLiftPct,technicalBestLiftPct,macroBestLiftPct,deltaBestLiftPct,technicalBestPrecisionPct,macroBestPrecisionPct,deltaBestPrecisionPct,decision,technicalReason,macroReason
holdout,,,策略适配树,1,trendShort,趋势做空,弱参考,弱参考,879,879,53.47,53.47,0,0,0,0,0,0,0,-46.53,-46.53,0,53.47,53.47,0,0,0,0,0,0,0,53.47,53.47,0,宏观影响小,相对基准提升不足5%；验证精度不足55%,相对基准提升不足5%；验证精度不足55%
holdout,,,策略适配树,1,waitDefense,防守等待,弱参考,弱参考,879,879,52.56,52.56,0,0,0,0,0,0,0,-47.44,-47.44,0,52.56,52.56,0,0,0,0,0,0,0,52.56,52.56,0,宏观影响小,相对基准提升不足5%；验证精度不足55%,相对基准提升不足5%；验证精度不足55%
holdout,,,策略适配树,3,breakoutDown,向下突破,弱参考,弱参考,877,877,64.54,64.54,0,0,0,0,0,0,0,-35.46,-35.46,0,64.54,64.54,0,0,0,0,0,0,0,64.54,64.54,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
holdout,,,策略适配树,3,breakoutUp,向上突破,弱参考,弱参考,877,877,63.06,61.23,-1.83,-2.62,-4.45,-1.83,40.8,41.98,1.18,6.48,7.65,1.17,66.76,68.61,1.85,1.08,2.93,1.85,6.48,7.65,1.17,66.76,68.61,1.85,宏观影响小,没有通过适合/不适合信号完整门槛,没有通过适合/不适合信号完整门槛
holdout,,,策略适配树,3,gridNeutral,震荡网格,弱参考,弱参考,877,877,84.49,84.49,0,-1.03,-1.03,0,85.53,85.53,0,0.01,0.01,0,15.38,15.38,0,0.9,0.9,0,0.9,0.9,0,85.53,85.53,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
holdout,,,策略适配树,3,meanReversionLong,低吸均值回归,弱参考,弱参考,877,877,80.73,82.67,1.94,-1.82,0.11,1.93,42.31,50.43,8.12,24.86,32.99,8.13,85.9,87.53,1.63,3.34,4.98,1.64,24.86,32.99,8.13,85.9,87.53,1.63,仅观察,没有通过适合/不适合信号完整门槛,没有通过适合/不适合信号完整门槛
holdout,,,策略适配树,3,meanReversionShort,高抛均值回归,强参考,弱参考,877,877,76.28,79.82,3.54,-2.96,0.57,3.53,42.86,66.67,23.81,22.1,45.91,23.81,85.04,80.05,-4.99,5.79,0.8,-4.99,22.1,45.91,23.81,85.04,80.05,-4.99,不保留宏观,时间外验证存在稳定提升,没有通过适合/不适合信号完整门槛
holdout,,,策略适配树,3,trendLong,趋势追多,弱参考,弱参考,877,877,51.43,51.43,0,0,0,0,51.43,51.43,0,0,0,0,0,0,0,-48.57,-48.57,0,0,0,0,51.43,51.43,0,宏观影响小,相对基准提升不足5%；验证精度不足55%,相对基准提升不足5%；验证精度不足55%
holdout,,,策略适配树,3,trendShort,趋势做空,弱参考,弱参考,877,877,51.43,51.43,0,0,0,0,0,0,0,-48.57,-48.57,0,51.43,51.43,0,0,0,0,0,0,0,51.43,51.43,0,宏观影响小,相对基准提升不足5%；验证精度不足55%,相对基准提升不足5%；验证精度不足55%
holdout,,,策略适配树,3,waitDefense,防守等待,弱参考,弱参考,877,877,53.93,53.93,0,0,0,0,53.93,53.93,0,0,0,0,0,0,0,-46.07,-46.07,0,0,0,0,53.93,53.93,0,宏观影响小,相对基准提升不足5%；验证精度不足55%,相对基准提升不足5%；验证精度不足55%
holdout,,,策略适配树,5,breakoutDown,向下突破,弱参考,弱参考,875,875,53.71,53.71,0,0,0,0,0,0,0,-46.29,-46.29,0,53.71,53.71,0,0,0,0,0,0,0,53.71,53.71,0,宏观影响小,相对基准提升不足5%；验证精度不足55%,相对基准提升不足5%；验证精度不足55%
holdout,,,策略适配树,5,breakoutUp,向上突破,弱参考,弱参考,875,875,54.63,49.49,-5.14,0.8,-4.34,-5.14,51.33,42.21,-9.12,5.16,-3.96,-9.12,56.05,52.3,-3.75,2.22,-1.53,-3.75,5.16,-1.53,-6.69,56.05,52.3,-3.75,不保留宏观,没有通过适合/不适合信号完整门槛,相对基准提升不足5%；验证精度不足55%
holdout,,,策略适配树,5,gridNeutral,震荡网格,弱参考,弱参考,875,875,82.97,84.23,1.26,-1.26,0,1.26,84.27,84.23,-0.04,0.04,0,-0.04,17.65,0,-17.65,1.88,-15.77,-17.65,1.88,0,-1.88,84.27,84.23,-0.04,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
holdout,,,策略适配树,5,meanReversionLong,低吸均值回归,弱参考,弱参考,875,875,81.94,82.4,0.46,-1.83,-1.37,0.46,34,40.91,6.91,17.77,24.68,6.91,84.85,85.78,0.93,1.08,2.01,0.93,17.77,24.68,6.91,84.85,85.78,0.93,仅观察,没有通过适合/不适合信号完整门槛,没有通过适合/不适合信号完整门槛
holdout,,,策略适配树,5,meanReversionShort,高抛均值回归,强参考,弱参考,875,875,77.37,77.49,0.12,-3.2,-3.09,0.11,43.33,41.18,-2.15,23.9,21.75,-2.15,88.12,85.18,-2.94,7.55,4.61,-2.94,23.9,21.75,-2.15,88.12,85.18,-2.94,不保留宏观,时间外验证存在稳定提升,没有通过适合/不适合信号完整门槛
holdout,,,策略适配树,5,trendLong,趋势追多,弱参考,弱参考,875,875,52.91,52.91,0,0,0,0,52.91,52.91,0,0,0,0,0,0,0,-47.09,-47.09,0,0,0,0,52.91,52.91,0,宏观影响小,相对基准提升不足5%；验证精度不足55%,相对基准提升不足5%；验证精度不足55%
holdout,,,策略适配树,5,trendShort,趋势做空,弱参考,弱参考,875,875,52.91,52.91,0,0,0,0,0,0,0,-47.09,-47.09,0,52.91,52.91,0,0,0,0,0,0,0,52.91,52.91,0,宏观影响小,相对基准提升不足5%；验证精度不足55%,相对基准提升不足5%；验证精度不足55%
holdout,,,策略适配树,5,waitDefense,防守等待,弱参考,弱参考,875,875,57.49,57.49,0,0,0,0,57.49,57.49,0,0,0,0,0,0,0,-42.51,-42.51,0,0,0,0,57.49,57.49,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
holdout,,,策略适配树,10,breakoutDown,向下突破,弱参考,弱参考,870,870,46.9,58.28,11.38,-13.68,-2.3,11.38,57.21,59.98,2.77,-3.37,-0.6,2.77,35.8,29.17,-6.63,-3.63,-10.26,-6.63,-3.37,-0.6,2.77,57.21,59.98,2.77,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
