kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,24.46,601,-42.7476,-10.8624,32.07,37.77,62.23,0.0,47.92,37.1,62.9,0.186,-0.1371
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,1.7,59,-13.0233,-1.6956,69.05,50.85,49.15,6.78,50.85,42.37,57.63,-0.0215,-0.121
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,50.0,40,0.8188,0.0934,75.26,25.0,75.0,30.0,45.0,35.0,65.0,0.1187,-0.8627
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,0.0,120,53.2484,4.1099,84.22,50.0,50.0,0.0,55.0,48.33,51.67,-0.0074,-0.2345
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,2.6,115,12.2421,1.2845,78.09,48.7,51.3,0.87,51.3,40.87,59.13,0.009,0.0885
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,22.54,599,-42.8432,-10.9327,32.02,38.73,61.27,0.33,44.74,38.9,61.1,0.335,-0.4312
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,1.7,59,-13.0233,-1.6956,69.05,50.85,49.15,15.25,55.93,40.68,59.32,-0.0205,0.1522
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,60.0,40,0.8188,0.0934,75.26,20.0,80.0,35.0,55.0,45.0,55.0,0.6753,-1.1126
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,15.0,120,53.2484,4.1099,84.22,57.5,42.5,0.0,51.67,59.17,40.83,-0.1677,-0.2581
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,0.86,115,12.2421,1.2845,78.09,50.43,49.57,5.22,56.52,41.74,58.26,-0.0247,-0.7703
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,25.3,597,-42.86,-10.9332,31.97,37.35,62.65,0.84,45.23,41.21,58.79,0.4209,-0.6539
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,38.98,59,-13.0233,-1.6956,69.05,30.51,69.49,20.34,40.68,42.37,57.63,0.3442,-0.8774
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,80.0,40,0.8188,0.0934,75.26,10.0,90.0,35.0,45.0,45.0,55.0,0.8955,0.3417
