date,state,confidence,horizon,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumPct,remainingMomentumAtr,atrChangePct,atrDirection,futureVolatilityMultiple,futureRemainingMomentumAtr,futureRemainingMomentumPositive,multipleChange
2026-01-01,常态波动,0.7524,1,2.9594,25.39,0.8936,50.14,-0.3148,-0.1064,-3.7847,down,0.6977,-0.3023,0,-0.1959
2026-01-01,常态波动,0.7524,3,2.9594,25.39,0.8936,50.14,-0.3148,-0.1064,-5.5962,down,1.2463,0.2463,1,0.3527
2026-01-01,常态波动,0.7524,5,2.9594,25.39,0.8936,50.14,-0.3148,-0.1064,-8.9717,down,1.1675,0.1675,1,0.2739
2026-01-01,常态波动,0.7524,10,2.9594,25.39,0.8936,50.14,-0.3148,-0.1064,-13.0644,down,1.0401,0.0401,1,0.1465
2026-01-02,波动压缩,0.2658,1,2.8474,21.7,0.6977,29.69,-0.8607,-0.3023,-2.2811,down,0.7793,-0.2207,0,0.0816
2026-01-02,波动压缩,0.2658,3,2.8474,21.7,0.6977,29.69,-0.8607,-0.3023,-6.9124,down,0.6792,-0.3208,0,-0.0186
2026-01-02,波动压缩,0.2658,5,2.8474,21.7,0.6977,29.69,-0.8607,-0.3023,-3.1239,down,0.9832,-0.0168,0,0.2855
2026-01-02,波动压缩,0.2658,10,2.8474,21.7,0.6977,29.69,-0.8607,-0.3023,-9.8855,down,1.0785,0.0785,1,0.3808
2026-01-03,波动压缩,0.1882,1,2.7825,18.99,0.7793,37.84,-0.6141,-0.2207,0.4077,up,1.2463,0.2463,1,0.467
2026-01-03,波动压缩,0.1882,3,2.7825,18.99,0.7793,37.84,-0.6141,-0.2207,-3.1825,down,1.1675,0.1675,1,0.3882
2026-01-03,波动压缩,0.1882,5,2.7825,18.99,0.7793,37.84,-0.6141,-0.2207,-0.7717,down,0.9311,-0.0689,0,0.1518
2026-01-03,波动压缩,0.1882,10,2.7825,18.99,0.7793,37.84,-0.6141,-0.2207,-4.8991,down,1.6351,0.6351,1,0.8558
2026-01-04,波动启动,0.4042,1,2.7938,19.26,1.2463,77.09,0.6881,0.2463,-5.1262,down,0.6792,-0.3208,0,-0.5672
2026-01-04,波动启动,0.4042,3,2.7938,19.26,1.2463,77.09,0.6881,0.2463,-1.265,down,0.9832,-0.0168,0,-0.2631
2026-01-04,波动启动,0.4042,5,2.7938,19.26,1.2463,77.09,0.6881,0.2463,-3.9061,down,0.6898,-0.3102,0,-0.5565
2026-01-04,波动启动,0.4042,10,2.7938,19.26,1.2463,77.09,0.6881,0.2463,-8.3753,down,1.0179,0.0179,1,-0.2285
2026-01-05,波动压缩,0.4022,1,2.6506,14.92,0.6792,26.92,-0.8504,-0.3208,1.6343,up,1.1675,0.1675,1,0.4883
2026-01-05,波动压缩,0.4022,3,2.6506,14.92,0.6792,26.92,-0.8504,-0.3208,4.165,up,0.9311,-0.0689,0,0.252
2026-01-05,波动压缩,0.4022,5,2.6506,14.92,0.6792,26.92,-0.8504,-0.3208,-3.0014,down,0.3467,-0.6533,0,-0.3324
2026-01-05,波动压缩,0.4022,10,2.6506,14.92,0.6792,26.92,-0.8504,-0.3208,-2.5896,down,1.1095,0.1095,1,0.4304
2026-01-06,波动启动,0.3643,1,2.6939,16.16,1.1675,72.63,0.4512,0.1675,2.3963,up,0.9832,-0.0168,0,-0.1843
2026-01-06,波动启动,0.3643,3,2.6939,16.16,1.1675,72.63,0.4512,0.1675,-0.3427,down,0.6898,-0.3102,0,-0.4777
2026-01-06,波动启动,0.3643,5,2.6939,16.16,1.1675,72.63,0.4512,0.1675,-4.496,down,1.0401,0.0401,1,-0.1274
2026-01-06,波动启动,0.3643,10,2.6939,16.16,1.1675,72.63,0.4512,0.1675,-5.772,down,0.479,-0.521,0,-0.6885
2026-01-07,波动启动,0.1025,1,2.7585,18.34,0.9832,58.38,-0.0464,-0.0168,0.0916,up,0.9311,-0.0689,0,-0.052
2026-01-07,波动启动,0.1025,3,2.7585,18.34,0.9832,58.38,-0.0464,-0.0168,-6.7946,down,0.3467,-0.6533,0,-0.6364
2026-01-07,波动启动,0.1025,5,2.7585,18.34,0.9832,58.38,-0.0464,-0.0168,-6.9796,down,1.0785,0.0785,1,0.0953
2026-01-07,波动启动,0.1025,10,2.7585,18.34,0.9832,58.38,-0.0464,-0.0168,-13.5472,down,0.3029,-0.6971,0,-0.6803
2026-01-08,常态波动,0.6402,1,2.761,18.42,0.9311,54.4,-0.1901,-0.0689,-2.7639,down,0.6898,-0.3102,0,-0.2414
2026-01-08,常态波动,0.6402,3,2.761,18.42,0.9311,54.4,-0.1901,-0.0689,-6.8163,down,1.0401,0.0401,1,0.109
2026-01-08,常态波动,0.6402,5,2.761,18.42,0.9311,54.4,-0.1901,-0.0689,-4.1595,down,1.6351,0.6351,1,0.704
2026-01-08,常态波动,0.6402,10,2.761,18.42,0.9311,54.4,-0.1901,-0.0689,-9.4052,down,1.5468,0.5468,1,0.6157
2026-01-09,波动压缩,0.3677,1,2.6847,15.73,0.6898,28.54,-0.8328,-0.3102,-4.2329,down,0.3467,-0.6533,0,-0.343
2026-01-09,波动压缩,0.3677,3,2.6847,15.73,0.6898,28.54,-0.8328,-0.3102,-4.423,down,1.0785,0.0785,1,0.3887
2026-01-09,波动压缩,0.3677,5,2.6847,15.73,0.6898,28.54,-0.8328,-0.3102,-4.6509,down,1.0179,0.0179,1,0.3281
2026-01-09,波动压缩,0.3677,10,2.6847,15.73,0.6898,28.54,-0.8328,-0.3102,-1.3877,down,1.446,0.446,1,0.7562
2026-01-10,波动压缩,0.7749,1,2.571,12.85,0.3467,2.91,-1.6795,-0.6533,0.0682,up,1.0401,0.0401,1,0.6934
2026-01-10,波动压缩,0.7749,3,2.571,12.85,0.3467,2.91,-1.6795,-0.6533,2.9214,up,1.6351,0.6351,1,1.2884
2026-01-10,波动压缩,0.7749,5,2.571,12.85,0.3467,2.91,-1.6795,-0.6533,0.4245,up,1.1095,0.1095,1,0.7628
2026-01-10,波动压缩,0.7749,10,2.571,12.85,0.3467,2.91,-1.6795,-0.6533,7.9471,up,1.2744,0.2744,1,0.9277
2026-01-11,波动启动,0.2512,1,2.5728,12.93,1.0401,63.69,0.1032,0.0401,-0.2665,down,1.0785,0.0785,1,0.0384
2026-01-11,波动启动,0.2512,3,2.5728,12.93,1.0401,63.69,0.1032,0.0401,-0.5043,down,1.0179,0.0179,1,-0.0223
2026-01-11,波动启动,0.2512,5,2.5728,12.93,1.0401,63.69,0.1032,0.0401,-1.3361,down,0.479,-0.521,0,-0.5611
2026-01-11,波动启动,0.2512,10,2.5728,12.93,1.0401,63.69,0.1032,0.0401,10.5562,up,1.2579,0.2579,1,0.2178
2026-01-12,波动启动,0.2943,1,2.5659,12.82,1.0785,66.21,0.2014,0.0785,3.1261,up,1.6351,0.6351,1,0.5566
2026-01-12,波动启动,0.2943,3,2.5659,12.82,1.0785,66.21,0.2014,0.0785,0.6243,up,1.1095,0.1095,1,0.031
