routeKey,routeLabel,family,direction,signalType,horizon,currentScore,currentBucket,light,calibrationScore,sampleConfidencePct,occurrences,baselineOccurrences,successRatePct,baselineSuccessRatePct,successLiftPct,directionalWinRatePct,baselineDirectionalWinRatePct,directionalLiftPct,avgRouteReturnPct,baselineAvgRouteReturnPct,routeReturnLiftPct,avgFutureReturnPct,avgAbsReturnPct,reason
trendLong,趋势追多,trend,long,方向信号,3,26.87,不适配,红灯,32.67,47.43,45,146,42.22,45.89,-3.67,42.22,45.89,-3.67,-0.41,-0.35,-0.06,-0.41,2.79,方向胜率不足，不宜当进攻信号
trendLong,趋势追多,trend,long,方向信号,1,26.87,不适配,红灯,27.64,47.96,46,148,41.3,47.97,-6.67,41.3,47.97,-6.67,-0.14,-0.1,-0.04,-0.14,1.57,方向胜率不足，不宜当进攻信号
trendLong,趋势追多,trend,long,方向信号,5,26.87,不适配,红灯,23.21,46.37,43,144,37.21,45.83,-8.62,37.21,45.83,-8.62,-1.02,-0.61,-0.41,-1.02,3.52,方向胜率不足，不宜当进攻信号
meanReversionShort,高抛均值回归,meanReversion,short,位置回归信号,1,21.64,不适配,红灯,23.56,68.19,93,148,6.45,23.65,-17.2,54.84,52.03,2.81,0.23,0.1,0.13,-0.23,1.91,当前分桶没有明显优于历史基线
meanReversionShort,高抛均值回归,meanReversion,short,位置回归信号,10,21.64,不适配,红灯,20,64.81,84,139,5.95,28.06,-22.11,58.33,53.24,5.1,1.95,1.09,0.86,-1.95,6.49,当前分桶没有明显优于历史基线
meanReversionShort,高抛均值回归,meanReversion,short,位置回归信号,5,21.64,不适配,红灯,19.87,66.71,89,144,4.49,25.69,-21.2,60.67,54.17,6.51,1,0.61,0.39,-1,3.83,当前分桶没有明显优于历史基线
meanReversionShort,高抛均值回归,meanReversion,short,位置回归信号,3,21.64,不适配,红灯,18.48,67.45,91,146,4.4,26.71,-22.32,53.85,54.11,-0.26,0.64,0.35,0.29,-0.64,3.14,当前分桶没有明显优于历史基线
gridNeutral,震荡网格,grid,neutral,震荡状态信号,3,18,不适配,红灯,42.21,67.08,90,146,90,88.36,1.64,,,,-2.99,-2.91,-0.08,-0.63,2.99,当前分桶略好于历史基线
gridNeutral,震荡网格,grid,neutral,震荡状态信号,1,18,不适配,红灯,42.16,67.82,92,148,88.04,86.49,1.56,,,,-1.87,-1.76,-0.11,-0.19,1.87,当前分桶略好于历史基线
gridNeutral,震荡网格,grid,neutral,震荡状态信号,10,18,不适配,红灯,42.09,65.57,86,139,87.21,86.33,0.88,,,,-5.22,-5.5,0.28,-1.67,5.22,当前分桶略好于历史基线
gridNeutral,震荡网格,grid,neutral,震荡状态信号,5,18,不适配,红灯,38.36,66.71,89,144,83.15,85.42,-2.27,,,,-3.4,-3.46,0.06,-1.35,3.4,当前分桶没有明显优于历史基线
breakoutUp,向上突破,breakout,long,波动方向信号,1,7,不适配,红灯,46.04,60,72,148,13.89,10.81,3.08,54.17,47.97,6.19,1.9,1.66,0.24,0.16,1.8,当前分桶略好于历史基线
breakoutUp,向上突破,breakout,long,波动方向信号,3,7,不适配,红灯,44.19,59.16,70,146,35.71,32.88,2.84,50,45.89,4.11,3.23,2.92,0.31,-0.01,3.15,当前分桶略好于历史基线
breakoutUp,向上突破,breakout,long,波动方向信号,10,7,不适配,红灯,35.23,56.12,63,139,52.38,55.4,-3.01,46.03,46.76,-0.73,5.87,5.09,0.79,-0.65,6.33,当前分桶没有明显优于历史基线
breakoutUp,向上突破,breakout,long,波动方向信号,5,7,不适配,红灯,34.36,58.31,68,144,39.71,42.36,-2.66,44.12,45.83,-1.72,4.18,3.7,0.47,-0.17,3.4,当前分桶没有明显优于历史基线
