status,path,instrument,bar,cleanRows,snapshotCount,dataStatus,historyQuality,periodWeight,observationRows,environmentCounts
ok,/Users/guanlan/Desktop/--whd/data/clean/BCH_USDT_1D_clean.json,BCH-USDT,1D,2753,2521,ok,half_weight,0.7,7435,"{'TREND': 6359, 'RANGE': 500, 'CHAOS': 576}"
ok,/Users/guanlan/Desktop/--whd/data/clean/LTC_USDT_1D_clean.json,LTC-USDT,1D,3065,2833,ok,half_weight,0.7,8469,"{'TREND': 7213, 'RANGE': 580, 'CHAOS': 676}"
ok,/Users/guanlan/Desktop/--whd/data/clean/UNI_USDT_1D_clean.json,UNI-USDT,1D,2085,1853,ok,half_weight,0.7,5369,"{'TREND': 4650, 'CHAOS': 415, 'RANGE': 304}"
ok,/Users/guanlan/Desktop/--whd/data/clean/AAVE_USDT_1D_clean.json,AAVE-USDT,1D,2050,1818,ok,half_weight,0.7,5323,"{'TREND': 4715, 'CHAOS': 352, 'RANGE': 256}"
ok,/Users/guanlan/Desktop/--whd/data/clean/NEAR_USDT_1D_clean.json,NEAR-USDT,1D,2008,1776,ok,half_weight,0.7,5053,"{'TREND': 4495, 'CHAOS': 354, 'RANGE': 204}"
ok,/Users/guanlan/Desktop/--whd/data/clean/OP_USDT_1D_clean.json,OP-USDT,1D,1463,1231,ok,half_weight,0.7,3665,"{'TREND': 3250, 'CHAOS': 259, 'RANGE': 156}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ARB_USDT_1D_clean.json,ARB-USDT,1D,1168,936,ok,half_weight,0.7,2971,"{'TREND': 2630, 'CHAOS': 214, 'RANGE': 127}"
ok,/Users/guanlan/Desktop/--whd/data/clean/SUI_USDT_1D_clean.json,SUI-USDT,1D,1127,895,ok,half_weight,0.7,2715,"{'TREND': 2444, 'CHAOS': 183, 'RANGE': 88}"
ok,/Users/guanlan/Desktop/--whd/data/clean/APT_USDT_1D_clean.json,APT-USDT,1D,1323,1091,ok,half_weight,0.7,3057,"{'TREND': 2585, 'CHAOS': 312, 'RANGE': 160}"
ok,/Users/guanlan/Desktop/--whd/data/clean/FIL_USDT_1D_clean.json,FIL-USDT,1D,2008,1776,ok,half_weight,0.7,4883,"{'TREND': 4164, 'RANGE': 282, 'CHAOS': 437}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ETC_USDT_1D_clean.json,ETC-USDT,1D,3065,2833,ok,half_weight,0.7,8298,"{'RANGE': 615, 'TREND': 7076, 'CHAOS': 607}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ATOM_USDT_1D_clean.json,ATOM-USDT,1D,2598,2366,ok,half_weight,0.7,6985,"{'TREND': 6143, 'CHAOS': 498, 'RANGE': 344}"
ok,/Users/guanlan/Desktop/--whd/data/clean/INJ_USDT_1D_clean.json,INJ-USDT,1D,916,684,ok,half_weight,0.7,2094,"{'TREND': 1850, 'RANGE': 88, 'CHAOS': 156}"
ok,/Users/guanlan/Desktop/--whd/data/clean/STX_USDT_1D_clean.json,STX-USDT,1D,1917,1685,ok,half_weight,0.7,4734,"{'TREND': 4123, 'CHAOS': 343, 'RANGE': 268}"
ok,/Users/guanlan/Desktop/--whd/data/clean/IMX_USDT_1D_clean.json,IMX-USDT,1D,1671,1439,ok,half_weight,0.7,4287,"{'CHAOS': 302, 'TREND': 3801, 'RANGE': 184}"
