date,close,kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,deviationRate,deviationAtr,positionPct,historicalRateRankPct,historicalAtrRankPct,historicalPositionRankPct,similarOccurrences,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,avgAtrChangePct,medianDistanceChangeAtr
2026-06-01,0.3,中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,28.4,-15.5383,-2.5827,13.28,11.38,2.24,5.84,81,64.2,35.8,0.0,55.56,28.4,71.6,-1.1842,-0.1633
2026-06-01,0.3,中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,50.0,-15.5383,-2.5827,13.28,11.38,2.24,5.84,80,75.0,25.0,2.5,60.0,31.25,68.75,-2.1315,-0.426
2026-06-01,0.3,中值,middle,短期拉伸/回归,中值下侧极端,5,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,56.96,-15.5383,-2.5827,13.28,11.38,2.24,5.84,79,78.48,21.52,6.33,48.1,27.85,72.15,-4.2933,-0.5642
2026-06-01,0.3,中值,middle,短期拉伸/回归,中值下侧极端,10,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,74.36,-15.5383,-2.5827,13.28,11.38,2.24,5.84,78,87.18,12.82,17.95,52.56,24.36,75.64,-10.6604,-1.1438
2026-06-01,0.3,233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,22.16,-39.2585,-9.0735,53.71,21.4,17.27,50.66,609,38.92,61.08,0.16,48.93,35.3,64.7,-0.2508,0.1675
2026-06-01,0.3,233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,21.26,-39.2585,-9.0735,53.71,21.4,17.27,50.66,607,39.37,60.63,0.66,49.59,39.37,60.63,-0.6315,0.2288
2026-06-01,0.3,233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,20.34,-39.2585,-9.0735,53.71,21.4,17.27,50.66,605,39.83,60.17,1.32,46.61,40.33,59.67,-0.932,0.3523
2026-06-01,0.3,233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,17.0,-39.2585,-9.0735,53.71,21.4,17.27,50.66,600,41.5,58.5,3.33,46.5,40.67,59.33,-1.2235,0.5877
