date,close,kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,deviationRate,deviationAtr,positionPct,historicalRateRankPct,historicalAtrRankPct,historicalPositionRankPct,similarOccurrences,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,avgAtrChangePct,medianDistanceChangeAtr
2026-06-01,0.08,中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,16.94,-12.1687,-2.5981,20.66,16.93,2.98,5.52,118,58.47,41.53,0.0,55.93,30.51,69.49,0.0179,-0.1134
2026-06-01,0.08,中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,38.98,-12.1687,-2.5981,20.66,16.93,2.98,5.52,118,69.49,30.51,2.54,46.61,28.81,71.19,-0.8644,-0.523
2026-06-01,0.08,中值,middle,短期拉伸/回归,中值下侧极端,5,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,52.54,-12.1687,-2.5981,20.66,16.93,2.98,5.52,118,76.27,23.73,1.69,57.63,26.27,73.73,-1.336,-0.8223
2026-06-01,0.08,中值,middle,短期拉伸/回归,中值下侧极端,10,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,81.36,-12.1687,-2.5981,20.66,16.93,2.98,5.52,118,90.68,9.32,19.49,50.85,23.73,76.27,-6.477,-1.6776
2026-06-01,0.08,233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,21.22,-40.0827,-12.5449,38.15,20.0,14.31,19.11,1277,39.39,60.61,0.0,48.32,35.16,64.84,-0.1645,0.1531
2026-06-01,0.08,233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,15.92,-40.0827,-12.5449,38.15,20.0,14.31,19.11,1275,42.04,57.96,0.08,46.75,38.51,61.49,-0.2377,0.2529
2026-06-01,0.08,233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,16.42,-40.0827,-12.5449,38.15,20.0,14.31,19.11,1273,41.79,58.21,0.31,46.74,38.73,61.27,-0.1494,0.337
2026-06-01,0.08,233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,11.04,-40.0827,-12.5449,38.15,20.0,14.31,19.11,1268,44.48,55.52,1.42,44.24,36.36,63.64,0.2573,0.3685
