routeKey,routeLabel,family,direction,scoreBucket,horizon,occurrences,avgScore,medianScore,successRatePct,directionalWinRatePct,avgRouteReturnPct,medianRouteReturnPct,avgFutureReturnPct,avgAbsReturnPct,avgMaxUpPct,avgMaxDownPct,lastSeen
breakoutDown,向下突破,breakout,short,不适配,1,65,14.89,13,7.69,43.08,1.4561,1.0537,0.136,1.5442,1.6347,-1.4561,2026-05-13
breakoutDown,向下突破,breakout,short,低适配,1,37,40.46,39,13.51,64.86,1.7162,1.3483,-0.2494,1.7444,1.5926,-1.7162,2026-05-26
breakoutDown,向下突破,breakout,short,中适配,1,27,59.96,61,25.93,55.56,1.9767,1.2841,-0.0655,1.7092,1.5574,-1.9767,2026-05-28
breakoutDown,向下突破,breakout,short,高适配,1,19,86.05,79,26.32,52.63,3.5437,2.3797,-0.6798,2.6038,2.0327,-3.5437,2026-05-17
breakoutDown,向下突破,breakout,short,不适配,3,65,14.89,13,26.15,47.69,2.495,2.1257,0.4469,2.5145,3.0908,-2.495,2026-05-13
breakoutDown,向下突破,breakout,short,低适配,3,37,40.46,39,43.24,67.57,3.3733,3.014,-1.1225,2.6537,2.2976,-3.3733,2026-05-26
breakoutDown,向下突破,breakout,short,中适配,3,25,59.4,59,48,52,3.2583,2.6781,0.1449,3.2219,3.2366,-3.2583,2026-05-22
breakoutDown,向下突破,breakout,short,高适配,3,19,86.05,79,52.63,52.63,7.1532,5.4739,-2.2048,4.3838,3.1264,-7.1532,2026-05-17
breakoutDown,向下突破,breakout,short,不适配,5,65,14.89,13,36.92,43.08,3.1766,2.8124,0.462,3.1328,3.9656,-3.1766,2026-05-13
breakoutDown,向下突破,breakout,short,低适配,5,35,39.97,39,54.29,54.29,3.933,3.9244,-0.3248,2.327,2.9692,-3.933,2026-05-24
breakoutDown,向下突破,breakout,short,中适配,5,25,59.4,59,64,68,4.7662,3.7741,-1.0573,4.3827,4.1792,-4.7662,2026-05-22
breakoutDown,向下突破,breakout,short,高适配,5,19,86.05,79,63.16,73.68,9.9068,6.3924,-4.2314,5.4244,3.5417,-9.9068,2026-05-17
breakoutDown,向下突破,breakout,short,不适配,10,65,14.89,13,53.85,46.15,4.2761,3.5328,0.2302,4.1353,5.2778,-4.2761,2026-05-13
breakoutDown,向下突破,breakout,short,低适配,10,33,39.42,39,69.7,57.58,5.5735,5.9198,-0.1824,4.1882,4.803,-5.5735,2026-05-19
breakoutDown,向下突破,breakout,short,中适配,10,22,59.09,59,63.64,54.55,8.7317,5.3264,-2.43,9.0114,6.0499,-8.7317,2026-05-16
breakoutDown,向下突破,breakout,short,高适配,10,19,86.05,79,68.42,68.42,13.2403,6.3924,-5.6139,8.3685,3.8267,-13.2403,2026-05-17
breakoutUp,向上突破,breakout,long,不适配,1,72,8.75,5,13.89,54.17,1.903,1.6004,0.1571,1.8037,1.903,-1.7057,2026-05-28
breakoutUp,向上突破,breakout,long,低适配,1,55,38.42,37,9.09,47.27,1.4687,1.194,-0.2891,1.5919,1.4687,-2.0533,2026-05-12
breakoutUp,向上突破,breakout,long,中适配,1,20,59.3,63,5,30,1.355,0.7397,-0.4053,2.0368,1.355,-2.0028,2026-05-14
breakoutUp,向上突破,breakout,long,高适配,1,1,87,87,0,0,0.9594,0.9594,-2.3775,2.3775,0.9594,-3.0462,2026-03-03
breakoutUp,向上突破,breakout,long,不适配,3,70,8.69,4,35.71,50,3.2251,2.5187,-0.0091,3.1509,3.2251,-3.3865,2026-05-26
breakoutUp,向上突破,breakout,long,低适配,3,55,38.42,37,34.55,45.45,2.6991,2.3048,-0.5079,2.6545,2.6991,-3.6129,2026-05-12
breakoutUp,向上突破,breakout,long,中适配,3,20,59.3,63,20,35,2.5533,1.1589,-0.7334,2.5701,2.5533,-3.0237,2026-05-14
breakoutUp,向上突破,breakout,long,高适配,3,1,87,87,0,0,0.9594,0.9594,-7.509,7.509,0.9594,-8.1185,2026-03-03
breakoutUp,向上突破,breakout,long,不适配,5,68,8.94,5,39.71,44.12,4.1782,3.3872,-0.1723,3.3955,4.1782,-4.3377,2026-05-24
breakoutUp,向上突破,breakout,long,低适配,5,55,38.42,37,47.27,52.73,3.3452,3.2236,-1.0012,3.7376,3.3452,-4.9074,2026-05-12
breakoutUp,向上突破,breakout,long,中适配,5,20,59.3,63,40,35,3.2199,1.5677,-0.7606,2.7544,3.2199,-3.8027,2026-05-14
breakoutUp,向上突破,breakout,long,高适配,5,1,87,87,0,0,0.9594,0.9594,-6.1665,6.1665,0.9594,-10.5946,2026-03-03
breakoutUp,向上突破,breakout,long,不适配,10,63,9.33,5,52.38,46.03,5.8743,4.6019,-0.6499,6.3339,5.8743,-6.6538,2026-05-19
breakoutUp,向上突破,breakout,long,低适配,10,55,38.42,37,60,47.27,4.576,4.7948,-1.8752,5.0721,4.576,-6.7871,2026-05-12
breakoutUp,向上突破,breakout,long,中适配,10,20,59.3,63,55,50,4.232,3.4064,-0.1636,4.1212,4.232,-5.1233,2026-05-14
breakoutUp,向上突破,breakout,long,高适配,10,1,87,87,0,0,0.9594,0.9594,-3.8326,3.8326,0.9594,-10.5946,2026-03-03
gridNeutral,震荡网格,grid,neutral,不适配,1,92,10.54,10,88.04,,-1.8655,-1.6379,-0.1884,1.8655,1.6768,-2.109,2026-05-28
gridNeutral,震荡网格,grid,neutral,低适配,1,30,38.6,38,73.33,,-1.7476,-1.134,-0.0036,1.7476,1.5862,-1.5233,2026-05-18
gridNeutral,震荡网格,grid,neutral,中适配,1,20,62.4,63,95,,-1.4519,-1.4714,0.2901,1.4519,1.853,-1.4245,2026-05-25
gridNeutral,震荡网格,grid,neutral,高适配,1,6,80.67,82,100,,-1.2406,-1.0017,-0.5728,1.2406,1.1566,-1.7719,2026-05-16
gridNeutral,震荡网格,grid,neutral,不适配,3,90,10.36,8,90,,-2.9903,-2.3739,-0.6268,2.9903,2.9647,-3.9339,2026-05-26
gridNeutral,震荡网格,grid,neutral,低适配,3,30,38.6,38,86.67,,-2.6388,-1.8198,0.0642,2.6388,2.7435,-2.5925,2026-05-18
gridNeutral,震荡网格,grid,neutral,中适配,3,20,62.4,63,85,,-3.0184,-2.8842,0.4017,3.0184,3.1535,-2.7599,2026-05-25
gridNeutral,震荡网格,grid,neutral,高适配,3,6,80.67,82,83.33,,-2.8018,-2.2077,-0.7167,2.8018,2.3381,-2.8893,2026-05-16
gridNeutral,震荡网格,grid,neutral,不适配,5,89,10.18,6,83.15,,-3.3956,-2.5234,-1.3517,3.3956,3.6127,-5.2519,2026-05-23
gridNeutral,震荡网格,grid,neutral,低适配,5,30,38.6,38,83.33,,-3.6701,-3.4158,0.5611,3.6701,3.7277,-3.4631,2026-05-18
gridNeutral,震荡网格,grid,neutral,中适配,5,19,62.11,60,94.74,,-3.5275,-4.0873,0.6406,3.5275,4.2039,-3.2972,2026-05-24
gridNeutral,震荡网格,grid,neutral,高适配,5,6,80.67,82,100,,-3.0638,-1.8799,0.5221,3.0638,3.3712,-2.9262,2026-05-16
gridNeutral,震荡网格,grid,neutral,不适配,10,86,9.93,5,87.21,,-5.2174,-4.1342,-1.6711,5.2174,4.8848,-7.3026,2026-05-17
gridNeutral,震荡网格,grid,neutral,低适配,10,30,38.6,38,83.33,,-6.77,-5.93,0.5913,6.77,5.6959,-5.2884,2026-05-18
gridNeutral,震荡网格,grid,neutral,中适配,10,17,61.88,60,82.35,,-4.8471,-4.5556,-2.0731,4.8471,5.1072,-5.6418,2026-05-19
gridNeutral,震荡网格,grid,neutral,高适配,10,6,80.67,82,100,,-5.0094,-3.9077,1.6724,5.0094,4.9272,-3.8252,2026-05-16
meanReversionLong,低吸均值回归,meanReversion,long,不适配,1,78,11.81,10,2.56,53.85,0.1929,0.1497,0.1929,1.6656,1.7168,-1.4967,2026-05-15
meanReversionLong,低吸均值回归,meanReversion,long,低适配,1,36,40.43,40.51,27.78,27.78,-0.7421,-1.0638,-0.7421,1.891,1.4294,-2.1629,2026-05-26
meanReversionLong,低吸均值回归,meanReversion,long,中适配,1,29,55.94,56.81,62.07,58.62,0.4116,0.4517,0.4116,1.3996,1.8774,-1.575,2026-05-28
meanReversionLong,低吸均值回归,meanReversion,long,高适配,1,5,82.07,84,40,40,-3.0666,-4.5523,-3.0666,4.3907,1.2072,-7.7137,2026-02-04
meanReversionLong,低吸均值回归,meanReversion,long,不适配,3,78,11.81,10,0,52.56,0.4081,0.2344,0.4081,2.7005,3.2502,-2.5981,2026-05-15
