instrument,bar,dataStatus,historyQuality,periodWeight,effectiveRows,sampleWeight,truncationFactor,aggregationFactor,aggregationDropRatio,truncated,truncationReason,requiredWarmupBars,source,firstDate,lastDate,cleanRows,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3Pct,atr8Pct,atr13Pct,atr21Pct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middlePositionPct,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maPositionPct,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationWeather,deviationRiskNote,score_breakout,score_trendFollowing,score_meanReversion,score_wait,score_grid
TRX-USDT,4H,ok,half_weight,0.7,18148,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2018-01-11 08:00,2026-06-01 16:00,18381,2026-06-01 16:00,0.34,黄偏红,向下突破,79,低波动启动 / 接近一倍ATR / 短期下侧偏离 / 大周期偏弱,谨慎观察，不把单一短期偏离当入场理由,低波动启动,0.8539,15.55,1.1361,72.98,0.1361,接近一倍ATR,50.81,49.19,36.73,0.8895,0.8114,0.8486,0.8678,1.025,0.935,中值下侧偏离,-0.5546,-0.6531,44.3839,53.39,233MA下侧偏离,-0.7828,-0.9239,43.8977,60.04,弱趋势下行,-1.9127,down,4,量能正常,1.2804,短期下侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,79,91.56,24,21.18,54
DOT-USDT,4H,ok,half_weight,0.7,12424,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2020-08-22 08:00,2026-06-01 16:00,12657,2026-06-01 16:00,1.17,黄偏绿,低吸均值回归,32,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,2.3846,40.39,1.6157,90.78,0.6157,振幅已超ATR,48.85,51.15,40.8,3.0231,2.4954,2.3915,2.3708,1.2751,1.0526,中值下侧偏离,-0.891,-0.377,44.102,53.53,233MA下侧极端,-7.6489,-3.4733,49.6677,50.29,强趋势下行,-3.028,down,4,量能正常,1.1967,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,93,87.14,32,34.98,14
BCH-USDT,4H,ok,half_weight,0.7,16277,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2018-11-19 04:00,2026-06-01 16:00,16510,2026-06-01 16:00,291.6,黄偏红,向下突破,73,低波动启动 / 接近一倍ATR / 短期贴近中轴 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,低波动启动,2.4332,49.77,1.0711,69.12,0.0711,接近一倍ATR,49.6,50.4,36.91,2.9254,2.5164,2.4377,2.4236,1.207,1.0383,中值贴近中轴,-0.7995,-0.3312,45.8623,10.11,233MA下侧极端,-28.2402,-16.1737,7.1464,49.45,强趋势下行,-5.7975,down,4,缩量,0.6764,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,73,92.99,0,40.98,6
LTC-USDT,4H,ok,half_weight,0.7,18148,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2018-01-11 08:00,2026-06-01 16:00,18381,2026-06-01 16:00,50.9,黄偏绿,低吸均值回归,33.12,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,1.3185,6.36,1.4006,84.53,0.4006,振幅已超ATR,49.48,50.52,39.89,1.7371,1.4253,1.3281,1.2886,1.3481,1.1061,中值下侧偏离,-1.0594,-0.8121,36.7802,55.4,233MA下侧极端,-7.7106,-6.3365,46.958,49.04,弱趋势下行,-2.4488,down,4,量能正常,0.8919,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,93,76.24,33.12,34.98,54
UNI-USDT,4H,ok,half_weight,0.7,12270,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2020-09-17 00:00,2026-06-01 16:00,12503,2026-06-01 16:00,3,黄偏红,震荡网格,46,低波动启动 / 振幅已超ATR / 短期贴近中轴 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,低波动启动,2.0413,15.77,1.4701,87.23,0.4701,振幅已超ATR,48.16,51.84,40.14,2.3545,2.0368,2.0335,2.1137,1.1139,0.9636,中值贴近中轴,0.1168,0.0572,47.4062,9.19,233MA下侧极端,-11.7085,-6.4964,38.7846,50.14,弱趋势下行,-2.3556,down,4,缩量,0.6905,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,59,75.78,0,43.39,46
AAVE-USDT,4H,ok,half_weight,0.7,12059,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2020-10-22 04:00,2026-06-01 16:00,12292,2026-06-01 16:00,80.67,黄偏绿,低吸均值回归,32,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,1.8915,11.45,1.5925,90.26,0.5925,振幅已超ATR,46.97,53.03,40.74,2.3844,1.9432,1.8919,1.908,1.2497,1.0184,中值下侧偏离,-0.6588,-0.3506,49.7973,51.27,233MA下侧极端,-11.5575,-6.9088,32.1523,49.43,弱趋势下行,-2.7594,down,4,放量,2.3224,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,100,85.8,32,33.58,46
NEAR-USDT,4H,ok,half_weight,0.7,11807,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2020-12-03 04:00,2026-06-01 16:00,12040,2026-06-01 16:00,2.62,绿,向上突破,100,高波动扩张 / 振幅已超ATR / 短期上侧偏离 / 大周期强势高位,观察,高波动扩张,4.7506,79.43,2.2039,97.5,1.2039,振幅已超ATR,57.91,42.09,42.42,6.5543,5.0071,4.769,4.6552,1.408,1.0756,中值上侧偏离,7.4743,1.4639,73.5267,54.46,233MA上侧极端,51.079,7.1168,87.8497,44.4,强趋势上行,10.545,up,4,放量,9.1096,短期上侧偏离 + 大周期强势高位,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,100,100,36.85,32.04,0
OP-USDT,4H,ok,half_weight,0.7,8540,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2022-05-31 16:00,2026-06-01 16:00,8773,2026-06-01 16:00,0.12,黄偏绿,高抛均值回归,37.61,低波动启动 / 振幅已超ATR / 短期上侧偏离 / 大周期偏弱,均值回归可观察，但要服从大周期过滤,低波动启动,2.9259,42.76,2.4921,98.41,1.4921,振幅已超ATR,48.13,51.87,40.95,4.1939,3.1685,2.9485,2.8301,1.4819,1.1196,中值上侧偏离,4.6102,1.5062,69.9915,54.49,233MA下侧偏离,-5.3277,-1.9233,64.7162,67.99,强趋势上行,3.4623,up,3,放量,2.1586,短期上侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,87,89.31,37.61,21.5,0
ARB-USDT,4H,ok,half_weight,0.7,6765,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2023-03-23 12:00,2026-06-01 16:00,6998,2026-06-01 16:00,0.1,黄偏红,向下突破,93,低波动启动 / 振幅已超ATR / 短期贴近中轴 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,低波动启动,2.6043,44.17,1.7264,92.71,0.7264,振幅已超ATR,45.86,54.14,39.47,3.1286,2.6698,2.6075,2.6056,1.2007,1.0246,中值贴近中轴,0.5309,0.2028,47.5549,9.53,233MA下侧极端,-14.5436,-6.5349,44.5017,50.06,弱趋势下行,-1.4203,down,3,量能正常,1.2426,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,93,69.1,0,34.98,30
SUI-USDT,4H,ok,half_weight,0.7,6519,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2023-05-03 12:00,2026-06-01 16:00,6752,2026-06-01 16:00,0.88,黄偏绿,低吸均值回归,32,低波动启动 / 接近一倍ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,2.6481,28.11,1.1996,75.33,0.1996,接近一倍ATR,46.82,53.18,37.29,2.7614,2.6378,2.6399,2.733,1.0104,0.9651,中值下侧偏离,-1.6571,-0.6363,33.8284,53.79,233MA下侧极端,-13.723,-6.0066,44.7583,49.51,强趋势下行,-4.5091,down,4,量能正常,1.3687,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,79,94.55,32,34.76,22
