indicator,indicatorKey,date,close,value,rankPct,bucket,bucketRange,horizon,futureReturnPct,absReturnPct,maxUpPct,maxDownPct,excursionPct
振幅率,rangePct,2026-05-02,78632.2,1.4802,6.76,极低,0-10%,3,3.8484,3.8484,5.3004,-0.6173,5.9177
振幅率,rangePct,2026-05-02,78632.2,1.4802,6.76,极低,0-10%,5,1.8902,1.8902,5.3004,-0.6173,5.9177
振幅率,rangePct,2026-05-02,78632.2,1.4802,6.76,极低,0-10%,10,0.2135,0.2135,5.3004,-0.6173,5.9177
振幅率,rangePct,2026-04-25,78005.2,1.4887,7.43,极低,0-10%,1,-1.5987,1.5987,1.9033,-1.9065,3.8099
振幅率,rangePct,2026-04-25,78005.2,1.4887,7.43,极低,0-10%,3,-2.7085,2.7085,1.9033,-3.0517,4.9551
振幅率,rangePct,2026-04-25,78005.2,1.4887,7.43,极低,0-10%,5,0.5061,0.5061,1.9033,-3.9893,5.8927
振幅率,rangePct,2026-04-25,78005.2,1.4887,7.43,极低,0-10%,10,4.6831,4.6831,6.1468,-3.9893,10.1361
振幅率,rangePct,2026-04-10,72826.6,1.5243,8.11,极低,0-10%,1,-2.6873,2.6873,1.3354,-3.0986,4.434
振幅率,rangePct,2026-04-10,72826.6,1.5243,8.11,极低,0-10%,3,3.3694,3.3694,4.3575,-3.2551,7.6126
振幅率,rangePct,2026-04-10,72826.6,1.5243,8.11,极低,0-10%,5,2.5175,2.5175,4.3575,-3.2551,7.6126
振幅率,rangePct,2026-04-10,72826.6,1.5243,8.11,极低,0-10%,10,4.0768,4.0768,7.5472,-3.2551,10.8024
振幅率,rangePct,2026-01-24,88415.8,1.5566,8.78,极低,0-10%,1,-0.9228,0.9228,0.5066,-2.6944,3.201
振幅率,rangePct,2026-01-24,88415.8,1.5566,8.78,极低,0-10%,3,1.1672,1.1672,2.341,-2.6944,5.0354
振幅率,rangePct,2026-01-24,88415.8,1.5566,8.78,极低,0-10%,5,-6.2858,6.2858,2.4696,-8.48,10.9496
振幅率,rangePct,2026-01-24,88415.8,1.5566,8.78,极低,0-10%,10,-16.1893,16.1893,2.4696,-17.5344,20.004
振幅率,rangePct,2026-05-18,76498.2,1.6612,10.14,偏低,10-30%,1,1.211,1.211,1.7419,-0.1527,1.8946
振幅率,rangePct,2026-05-18,76498.2,1.6612,10.14,偏低,10-30%,3,0.3488,0.3488,2.1743,-0.1527,2.327
振幅率,rangePct,2026-05-18,76498.2,1.6612,10.14,偏低,10-30%,5,-0.2064,0.2064,2.1743,-3.0043,5.1786
振幅率,rangePct,2026-05-18,76498.2,1.6612,10.14,偏低,10-30%,10,-3.5734,3.5734,2.1743,-5.309,7.4833
振幅率,rangePct,2026-04-02,66808,1.7211,10.81,偏低,10-30%,1,0.8053,0.8053,1.1106,-0.1295,1.2401
振幅率,rangePct,2026-04-02,66808,1.7211,10.81,偏低,10-30%,3,4.6626,4.6626,5.1922,-0.3528,5.545
振幅率,rangePct,2026-04-02,66808,1.7211,10.81,偏低,10-30%,5,6.6718,6.6718,9.0835,-0.3528,9.4363
振幅率,rangePct,2026-04-02,66808,1.7211,10.81,偏低,10-30%,10,7.5187,7.5187,10.4645,-0.3528,10.8173
振幅率,rangePct,2026-01-22,89703.6,1.7318,11.49,偏低,10-30%,1,-0.5176,0.5176,1.6459,-0.6594,2.3053
振幅率,rangePct,2026-01-22,89703.6,1.7318,11.49,偏低,10-30%,3,-2.3452,2.3452,1.6459,-4.0914,5.7372
振幅率,rangePct,2026-01-22,89703.6,1.7318,11.49,偏低,10-30%,5,-0.2852,0.2852,1.6459,-4.0914,5.7372
振幅率,rangePct,2026-01-22,89703.6,1.7318,11.49,偏低,10-30%,10,-12.1578,12.1578,1.6459,-16.8711,18.517
振幅率,rangePct,2026-05-07,80118.5,1.7546,12.16,偏低,10-30%,1,0.4571,0.4571,0.6633,-0.5142,1.1775
振幅率,rangePct,2026-05-07,80118.5,1.7546,12.16,偏低,10-30%,3,1.6062,1.6062,2.9277,-0.5142,3.4419
振幅率,rangePct,2026-05-07,80118.5,1.7546,12.16,偏低,10-30%,5,-1.6456,1.6456,2.9277,-1.6905,4.6182
振幅率,rangePct,2026-05-07,80118.5,1.7546,12.16,偏低,10-30%,10,-4.6612,4.6612,2.9277,-5.118,8.0457
振幅率,rangePct,2026-01-05,93605,1.8001,12.84,偏低,10-30%,1,-2.4664,2.4664,0.2559,-2.8893,3.1451
振幅率,rangePct,2026-01-05,93605,1.8001,12.84,偏低,10-30%,3,-2.637,2.637,0.2559,-4.6333,4.8892
振幅率,rangePct,2026-01-05,93605,1.8001,12.84,偏低,10-30%,5,-2.9646,2.9646,0.2559,-4.6333,4.8892
振幅率,rangePct,2026-01-05,93605,1.8001,12.84,偏低,10-30%,10,1.0093,1.0093,4.5884,-4.6333,9.2217
振幅率,rangePct,2026-04-18,75806.8,1.8154,13.51,偏低,10-30%,1,-0.1807,0.1807,0.0123,-2.824,2.8363
振幅率,rangePct,2026-04-18,75806.8,1.8154,13.51,偏低,10-30%,3,4.5198,4.5198,4.7074,-2.824,7.5314
振幅率,rangePct,2026-04-18,75806.8,1.8154,13.51,偏低,10-30%,5,2.9021,2.9021,4.7972,-2.824,7.6212
振幅率,rangePct,2026-04-18,75806.8,1.8154,13.51,偏低,10-30%,10,0.1129,0.1129,4.8585,-2.824,7.6826
振幅率,rangePct,2026-01-09,90611.6,1.8518,14.19,偏低,10-30%,1,0.241,0.241,0.5941,-0.2974,0.8915
振幅率,rangePct,2026-01-09,90611.6,1.8518,14.19,偏低,10-30%,3,3.0908,3.0908,3.0967,-0.6039,3.7006
振幅率,rangePct,2026-01-09,90611.6,1.8518,14.19,偏低,10-30%,5,6.6983,6.6983,8.0436,-0.6039,8.6475
振幅率,rangePct,2026-01-09,90611.6,1.8518,14.19,偏低,10-30%,10,0.0291,0.0291,8.0436,-0.8886,8.9322
振幅率,rangePct,2026-04-04,67281,1.8914,14.86,偏低,10-30%,1,3.9268,3.9268,4.4527,-0.1993,4.652
振幅率,rangePct,2026-04-04,67281,1.8914,14.86,偏低,10-30%,3,5.9219,5.9219,8.3166,-0.1993,8.5159
振幅率,rangePct,2026-04-04,67281,1.8914,14.86,偏低,10-30%,5,7.6356,7.6356,8.9282,-0.1993,9.1275
振幅率,rangePct,2026-04-04,67281,1.8914,14.86,偏低,10-30%,10,9.6928,9.6928,12.9591,-0.1993,13.1584
振幅率,rangePct,2026-05-19,77424.6,1.8946,15.54,偏低,10-30%,1,-0.2595,0.2595,0.9518,-0.9511,1.9029
振幅率,rangePct,2026-05-19,77424.6,1.8946,15.54,偏低,10-30%,3,-2.5081,2.5081,0.9518,-4.1648,5.1166
振幅率,rangePct,2026-05-19,77424.6,1.8946,15.54,偏低,10-30%,5,0.2158,0.2158,0.9518,-4.1648,5.1166
振幅率,rangePct,2026-05-19,77424.6,1.8946,15.54,偏低,10-30%,10,-4.5657,4.5657,0.9518,-6.442,7.3938
振幅率,rangePct,2026-05-20,77223.7,1.9029,16.22,偏低,10-30%,1,-0.594,0.594,1.0778,-0.8966,1.9744
振幅率,rangePct,2026-05-20,77223.7,1.9029,16.22,偏低,10-30%,3,-1.1439,1.1439,1.0778,-3.9155,4.9933
振幅率,rangePct,2026-05-20,77223.7,1.9029,16.22,偏低,10-30%,5,-0.9702,0.9702,1.0916,-3.9155,5.0071
振幅率,rangePct,2026-03-06,67851.1,1.97,16.89,偏低,10-30%,1,-0.9966,0.9966,0.4665,-1.9756,2.4421
振幅率,rangePct,2026-03-06,67851.1,1.97,16.89,偏低,10-30%,3,5.091,5.091,5.7539,-3.3665,9.1204
振幅率,rangePct,2026-03-06,67851.1,1.97,16.89,偏低,10-30%,5,3.596,3.596,5.7539,-3.3665,9.1204
振幅率,rangePct,2026-03-06,67851.1,1.97,16.89,偏低,10-30%,10,8.8825,8.8825,11.9861,-3.3665,15.3526
振幅率,rangePct,2026-05-21,76765,1.9744,17.57,偏低,10-30%,1,-1.6704,1.6704,0.4251,-3.3414,3.7664
振幅率,rangePct,2026-05-21,76765,1.9744,17.57,偏低,10-30%,3,1.0769,1.0769,1.4479,-3.3414,4.7893
振幅率,rangePct,2026-05-21,76765,1.9744,17.57,偏低,10-30%,5,-1.9123,1.9123,1.6957,-3.3414,5.0371
振幅率,rangePct,2026-01-02,89929.4,1.9867,18.24,偏低,10-30%,1,1.5174,1.5174,2.0867,-0.0816,2.1684
振幅率,rangePct,2026-01-02,89929.4,1.9867,18.24,偏低,10-30%,3,4.0872,4.0872,5.3925,-0.0816,5.4741
振幅率,rangePct,2026-01-02,89929.4,1.9867,18.24,偏低,10-30%,5,0.8928,0.8928,5.3925,-0.7355,6.1279
振幅率,rangePct,2026-01-02,89929.4,1.9867,18.24,偏低,10-30%,10,3.8728,3.8728,5.3925,-0.7355,6.1279
振幅率,rangePct,2026-02-21,67659.7,1.9971,18.92,偏低,10-30%,1,-2.9982,2.9982,0.1039,-5.0661,5.17
振幅率,rangePct,2026-02-21,67659.7,1.9971,18.92,偏低,10-30%,3,-0.4311,0.4311,0.1039,-7.7738,7.8777
振幅率,rangePct,2026-02-21,67659.7,1.9971,18.92,偏低,10-30%,5,-2.3525,2.3525,3.5933,-7.7738,11.367
振幅率,rangePct,2026-02-21,67659.7,1.9971,18.92,偏低,10-30%,10,8.4134,8.4134,8.5624,-7.7738,16.3362
振幅率,rangePct,2026-03-14,71450.1,2.048,19.59,偏低,10-30%,1,2.5064,2.5064,4.2684,-0.2983,4.5667
振幅率,rangePct,2026-03-14,71450.1,2.048,19.59,偏低,10-30%,3,-0.0192,0.0192,6.3453,-0.8929,7.2382
振幅率,rangePct,2026-03-14,71450.1,2.048,19.59,偏低,10-30%,5,-2.2533,2.2533,6.3453,-3.772,10.1173
振幅率,rangePct,2026-03-14,71450.1,2.048,19.59,偏低,10-30%,10,-0.9113,0.9113,6.3453,-5.7978,12.143
振幅率,rangePct,2026-04-23,78006.8,2.0883,20.27,偏低,10-30%,1,-0.9189,0.9189,0.0347,-1.0314,1.0662
振幅率,rangePct,2026-04-23,78006.8,2.0883,20.27,偏低,10-30%,3,-1.6008,1.6008,1.9012,-1.9086,3.8098
振幅率,rangePct,2026-04-23,78006.8,2.0883,20.27,偏低,10-30%,5,-2.7105,2.7105,1.9012,-3.0537,4.955
振幅率,rangePct,2026-04-23,78006.8,2.0883,20.27,偏低,10-30%,10,2.5431,2.5431,3.321,-3.9913,7.3123
