date,routeKey,routeLabel,family,direction,score,scoreBucket,horizon,close,weatherLabels,reasons,success,directionalWin,routeReturnPct,futureReturnPct,absReturnPct,maxUpPct,maxDownPct,futureRangePct,atrPct,volatilityMultiple,atr3To21,volumeMultiple,trendScore,middleDeviationAtr,maDeviationAtr
2026-01-01,trendLong,趋势追多,trend,long,20.34,不适配,5,89411,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:趋势不明 | 量能:量能正常 | 动能:接近正常动能,低波动压缩，趋势入场降权 | 价格在MA下侧极端，追多需等待修复,1,1,2.1653,2.1653,2.1653,6.0202,-0.2357,6.2558,2.9197,0.8917,0.6582,1.2002,0.4677,0.7209,-6.7429
2026-01-01,trendLong,趋势追多,trend,long,20.34,不适配,10,89411,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:趋势不明 | 量能:量能正常 | 动能:接近正常动能,低波动压缩，趋势入场降权 | 价格在MA下侧极端，追多需等待修复,1,1,2.5231,2.5231,2.5231,6.0202,-0.2357,6.2558,2.9197,0.8917,0.6582,1.2002,0.4677,0.7209,-6.7429
2026-01-01,meanReversionLong,低吸均值回归,meanReversion,long,10,不适配,1,89411,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:趋势不明 | 量能:量能正常 | 动能:接近正常动能,短波动降温，回归环境加权,0,1,0.6268,0.6268,0.6268,1.7324,-0.2357,1.9681,2.9197,0.8917,0.6582,1.2002,0.4677,0.7209,-6.7429
2026-01-01,meanReversionLong,低吸均值回归,meanReversion,long,10,不适配,3,89411,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:趋势不明 | 量能:量能正常 | 动能:接近正常动能,短波动降温，回归环境加权,0,1,5.0845,5.0845,5.0845,5.1437,-0.2357,5.3793,2.9197,0.8917,0.6582,1.2002,0.4677,0.7209,-6.7429
2026-01-01,meanReversionLong,低吸均值回归,meanReversion,long,10,不适配,5,89411,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:趋势不明 | 量能:量能正常 | 动能:接近正常动能,短波动降温，回归环境加权,0,1,2.1653,2.1653,2.1653,6.0202,-0.2357,6.2558,2.9197,0.8917,0.6582,1.2002,0.4677,0.7209,-6.7429
2026-01-01,meanReversionLong,低吸均值回归,meanReversion,long,10,不适配,10,89411,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:趋势不明 | 量能:量能正常 | 动能:接近正常动能,短波动降温，回归环境加权,0,1,2.5231,2.5231,2.5231,6.0202,-0.2357,6.2558,2.9197,0.8917,0.6582,1.2002,0.4677,0.7209,-6.7429
2026-01-01,trendShort,趋势做空,trend,short,0,不适配,1,89411,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:趋势不明 | 量能:量能正常 | 动能:接近正常动能,低波动压缩，直接追空降权 | 短波动降温，直接追空降权,0,0,-0.6268,0.6268,0.6268,1.7324,-0.2357,1.9681,2.9197,0.8917,0.6582,1.2002,0.4677,0.7209,-6.7429
2026-01-01,trendShort,趋势做空,trend,short,0,不适配,3,89411,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:趋势不明 | 量能:量能正常 | 动能:接近正常动能,低波动压缩，直接追空降权 | 短波动降温，直接追空降权,0,0,-5.0845,5.0845,5.0845,5.1437,-0.2357,5.3793,2.9197,0.8917,0.6582,1.2002,0.4677,0.7209,-6.7429
2026-01-01,trendShort,趋势做空,trend,short,0,不适配,5,89411,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:趋势不明 | 量能:量能正常 | 动能:接近正常动能,低波动压缩，直接追空降权 | 短波动降温，直接追空降权,0,0,-2.1653,2.1653,2.1653,6.0202,-0.2357,6.2558,2.9197,0.8917,0.6582,1.2002,0.4677,0.7209,-6.7429
2026-01-01,trendShort,趋势做空,trend,short,0,不适配,10,89411,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:趋势不明 | 量能:量能正常 | 动能:接近正常动能,低波动压缩，直接追空降权 | 短波动降温，直接追空降权,0,0,-2.5231,2.5231,2.5231,6.0202,-0.2357,6.2558,2.9197,0.8917,0.6582,1.2002,0.4677,0.7209,-6.7429
2026-01-02,gridNeutral,震荡网格,grid,neutral,68,中适配,1,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,ATR处于低位 | 当日振幅未超过ATR,1,,-1.5133,1.5133,1.5133,2.0547,-0.0552,2.1099,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
2026-01-02,gridNeutral,震荡网格,grid,neutral,68,中适配,3,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,ATR处于低位 | 当日振幅未超过ATR,1,,-4.0865,4.0865,4.0865,5.3598,-0.0552,5.4151,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
2026-01-02,gridNeutral,震荡网格,grid,neutral,68,中适配,5,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,ATR处于低位 | 当日振幅未超过ATR,1,,-0.9104,0.9104,0.9104,5.3598,-0.7153,6.0752,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
2026-01-02,gridNeutral,震荡网格,grid,neutral,68,中适配,10,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,ATR处于低位 | 当日振幅未超过ATR,1,,-3.8729,3.8729,3.8729,5.3598,-0.7153,6.0752,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
2026-01-02,waitDefense,防守等待,wait,neutral,64.48,中适配,1,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,波动压缩，等待确认 | 短波动降温 | MA位置极端，等待结构修复 | 剩余动能不足,0,,0,1.5133,1.5133,2.0547,-0.0552,2.1099,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
2026-01-02,waitDefense,防守等待,wait,neutral,64.48,中适配,3,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,波动压缩，等待确认 | 短波动降温 | MA位置极端，等待结构修复 | 剩余动能不足,0,,0,4.0865,4.0865,5.3598,-0.0552,5.4151,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
2026-01-02,waitDefense,防守等待,wait,neutral,64.48,中适配,5,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,波动压缩，等待确认 | 短波动降温 | MA位置极端，等待结构修复 | 剩余动能不足,0,,0,0.9104,0.9104,5.3598,-0.7153,6.0752,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
