date,label,reason,expectedDirection,close,dayChangePct,trendScorePct,resonance,volatilityMultiple,volumeMultiple,middleDeviationRate,middleDeviationAtr,middlePositionPct,maDeviationRate,maDeviationAtr,maPositionPct,horizon,futureReturnPct,maxUpPct,maxDownPct
2018-05-31,强趋势↓,共振 4/4，趋势动能 -9.19%,-1,7445.4,-1.4468,-9.1899,down:4/4,0.5687,0.803,0.0786,0.0126,36.2086,-22.8851,-4.774,50,1,2.3854,3.3564,-0.5963
2018-05-31,强趋势↓,共振 4/4，趋势动能 -9.19%,-1,7445.4,-1.4468,-9.1899,down:4/4,0.5687,0.803,0.0786,0.0126,36.2086,-22.8851,-4.774,50,3,0.6299,4.4135,-0.5963
2018-05-31,强趋势↓,共振 4/4，趋势动能 -9.19%,-1,7445.4,-1.4468,-9.1899,down:4/4,0.5687,0.803,0.0786,0.0126,36.2086,-22.8851,-4.774,50,5,2.7628,4.4135,-1.1591
2018-05-31,强趋势↓,共振 4/4，趋势动能 -9.19%,-1,7445.4,-1.4468,-9.1899,down:4/4,0.5687,0.803,0.0786,0.0126,36.2086,-22.8851,-4.774,50,10,-10.1512,4.4135,-11.0122
2018-06-01,强趋势↓,共振 3/4，趋势动能 -6.31%,-1,7623,2.3854,-6.3069,down:3/4,0.6529,0.7505,2.4659,0.407,42.0118,-21.1379,-4.5326,100,1,1.363,1.9808,-0.3922
2018-06-01,强趋势↓,共振 3/4，趋势动能 -6.31%,-1,7623,2.3854,-6.3069,down:3/4,0.6529,0.7505,2.4659,0.407,42.0118,-21.1379,-4.5326,100,3,-0.7202,1.9808,-3.4619
2018-06-01,强趋势↓,共振 3/4，趋势动能 -6.31%,-1,7623,2.3854,-6.3069,down:3/4,0.6529,0.7505,2.4659,0.407,42.0118,-21.1379,-4.5326,100,5,0.9826,1.9808,-3.4619
2018-06-01,强趋势↓,共振 3/4，趋势动能 -6.31%,-1,7623,2.3854,-6.3069,down:3/4,0.6529,0.7505,2.4659,0.407,42.0118,-21.1379,-4.5326,100,10,-11.3669,1.9808,-13.0854
2018-06-01,背离,共振向下，当日涨跌 2.39%,0,7623,2.3854,-6.3069,down:3/4,0.6529,0.7505,2.4659,0.407,42.0118,-21.1379,-4.5326,100,1,1.363,1.9808,-0.3922
2018-06-01,背离,共振向下，当日涨跌 2.39%,0,7623,2.3854,-6.3069,down:3/4,0.6529,0.7505,2.4659,0.407,42.0118,-21.1379,-4.5326,100,3,-0.7202,1.9808,-3.4619
