date,openTime,open,high,low,close,volume
2023-03-19,1679241600000,0.5,1.96,0.5,1.303,596349544.7112885
2023-03-26,1679846400000,1.3029,1.4444,1.1091,1.1854,407419872.26476777
2023-04-02,1680451200000,1.1851,1.29,1.0963,1.1564,219187895.5072424
2023-04-09,1681056000000,1.1563,1.7488,1.1529,1.6347,487431835.6136119
2023-04-16,1681660800000,1.6346,1.82,1.3726,1.3841,445728431.3220127
2023-04-23,1682265600000,1.3844,1.505,1.2787,1.4038,234595653.6684915
2023-04-30,1682870400000,1.4038,1.4196,1.2156,1.2424,138695758.18203756
2023-05-07,1683475200000,1.2425,1.2452,1.0018,1.1937,174219313.0673447
2023-05-14,1684080000000,1.1938,1.23,1.1303,1.1396,73017612.14129324
2023-05-21,1684684800000,1.1392,1.2149,1.0669,1.1899,71472177.02234921
2023-05-28,1685289600000,1.1897,1.2798,1.1272,1.2212,104821948.04658227
2023-06-04,1685894400000,1.2213,1.2326,0.9278,0.9888,151176180.01722774
2023-06-11,1686499200000,0.9883,1.0345,0.9074,1.0124,97962729.51885496
2023-06-18,1687104000000,1.0127,1.1757,0.9824,1.0956,115606865.95632091
2023-06-25,1687708800000,1.0956,1.2444,1.06,1.139,139333216.0361486
2023-07-02,1688313600000,1.1388,1.1983,1.0516,1.1323,75580501.45677708
2023-07-09,1688918400000,1.1323,1.3354,1.0952,1.2852,121087728.8867035
2023-07-16,1689523200000,1.2851,1.35,1.2126,1.2375,109005492.32036199
2023-07-23,1690128000000,1.2378,1.2693,1.15,1.176,42941191.57665176
2023-07-30,1690732800000,1.1764,1.197,1.1196,1.133,42690406.47278748
2023-08-06,1691337600000,1.133,1.1955,1.11,1.1542,35102215.16837477
2023-08-13,1691942400000,1.1544,1.1665,0.89,1.03,71996343.32871217
2023-08-20,1692547200000,1.03,1.0399,0.931,0.9586,34203648.6552433
2023-08-27,1693152000000,0.959,0.9964,0.87,0.8881,37242892.11072856
2023-09-03,1693756800000,0.888,0.9283,0.8422,0.8515,23262446.23246571
2023-09-10,1694361600000,0.8513,0.8524,0.7392,0.8111,66882503.31352407
2023-09-17,1694966400000,0.8109,0.8705,0.7804,0.8205,33969534.26395626
2023-09-24,1695571200000,0.8204,0.9688,0.7982,0.9474,41929446.00369292
2023-10-01,1696176000000,0.9474,0.9877,0.8367,0.8486,38052325.76140437
2023-10-08,1696780800000,0.8483,0.8564,0.7865,0.799,27928514.53673834
2023-10-15,1697385600000,0.7989,0.8523,0.763,0.8262,39689994.27108853
2023-10-22,1697990400000,0.826,0.9974,0.8251,0.936,103498028.26304704
2023-10-29,1698595200000,0.9367,1.1193,0.906,1.0745,129347577.26904832
2023-11-05,1699200000000,1.0744,1.2243,0.915,1.1487,163412096.3831138
2023-11-12,1699804800000,1.1485,1.198,0.9806,1.0278,112865277.62664405
2023-11-19,1700409600000,1.0278,1.0853,0.94,1.0293,88578484.65458123
2023-11-26,1701014400000,1.0295,1.125,0.9839,1.0879,68446509.32432227
2023-12-03,1701619200000,1.0882,1.2416,1.013,1.1506,202123876.6362682
2023-12-10,1702224000000,1.1509,1.273,1,1.105,197819413.02302298
2023-12-17,1702828800000,1.105,1.4651,1.0333,1.382,278963333.7687137
2023-12-24,1703433600000,1.3822,1.6689,1.22,1.5841,301653469.02756965
2023-12-31,1704038400000,1.5838,2.1187,1.4,1.8255,600764770.9092069
